repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
2dust/v2rayN,9126,Fix & Update,MERGED,2026-04-16T23:22:39Z,2026-04-17T07:29:51Z,2026-04-17T07:29:51Z,8.12,4,10,12,343,3,0,2
2dust/v2rayN,9083,Refactor and Optimize CI Workflow,MERGED,2026-04-12T07:25:52Z,2026-04-14T01:41:07Z,2026-04-14T01:41:07Z,42.2542,8,230,269,1538,3,0,1
2dust/v2rayN,9076,Replace 100MB Cloudflare speedtest URL with 99MB,MERGED,2026-04-11T01:40:33Z,2026-04-11T11:39:25Z,2026-04-11T11:39:25Z,9.9811,1,1,1,136,5,5,1
2dust/v2rayN,9021,i18n(ru): complete and improve Russian localization,MERGED,2026-03-30T17:10:27Z,2026-04-01T01:47:15Z,2026-04-01T01:47:15Z,32.6133,1,113,113,2335,3,0,3
2dust/v2rayN,9018,修复 sing-box TUN 模式下 relay 出站的 mux 问题,MERGED,2026-03-30T15:31:43Z,2026-04-02T12:47:34Z,2026-04-02T12:47:34Z,69.2642,3,28,3,860,4,6,1
2dust/v2rayN,9004,Refactor Transport,MERGED,2026-03-28T15:40:14Z,2026-04-16T12:21:10Z,2026-04-16T12:21:10Z,452.6822,28,1612,805,130,3,7,9
2dust/v2rayN,8973,Update Traditional Chinese translation,MERGED,2026-03-21T13:09:46Z,2026-03-22T06:33:47Z,2026-03-22T06:33:47Z,17.4003,1,6,6,38,2,0,2
2dust/v2rayN,8946,feat(send-through): 支持配置本地出站地址,MERGED,2026-03-16T07:13:23Z,2026-04-11T13:02:43Z,2026-04-11T13:02:43Z,629.8222,17,427,3,187,4,12,1
2dust/v2rayN,8932,Json editor with syntax highlighting,MERGED,2026-03-14T10:25:46Z,2026-03-20T08:32:02Z,2026-03-20T08:32:02Z,142.1044,14,256,47,39,3,3,1
2dust/v2rayN,8890,Fix hosts matching,MERGED,2026-03-04T09:51:15Z,2026-03-04T12:13:06Z,2026-03-04T12:13:06Z,2.3642,2,122,32,386,3,2,1
2dust/v2rayN,8864,Fix,MERGED,2026-03-01T00:13:26Z,2026-03-01T05:47:48Z,2026-03-01T05:47:48Z,5.5728,6,144,93,79,3,5,6
