repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
996icu/996.ICU,26143,Ensure consistency by adding missing period in README,MERGED,2025-01-23T10:31:17Z,2025-08-22T06:01:29Z,2025-08-22T06:01:29Z,5059.5033,1,1,1,222,4,1,1
996icu/996.ICU,26142,feat(add blacklist): 彩讯股份,MERGED,2025-01-09T09:04:10Z,2025-08-22T06:00:11Z,2025-08-22T06:00:11Z,5396.9336,4,1,0,13,3,0,1
996icu/996.ICU,26105,【辟谣】程渊不是996.ICU项目发起人，定罪原因也是涉及到十几万美元的境外资金,CLOSED,2023-06-16T03:50:09Z,2023-06-16T19:12:05Z,,15.3656,1,1,1,1360,26,37,1
996icu/996.ICU,26095,Every fighter deserve a badge!,CLOSED,2022-11-25T11:56:56Z,2023-06-16T19:09:17Z,,4879.2058,1,10,0,224,3,0,1
996icu/996.ICU,26071,添加北京三只猪科技有限公司,CLOSED,2022-03-09T09:26:24Z,2023-06-16T19:07:10Z,,11145.6794,10,70,69,123,9,7,1
996icu/996.ICU,26068,"Add ""Support Ukraine"" badge in README",CLOSED,2022-02-27T13:53:03Z,2022-03-04T18:05:29Z,,124.2072,1,1,0,495,5,4,3
996icu/996.ICU,26067,添加上海幻电信息科技有限公司,CLOSED,2022-02-09T10:53:20Z,2023-06-16T19:06:48Z,,11816.2244,1,1,0,2,10,8,1
996icu/996.ICU,26049,Update README.md,CLOSED,2021-08-26T13:02:50Z,2022-01-24T20:51:59Z,,3631.8192,1,1,0,0,4,1,1
996icu/996.ICU,26048,添加天津云账户,MERGED,2021-08-22T09:24:02Z,2022-01-24T20:52:57Z,2022-01-24T20:52:57Z,3731.4819,2,1,0,69,3,1,1
996icu/996.ICU,26047,添加北京彩智科技有限责任公司,CLOSED,2021-08-10T09:13:37Z,2022-01-24T20:53:11Z,,4019.6594,1,1,0,52,3,1,1
