repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
AUTOMATIC1111/stable-diffusion-webui,17293,Fix CLIP installation failures,MERGED,2026-02-17T14:15:06Z,2026-02-28T00:52:10Z,2026-02-28T00:52:10Z,250.6178,1,17,1,1556,6,9,1
AUTOMATIC1111/stable-diffusion-webui,17286,Update COMMANDLINE_ARGS for webui-user.bat,CLOSED,2026-02-13T13:59:47Z,2026-02-15T03:18:20Z,,37.3092,1,1,1,592,2,0,1
AUTOMATIC1111/stable-diffusion-webui,17207,update stable_diffusion_repo url,MERGED,2025-12-18T11:24:07Z,2025-12-18T14:41:31Z,2025-12-18T14:41:31Z,3.29,1,1,1,783,2,0,1
AUTOMATIC1111/stable-diffusion-webui,17174,TCreate Tamara,CLOSED,2025-11-09T23:11:28Z,2025-11-11T22:45:39Z,,47.5697,1,94,0,592,3,0,1
AUTOMATIC1111/stable-diffusion-webui,17163,"Supported pytorch added for CUDA 11.3 and CUDA 11.7, dynamically. (Windows only)",CLOSED,2025-10-27T21:06:08Z,2025-11-07T09:12:21Z,,252.1036,1,47,2,946,3,20,1
AUTOMATIC1111/stable-diffusion-webui,17158,Maxwell Fix,CLOSED,2025-10-20T12:09:33Z,2025-10-25T08:57:11Z,,116.7939,2,21,63,1668,2,1,1
AUTOMATIC1111/stable-diffusion-webui,17139,fix uv on linux,MERGED,2025-10-06T19:30:24Z,2025-10-07T20:06:10Z,2025-10-07T20:06:10Z,24.5961,1,2,1,507,3,0,2
AUTOMATIC1111/stable-diffusion-webui,17138,Checkpoint from VS Code for coding agent session,CLOSED,2025-10-06T05:06:22Z,2025-10-07T20:07:05Z,,39.0119,1,2,1,592,3,1,3
AUTOMATIC1111/stable-diffusion-webui,17129,CUDA Compute Capability change for RTX 5000 series,MERGED,2025-09-17T11:39:17Z,2025-09-17T16:31:20Z,2025-09-17T16:31:20Z,4.8675,1,1,1,365,2,1,1
AUTOMATIC1111/stable-diffusion-webui,17085,Update webui-user.bat,CLOSED,2025-08-06T04:51:48Z,2025-08-07T03:37:08Z,,22.7556,1,2,1,639,2,0,1
