repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
Anduin2017/HowToCook,1780,Add recipe for 排骨山药玉米汤,MERGED,2026-04-12T02:51:57Z,2026-04-12T05:51:57Z,2026-04-12T05:51:57Z,3.0,1,68,0,512,2,2,1
Anduin2017/HowToCook,1778,添加了一个新的衍生项目在 README 文档,MERGED,2026-04-05T23:48:54Z,2026-04-06T05:28:52Z,2026-04-06T05:28:52Z,5.6661,1,1,0,562,2,2,1
Anduin2017/HowToCook,1773,锅包肉做法调整,MERGED,2026-03-20T12:03:40Z,2026-03-21T04:36:48Z,2026-03-21T04:36:48Z,16.5522,2,43,37,488,2,1,1
Anduin2017/HowToCook,1771,Update 食品安全.md,MERGED,2026-03-17T07:07:55Z,2026-03-18T06:33:22Z,2026-03-18T06:33:22Z,23.4242,2,8,1,412,2,2,1
Anduin2017/HowToCook,1770,糖醋排骨：2g五香粉味道过重，下调至0.5g,MERGED,2026-03-15T23:21:18Z,2026-03-16T11:58:16Z,2026-03-16T11:58:16Z,12.6161,1,2,2,412,2,0,1
Anduin2017/HowToCook,1769,修复酸辣土豆丝菜谱,MERGED,2026-03-15T04:56:31Z,2026-03-15T09:05:00Z,2026-03-15T09:05:00Z,4.1414,1,4,3,471,2,0,1
Anduin2017/HowToCook,1767,对空气炸锅照烧鸡饭添加准确的温度单位以及参考链接,MERGED,2026-03-07T10:25:38Z,2026-03-07T17:02:25Z,2026-03-07T17:02:25Z,6.6131,1,3,2,436,2,0,1
Anduin2017/HowToCook,1766,Include garlic in炒青菜 recipe,MERGED,2026-03-06T04:11:58Z,2026-03-07T17:02:50Z,2026-03-07T17:02:50Z,36.8478,1,3,0,429,2,1,1
Anduin2017/HowToCook,1764,添加意式香肠北非蛋、澳门湿版免治牛肉饭、韩国麻药鸡蛋、牛油果拉西的做法,MERGED,2026-03-03T11:16:29Z,2026-03-03T17:39:52Z,2026-03-03T17:39:52Z,6.3897,4,201,0,35,2,0,1
Anduin2017/HowToCook,1761,feat: Add 10 popular Indian dish recipes (印度菜谱),MERGED,2026-02-21T14:46:47Z,2026-02-21T16:41:57Z,2026-02-21T16:41:57Z,1.9194,10,967,0,711,2,3,1
Anduin2017/HowToCook,1746,chore: Update outdated GitHub Actions versions,MERGED,2026-01-19T16:25:43Z,2026-01-19T18:51:43Z,2026-01-19T18:51:43Z,2.4333,2,7,7,1046,2,1,1
Anduin2017/HowToCook,1745,红烧鸡翅教程,MERGED,2026-01-19T09:49:05Z,2026-01-19T18:53:34Z,2026-01-19T18:53:34Z,9.0747,1,73,0,412,2,0,1
Anduin2017/HowToCook,1718,添加响油鳝丝的做法,MERGED,2025-12-05T01:22:57Z,2025-12-05T10:03:48Z,2025-12-05T10:03:47Z,8.6806,3,71,0,412,2,0,1
Anduin2017/HowToCook,1717,添加咸肉菜饭的做法,MERGED,2025-12-05T01:09:47Z,2025-12-05T10:03:35Z,2025-12-05T10:03:35Z,8.8967,3,54,0,412,2,0,1
Anduin2017/HowToCook,1711,添加黄瓜皮蛋汤的做法,MERGED,2025-11-21T19:40:41Z,2025-11-24T02:30:02Z,2025-11-24T02:30:02Z,54.8225,3,50,0,412,2,0,1
Anduin2017/HowToCook,1710,添加腐乳肉的做法,MERGED,2025-11-21T19:12:50Z,2025-11-24T02:29:43Z,2025-11-24T02:29:43Z,55.2814,3,56,0,412,2,0,1
Anduin2017/HowToCook,1709,添加猪油拌饭的做法,MERGED,2025-11-21T19:03:37Z,2025-11-24T02:29:24Z,2025-11-24T02:29:24Z,55.4297,3,47,0,412,2,0,1
Anduin2017/HowToCook,1706,添加酱炖蟹的做法,MERGED,2025-11-17T06:57:24Z,2025-11-17T08:50:56Z,2025-11-17T08:50:56Z,1.8922,3,56,0,412,2,0,1
Anduin2017/HowToCook,1693,修正油醋爆蛋的食材用量,MERGED,2025-11-04T02:40:35Z,2025-11-04T15:40:30Z,2025-11-04T15:40:30Z,12.9986,1,11,6,412,2,0,1
Anduin2017/HowToCook,1692,新增皮蛋豆腐的做法,MERGED,2025-11-04T02:25:01Z,2025-11-04T15:40:54Z,2025-11-04T15:40:53Z,13.2644,3,55,1,412,2,0,1
Anduin2017/HowToCook,1691,新增肉蟹煲的做法,MERGED,2025-11-04T01:58:09Z,2025-11-04T15:40:07Z,2025-11-04T15:40:07Z,13.6994,3,89,0,412,2,0,1
