repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
Chalarangelo/30-seconds-of-code,2153,Bump vite from 6.4.1 to 6.4.2,MERGED,2026-04-07T04:26:24Z,2026-04-14T10:06:24Z,2026-04-14T10:06:24Z,173.6667,1,3,3,5661,1,0,1
Chalarangelo/30-seconds-of-code,2152,Bump defu from 6.1.4 to 6.1.6,MERGED,2026-04-04T06:19:48Z,2026-04-06T09:21:25Z,2026-04-06T09:21:25Z,51.0269,1,3,3,6585,1,0,1
Chalarangelo/30-seconds-of-code,2150,Bump h3 from 1.15.4 to 1.15.10,MERGED,2026-03-30T09:59:11Z,2026-04-01T07:35:00Z,2026-04-01T07:35:00Z,45.5969,1,11,11,8281,1,0,1
Chalarangelo/30-seconds-of-code,2148,Bump picomatch,MERGED,2026-03-25T21:32:47Z,2026-04-01T08:08:02Z,2026-04-01T08:08:01Z,154.5872,1,16,15,11086,1,0,1
Chalarangelo/30-seconds-of-code,2147,Bump flatted from 3.3.3 to 3.4.2,MERGED,2026-03-21T10:30:09Z,2026-04-01T08:10:52Z,2026-04-01T08:10:52Z,261.6786,1,5,4,3654,1,0,1
Chalarangelo/30-seconds-of-code,2142,Bump devalue from 5.6.3 to 5.6.4,MERGED,2026-03-12T16:10:28Z,2026-03-30T09:57:56Z,2026-03-30T09:57:56Z,425.7911,1,3,3,4149,1,1,1
Chalarangelo/30-seconds-of-code,2111,Bump vite from 6.2.6 to 6.3.4,MERGED,2025-04-30T19:36:09Z,2025-05-21T17:12:03Z,2025-05-21T17:12:03Z,501.5983,1,45,11,15262,2,1,1
Chalarangelo/30-seconds-of-code,2100,Update README.md,CLOSED,2025-02-08T07:50:56Z,2025-02-08T09:56:53Z,,2.0992,1,1,1,17,2,0,1
Chalarangelo/30-seconds-of-code,2092,Bump astro from 4.13.1 to 4.16.1,MERGED,2024-10-14T20:13:46Z,2024-10-15T07:23:07Z,2024-10-15T07:23:06Z,11.1556,2,547,408,12733,1,0,1
Chalarangelo/30-seconds-of-code,2083,Bump braces from 3.0.2 to 3.0.3,MERGED,2024-06-21T20:10:46Z,2024-08-20T13:32:03Z,2024-08-20T13:32:03Z,1433.3547,1,7,7,4378,1,4,1
Chalarangelo/30-seconds-of-code,2060,fix typo,MERGED,2023-10-20T20:55:35Z,2023-10-21T04:12:58Z,2023-10-21T04:12:58Z,7.2897,1,1,1,0,2,0,1
Chalarangelo/30-seconds-of-code,2058,Add more examples,MERGED,2023-10-20T20:35:39Z,2023-10-21T04:16:08Z,2023-10-21T04:16:08Z,7.6747,1,6,0,0,2,0,1
Chalarangelo/30-seconds-of-code,2056,fix git syntax,MERGED,2023-10-20T20:20:13Z,2023-10-21T04:15:15Z,2023-10-21T04:15:15Z,7.9172,1,1,1,0,2,0,1
Chalarangelo/30-seconds-of-code,2049,Cleaning up grammar in 5-tips-for-better-pull-requests.md,MERGED,2023-10-18T18:33:49Z,2023-10-19T06:07:15Z,2023-10-19T06:07:15Z,11.5572,1,1,1,0,2,0,1
Chalarangelo/30-seconds-of-code,2045,Added method that returns value from nested and untested object,CLOSED,2023-10-13T21:07:05Z,2023-10-24T07:03:03Z,,249.9328,1,57,0,87,2,0,1
Chalarangelo/30-seconds-of-code,2040,Bump postcss from 8.4.30 to 8.4.31,MERGED,2023-10-08T04:04:44Z,2023-10-08T08:47:23Z,2023-10-08T08:47:23Z,4.7108,1,5,5,3928,1,0,1
