repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
ChatGPTNextWeb/NextChat,6599,add: model gpt-5,MERGED,2025-08-09T09:26:46Z,2025-08-10T09:21:12Z,2025-08-10T09:21:12Z,23.9072,2,17,3,1524,3,2,1
ChatGPTNextWeb/NextChat,6598,add: model gpt-5 and set up for it temperature to 1 by default,CLOSED,2025-08-08T08:34:58Z,2025-08-10T09:21:26Z,,48.7744,2,7,1,1619,3,2,3
ChatGPTNextWeb/NextChat,6589,Update constant.ts,CLOSED,2025-07-31T14:29:58Z,2025-10-10T04:08:06Z,,1693.6356,0,0,0,1602,1,1,2
ChatGPTNextWeb/NextChat,6581,fix typo,MERGED,2025-07-23T05:46:18Z,2025-07-23T14:29:40Z,2025-07-23T14:29:40Z,8.7228,2,5,5,325,2,1,1
ChatGPTNextWeb/NextChat,6580,Docs: Add & Update korean docs,MERGED,2025-07-22T17:05:08Z,2025-07-23T14:29:55Z,2025-07-23T14:29:55Z,21.4131,4,778,14,1986,2,1,2
ChatGPTNextWeb/NextChat,6572,feat: Update moonshot models and fix for typo,MERGED,2025-07-19T06:38:32Z,2025-07-23T14:32:14Z,2025-07-23T14:32:14Z,103.895,1,14,3,1724,4,1,2
ChatGPTNextWeb/NextChat,6570,"Add gemini-2.5-pro tag, you can use free gemini-2.5-pro",MERGED,2025-07-17T00:15:39Z,2025-07-17T03:30:34Z,2025-07-17T03:30:34Z,3.2486,1,1,0,789,2,1,1
ChatGPTNextWeb/NextChat,6557,Feat/support 302ai provider,MERGED,2025-07-07T10:25:04Z,2025-07-08T15:34:38Z,2025-07-08T15:34:38Z,29.1594,3,54,48,1463,2,1,1
ChatGPTNextWeb/NextChat,6542,Feat/support 302ai provider,MERGED,2025-06-27T01:57:49Z,2025-06-30T12:29:48Z,2025-06-30T12:29:48Z,82.5331,33,796,9,2015,2,1,2
ChatGPTNextWeb/NextChat,6528,Add UZ (Uzbekistan) locale,CLOSED,2025-06-21T22:50:01Z,2026-01-30T01:23:45Z,,5330.5622,4,19720,1695,1681,2,2,1
ChatGPTNextWeb/NextChat,6514,Add gemini-2.5-pro-preview-06-05 into constant.ts,MERGED,2025-06-08T16:00:55Z,2025-06-11T08:14:09Z,2025-06-11T08:14:09Z,64.2206,1,1,0,1503,3,2,2
ChatGPTNextWeb/NextChat,6505,New Name Added Sudhir,CLOSED,2025-05-27T09:53:56Z,2025-06-08T08:45:48Z,,286.8644,1,1,1,1479,2,2,1
ChatGPTNextWeb/NextChat,6491,Add MseeP.ai badge,CLOSED,2025-05-14T04:48:30Z,2025-06-11T08:41:41Z,,675.8864,1,2,0,4749,2,2,1
ChatGPTNextWeb/NextChat,6485,feat: Add more LLMs,CLOSED,2025-05-11T10:43:46Z,2025-06-11T08:43:40Z,,741.9983,1,10,0,636,2,3,2
ChatGPTNextWeb/NextChat,6483,无,CLOSED,2025-05-10T02:32:58Z,2025-06-11T08:42:12Z,,774.1539,1,3,3,1578,2,2,1
ChatGPTNextWeb/NextChat,6475,"添加gemini-2.5-pro-exp-03-25""",CLOSED,2025-05-04T12:38:11Z,2025-06-11T08:42:21Z,,908.0694,1,4,0,1544,2,2,1
ChatGPTNextWeb/NextChat,6472,Develop interview,CLOSED,2025-04-30T06:14:57Z,2025-06-12T03:17:53Z,,1029.0489,35,22325,2786,1742,2,3,1
ChatGPTNextWeb/NextChat,6465,Option to disable auto scroll functionality,CLOSED,2025-04-25T02:50:55Z,2026-01-14T05:38:23Z,,6338.7911,23,158,88,2379,1,2,5
ChatGPTNextWeb/NextChat,6460,加入Grok3模型列表,MERGED,2025-04-22T05:08:51Z,2025-06-12T03:13:31Z,2025-06-12T03:13:31Z,1222.0778,1,12,0,1364,3,2,1
