repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
EbookFoundation/free-programming-books,13222,chore(deps): bump actions/github-script from 8 to 9,MERGED,2026-04-11T10:02:21Z,2026-04-15T18:54:38Z,2026-04-15T18:54:38Z,104.8714,1,1,1,7331,2,1,1
EbookFoundation/free-programming-books,13221,Python Learning Roadmap guide,CLOSED,2026-04-09T04:59:52Z,2026-04-09T12:57:33Z,,7.9614,2,170,0,1103,3,1,1
EbookFoundation/free-programming-books,13193,docs: add 2 resources to Web Services section,CLOSED,2026-04-01T17:23:42Z,2026-04-03T13:14:06Z,,43.84,1,2,0,663,2,0,2
EbookFoundation/free-programming-books,13176,books: add Pro Git (ar),MERGED,2026-03-29T14:54:26Z,2026-03-30T17:34:57Z,2026-03-30T17:34:57Z,26.6753,1,7,1,1217,3,1,2
EbookFoundation/free-programming-books,13152,Remove LaTeX Tutorial link,MERGED,2026-03-25T14:37:09Z,2026-03-30T17:00:26Z,2026-03-30T17:00:26Z,122.3881,1,0,1,902,3,0,1
EbookFoundation/free-programming-books,13151,Add Bootstrap 5 and IIT Madras Python cheat sheets,MERGED,2026-03-25T10:10:30Z,2026-03-30T17:37:35Z,2026-03-30T17:37:35Z,127.4514,1,1,0,1412,2,1,1
EbookFoundation/free-programming-books,13128,books: add Probabilistic Machine Learning Advanced Topics,MERGED,2026-03-17T13:20:00Z,2026-03-20T13:16:09Z,2026-03-20T13:16:09Z,71.9358,1,1,0,881,2,2,1
EbookFoundation/free-programming-books,13119,Ta update and add links,MERGED,2026-03-07T12:01:12Z,2026-03-30T16:57:59Z,2026-03-30T16:57:59Z,556.9464,1,9,2,1470,3,4,4
EbookFoundation/free-programming-books,13118,Add Python Crash Course free book,CLOSED,2026-03-07T06:34:14Z,2026-03-09T13:43:00Z,,55.1461,1,1,1,61,2,0,1
EbookFoundation/free-programming-books,13117,Remove C Programming section and update HTML links,MERGED,2026-03-07T03:27:34Z,2026-03-12T00:48:42Z,2026-03-12T00:48:42Z,117.3522,1,0,7,126,2,1,1
EbookFoundation/free-programming-books,13100,chore(deps): bump actions/download-artifact from 6 to 8,MERGED,2026-02-28T11:02:10Z,2026-03-06T17:39:38Z,2026-03-06T17:39:38Z,150.6244,1,1,1,7940,2,1,1
EbookFoundation/free-programming-books,13099,chore(deps): bump actions/upload-artifact from 5 to 7,MERGED,2026-02-28T11:02:07Z,2026-03-06T17:40:01Z,2026-03-06T17:40:01Z,150.6317,3,3,3,7448,2,1,1
EbookFoundation/free-programming-books,13096,Fix broken link for Learn Python With Jupyter (Fixes #13083),MERGED,2026-02-24T15:08:39Z,2026-02-26T17:01:58Z,2026-02-26T17:01:58Z,49.8886,1,1,1,997,2,1,1
EbookFoundation/free-programming-books,13079,feat: Add React JS Tutorial Series in Kannada,CLOSED,2026-02-02T23:57:10Z,2026-05-05T00:36:20Z,,2184.6528,1,6,0,313,2,2,1
EbookFoundation/free-programming-books,13072,"Add ""The Math Behind Artificial Intelligence"" to Artificial Intelligence section",MERGED,2026-01-28T08:08:52Z,2026-01-30T22:38:17Z,2026-01-30T22:38:17Z,62.4903,1,1,0,1917,2,1,2
