repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
Genymobile/scrcpy,6792,Add --keep-active,MERGED,2026-04-26T07:40:30Z,2026-04-27T07:31:58Z,2026-04-27T07:31:58Z,23.8578,14,120,0,464,2,0,2
Genymobile/scrcpy,6777,Add F11 as fullscreen shortcut,MERGED,2026-04-17T21:41:17Z,2026-04-20T16:39:46Z,2026-04-20T16:39:46Z,66.9747,5,17,4,0,2,0,4
Genymobile/scrcpy,6776,Update protocol documentation,MERGED,2026-04-17T21:04:34Z,2026-04-24T10:17:46Z,2026-04-24T10:17:46Z,157.22,1,56,25,127,2,0,7
Genymobile/scrcpy,6771,Align the virtual display size,MERGED,2026-04-16T17:17:35Z,2026-04-16T19:38:22Z,2026-04-16T19:38:22Z,2.3464,2,16,1,178,2,0,4
Genymobile/scrcpy,6770,Reset capture on rotation (fix square displays),MERGED,2026-04-14T21:50:32Z,2026-04-16T17:08:33Z,2026-04-16T17:08:33Z,43.3003,4,94,40,711,2,1,6
Genymobile/scrcpy,6766,Replace retry-with-lower-resolution mechanism with video capabilities constraints,MERGED,2026-04-11T14:29:59Z,2026-04-14T20:56:19Z,2026-04-14T20:56:19Z,78.4389,19,242,228,402,2,0,10
Genymobile/scrcpy,6746,Use optimal size alignment,MERGED,2026-03-31T19:27:44Z,2026-04-07T17:48:36Z,2026-04-07T17:48:36Z,166.3478,17,123,17,873,2,0,5
Genymobile/scrcpy,6725,doc/v4l2: add an example for how to create a loopback device,CLOSED,2026-03-15T21:27:52Z,2026-04-17T20:22:50Z,,790.9161,1,6,0,0,3,1,4
Genymobile/scrcpy,6705,Add adaptive virtual display that adjusts to window size.,CLOSED,2026-03-04T21:11:55Z,2026-05-03T10:27:21Z,,1429.2572,12,334,8,1052,2,3,10
Genymobile/scrcpy,6694,Open the scrcpy window earlier,MERGED,2026-02-25T22:22:12Z,2026-03-10T19:14:13Z,2026-03-10T19:14:13Z,308.8669,3,52,40,297,2,1,3
Genymobile/scrcpy,6667,Keep Windows terminal open on error by default,MERGED,2026-02-10T19:14:13Z,2026-02-21T11:18:39Z,2026-02-21T11:18:39Z,256.0739,6,59,24,889,2,0,2
Genymobile/scrcpy,6664,Improve adb devices parsing,MERGED,2026-02-09T21:52:49Z,2026-02-12T19:07:52Z,2026-02-12T19:07:51Z,69.2506,2,127,53,502,2,0,2
Genymobile/scrcpy,6662,Display disconnected icon before closing,MERGED,2026-02-09T17:56:20Z,2026-03-17T17:43:00Z,2026-03-17T17:43:00Z,863.7778,26,436,87,1602,2,6,18
Genymobile/scrcpy,6519,feat: add --otg-mirror for concurrent HID input and mirroring,CLOSED,2025-12-08T00:48:16Z,2025-12-13T14:09:25Z,,133.3525,12,74,4,2267,3,2,6
Genymobile/scrcpy,6408,"Clean handling of ANDROID_PLATFORM containing decimal, like 36.1",CLOSED,2025-10-05T21:03:06Z,2025-10-19T19:02:17Z,,333.9864,1,1,1,267,3,4,1
Genymobile/scrcpy,6344,Enable Presentation API on virtual display so apps with dual-screen support can use it as extended display,CLOSED,2025-09-11T12:54:59Z,2025-09-13T14:26:49Z,,49.5306,1,3,2,1393,5,16,2
Genymobile/scrcpy,6216,Migrate from SDL2 to SDL3,MERGED,2025-07-11T20:48:17Z,2026-01-08T19:43:36Z,2026-01-08T19:43:36Z,4342.9219,47,1081,842,1557,9,42,23
Genymobile/scrcpy,6205,VR_Flickering_Fix,CLOSED,2025-07-03T07:42:57Z,2026-03-17T17:18:16Z,,6177.5886,4,167,29,0,4,2,1
Genymobile/scrcpy,6129,Run a main looper,MERGED,2025-06-05T18:42:33Z,2025-06-11T15:49:59Z,2025-06-11T15:49:59Z,141.1239,5,67,281,311,2,0,2
Genymobile/scrcpy,6107,Add app name SDL hint,CLOSED,2025-05-22T18:23:21Z,2025-06-05T18:06:20Z,,335.7164,2,19,0,370,2,1,4
Genymobile/scrcpy,6079,fix zsh completion file,CLOSED,2025-05-09T13:42:32Z,2025-05-22T18:02:16Z,,316.3289,1,29,29,135,2,2,2
Genymobile/scrcpy,6009,Associate UHID devices to displays on Android 15,CLOSED,2025-04-16T06:38:03Z,2025-06-05T18:35:54Z,,1211.9642,5,78,29,803,3,22,2
