repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
OpenHands/OpenHands,14303,DRAFT: docs: update plugin launch flow with complete data flow,MERGED,2026-05-05T17:13:49Z,2026-05-05T20:13:47Z,2026-05-05T20:13:47Z,2.9994,1,541,74,1573,3,1,1
OpenHands/OpenHands,14301,feat(frontend/chat): add inline LLM profile switcher button,MERGED,2026-05-05T12:51:38Z,2026-05-05T20:19:23Z,2026-05-05T20:19:23Z,7.4625,11,660,58,2591,5,3,2
OpenHands/OpenHands,14299,Fix GHSA-xqmj-j6mv-4862: Update litellm to 1.83.14,MERGED,2026-05-04T21:02:23Z,2026-05-04T22:39:06Z,2026-05-04T22:39:06Z,1.6119,4,578,630,1151,4,9,17
OpenHands/OpenHands,14288,feat(chat): add /model slash command to list and switch LLM profiles,MERGED,2026-05-04T13:50:32Z,2026-05-05T17:57:29Z,2026-05-05T17:57:29Z,28.1158,21,1555,27,897,5,2,4
OpenHands/OpenHands,14286,fix(i18n): translate hardcoded settings strings,MERGED,2026-05-04T10:50:45Z,2026-05-05T14:03:40Z,2026-05-05T14:03:40Z,27.2153,4,57,3,2063,3,2,2
OpenHands/OpenHands,14279,Fix SaaS routes shadowed by frontend mount,MERGED,2026-05-03T15:32:12Z,2026-05-03T17:48:03Z,2026-05-03T17:48:03Z,2.2642,2,65,0,1520,4,3,2
OpenHands/OpenHands,14278,APP-1346 feat: Proxy Tavily MCP connections through app server,MERGED,2026-05-03T15:02:01Z,2026-05-04T12:59:42Z,2026-05-04T12:59:42Z,21.9614,8,200,288,2376,4,2,2
OpenHands/OpenHands,14269,fix: share GCS storage.Client() across requests to prevent connection pool exhaustion,MERGED,2026-05-02T03:27:09Z,2026-05-04T23:11:24Z,2026-05-04T23:11:23Z,67.7372,3,23,14,1560,4,3,2
OpenHands/OpenHands,14259,Fix CVE-2026-41066: Update lxml to 6.1.0,MERGED,2026-05-01T18:27:20Z,2026-05-04T20:16:16Z,2026-05-04T20:16:16Z,73.8156,1,135,141,879,4,1,4
OpenHands/OpenHands,14255,APP-1325: accept '1' as truthy value for SLACK_WEBHOOKS_ENABLED to surface slack integration settings,MERGED,2026-05-01T16:51:19Z,2026-05-01T18:10:01Z,2026-05-01T18:10:01Z,1.3117,2,19,1,1333,4,2,3
OpenHands/OpenHands,14242,Migrate all jwt_secret consumers from OpenHandsConfig to JwtService,MERGED,2026-04-30T19:47:05Z,2026-05-01T13:42:31Z,2026-05-01T13:42:31Z,17.9239,23,668,342,3607,5,1,6
OpenHands/OpenHands,14238,Bump SDK packages to v1.19.1,MERGED,2026-04-30T17:31:13Z,2026-04-30T19:09:46Z,2026-04-30T19:09:46Z,1.6425,7,59,55,1436,4,9,6
OpenHands/OpenHands,14237,"feat: introduce LLMModelService with DI, replacing legacy config-based model discovery",MERGED,2026-04-30T15:12:31Z,2026-04-30T17:35:59Z,2026-04-30T17:35:59Z,2.3911,15,733,590,3250,5,1,3
OpenHands/OpenHands,14233,APP-1389: add bitbucket data center resolver for pr comment triggers,MERGED,2026-04-30T11:59:19Z,2026-04-30T13:59:47Z,2026-04-30T13:59:47Z,2.0078,18,1927,6,6582,3,3,9
OpenHands/OpenHands,14224,feat: Auto-generate OPENHANDS_API_KEY as system secret for all users,MERGED,2026-04-30T02:28:06Z,2026-04-30T03:36:01Z,2026-04-30T03:36:01Z,1.1319,4,286,1,2154,3,4,7
OpenHands/OpenHands,14223,refactor: move openhands.utils to openhands.app_server.utils,MERGED,2026-04-30T01:54:09Z,2026-04-30T13:47:02Z,2026-04-30T13:47:02Z,11.8814,72,204,249,2895,4,1,5
OpenHands/OpenHands,14218,Remove unused Settings.from_config and merge_with_config_settings,CLOSED,2026-04-29T19:17:44Z,2026-04-30T17:07:26Z,,21.8283,6,16,393,1868,3,1,1
OpenHands/OpenHands,14217,refactor(settings): replace LLMAgentSettings with OpenHandsAgentSettings and drop compat shim,MERGED,2026-04-29T18:52:11Z,2026-04-30T23:03:44Z,2026-04-30T23:03:44Z,28.1925,8,38,155,1570,3,1,11
OpenHands/OpenHands,14215,Remove dead MCP config factory + legacy SandboxConfig (V0 dead code cleanup),MERGED,2026-04-29T17:46:48Z,2026-04-29T18:57:49Z,2026-04-29T18:57:49Z,1.1836,11,10,685,3720,4,1,2
OpenHands/OpenHands,14208,Remove unused core.schema package and KubernetesConfig,MERGED,2026-04-29T13:19:55Z,2026-04-29T15:02:10Z,2026-04-29T15:02:10Z,1.7042,8,4,257,2393,4,1,2
OpenHands/OpenHands,14205,feat: add bitbucket cloud resolver for pr comment triggers,MERGED,2026-04-29T10:59:46Z,2026-04-29T13:36:06Z,2026-04-29T13:36:06Z,2.6056,20,2038,2,6844,4,2,6
OpenHands/OpenHands,14203,Remove legacy condenser_config and model_routing_config,MERGED,2026-04-29T02:14:01Z,2026-04-29T13:01:33Z,2026-04-29T13:01:33Z,10.7922,6,7,785,2813,5,2,2
OpenHands/OpenHands,14200,Remove socketio from app server communications,MERGED,2026-04-28T20:52:20Z,2026-04-29T13:01:23Z,2026-04-29T13:01:22Z,16.1506,19,217,245,867,5,3,13
OpenHands/OpenHands,14197,feat: replace ENABLE_ONBOARDING with OH_ENABLE_ONBOARDING server flag,MERGED,2026-04-28T20:10:54Z,2026-04-29T14:00:15Z,2026-04-29T14:00:15Z,17.8225,22,77,32,2066,5,1,2
OpenHands/OpenHands,14189,"feat(acp): ACP agent selection UI — settings page, nav, and conversation plumbing",CLOSED,2026-04-28T17:09:30Z,2026-05-01T14:27:52Z,,69.3061,31,2297,78,1424,3,10,8
OpenHands/OpenHands,14184,Release 1.7.0,MERGED,2026-04-28T15:38:52Z,2026-05-01T14:49:58Z,2026-05-01T14:49:58Z,71.185,3,4,4,1747,3,2,1
OpenHands/OpenHands,14182,feat: Add REST endpoint to send follow-up messages to conversations,MERGED,2026-04-28T15:30:58Z,2026-04-28T18:10:59Z,2026-04-28T18:10:59Z,2.6669,3,744,1,4235,5,7,6
OpenHands/OpenHands,14178,refactor: move FileStore to openhands.app_server.file_store,MERGED,2026-04-28T13:14:27Z,2026-04-28T19:10:31Z,2026-04-28T19:10:31Z,5.9344,32,563,514,2026,5,1,2
OpenHands/OpenHands,14172,refactor: Use direct file API in FileSettingsStore and FileSecretsStore,MERGED,2026-04-27T22:31:05Z,2026-04-28T02:42:31Z,2026-04-28T02:42:31Z,4.1906,8,98,77,2815,4,1,1
OpenHands/OpenHands,14171,feat(acp): inject user secrets into ACP subprocess env,MERGED,2026-04-27T22:14:52Z,2026-04-28T15:32:36Z,2026-04-28T15:32:36Z,17.2956,2,386,14,2590,5,5,8
OpenHands/OpenHands,14170,refactor: move Settings and Secrets models to app_server,MERGED,2026-04-27T22:05:42Z,2026-04-28T01:03:50Z,2026-04-28T01:03:50Z,2.9689,49,301,285,2690,5,2,2
OpenHands/OpenHands,14166,FE: Restore flag to block traffic to /onboarding,MERGED,2026-04-27T19:27:15Z,2026-04-27T21:16:51Z,2026-04-27T21:16:51Z,1.8267,5,42,1,1797,4,1,2
OpenHands/OpenHands,14164,Remove deprecated webhook file stores (V0 cleanup),MERGED,2026-04-27T19:07:15Z,2026-04-27T20:10:35Z,2026-04-27T20:10:35Z,1.0556,9,4,683,2096,5,1,3
OpenHands/OpenHands,14163,ALL-5659: fix self-hosted Slack OAuth to use configured app credentials,MERGED,2026-04-27T18:44:18Z,2026-04-28T18:02:26Z,2026-04-28T18:02:26Z,23.3022,4,75,29,1375,5,11,4
