repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
Stirling-Tools/Stirling-PDF,6310,Fix missing desktop save indicator on files,MERGED,2026-05-05T09:24:52Z,2026-05-05T12:08:03Z,2026-05-05T12:08:03Z,2.7197,5,156,7,418,3,1,2
Stirling-Tools/Stirling-PDF,6305,build(deps): bump the tauri group across 1 directory with 7 updates,MERGED,2026-05-02T22:23:51Z,2026-05-05T11:05:55Z,2026-05-05T11:05:55Z,60.7011,4,318,146,41569,3,2,2
Stirling-Tools/Stirling-PDF,6301,build(deps): bump the mui group across 1 directory with 2 updates,MERGED,2026-05-01T10:43:52Z,2026-05-05T09:53:17Z,2026-05-05T09:53:17Z,95.1569,12,82,66,30417,3,3,2
Stirling-Tools/Stirling-PDF,6299,build(deps): bump the embedpdf group across 1 directory with 23 updates,MERGED,2026-05-01T10:42:54Z,2026-05-05T11:15:02Z,2026-05-05T11:15:02Z,96.5356,2,182,181,65536,2,2,1
Stirling-Tools/Stirling-PDF,6298,build(deps): bump actions/github-script from 7.1.0 to 9.0.0,MERGED,2026-05-01T10:40:08Z,2026-05-05T09:33:14Z,2026-05-05T09:33:14Z,94.885,10,23,23,8797,1,1,1
Stirling-Tools/Stirling-PDF,6297,build(deps): bump actions/upload-artifact from 7.0.0 to 7.0.1,MERGED,2026-05-01T10:39:54Z,2026-05-05T09:34:45Z,2026-05-05T09:34:45Z,94.9142,14,17,17,4006,1,3,1
Stirling-Tools/Stirling-PDF,6294,build(deps): bump gradle/actions from 5.0.1 to 6.1.0,MERGED,2026-05-01T10:39:22Z,2026-05-05T09:32:54Z,2026-05-05T09:32:54Z,94.8922,13,15,15,8781,1,1,1
Stirling-Tools/Stirling-PDF,6293,build(deps): bump eclipse-temurin from `a051234` to `b27ca47` in /docker/embedded,MERGED,2026-05-01T10:37:58Z,2026-05-05T09:32:30Z,2026-05-05T09:32:30Z,94.9089,1,1,1,1569,1,0,1
Stirling-Tools/Stirling-PDF,6292,build(deps): bump eclipse-temurin from `a051234` to `b27ca47` in /docker/base,MERGED,2026-05-01T10:37:53Z,2026-05-05T10:42:36Z,2026-05-05T10:42:36Z,96.0786,1,1,1,51,1,0,1
Stirling-Tools/Stirling-PDF,6291,Fix move button on multitool,MERGED,2026-05-01T09:45:19Z,2026-05-05T21:21:55Z,2026-05-05T21:21:55Z,107.61,3,19,26,50,3,2,2
Stirling-Tools/Stirling-PDF,6287,Add Dependabot groups for frontend npm + cargo deps,MERGED,2026-04-30T21:28:33Z,2026-05-01T10:37:08Z,2026-05-01T10:37:08Z,13.1431,1,93,0,1012,2,0,1
Stirling-Tools/Stirling-PDF,6286,build(deps): bump org.springdoc:springdoc-openapi-starter-webmvc-ui from 3.0.2 to 3.0.3 in /app/common,MERGED,2026-04-30T21:14:35Z,2026-05-05T09:35:19Z,2026-05-05T09:35:19Z,108.3456,1,1,1,9965,1,1,1
Stirling-Tools/Stirling-PDF,6285,build(deps): bump globals from 17.4.0 to 17.5.0 in /frontend,MERGED,2026-04-30T21:12:13Z,2026-05-05T10:40:14Z,2026-05-05T10:40:14Z,109.4669,2,5,5,2900,1,2,1
Stirling-Tools/Stirling-PDF,6283,build(deps): bump com.google.guava:guava from 33.5.0-jre to 33.6.0-jre,MERGED,2026-04-30T21:11:54Z,2026-05-05T09:39:54Z,2026-05-05T09:39:54Z,108.4667,1,1,1,5342,1,1,1
Stirling-Tools/Stirling-PDF,6281,decouple appimage,MERGED,2026-04-30T18:27:13Z,2026-04-30T20:36:34Z,2026-04-30T20:36:34Z,2.1558,1,26,1,1797,2,1,1
Stirling-Tools/Stirling-PDF,6278,Switch key areas to lazily import to improve Vite chunk size,MERGED,2026-04-30T13:58:47Z,2026-05-01T15:53:49Z,2026-05-01T15:53:49Z,25.9172,11,620,189,1689,4,3,5
Stirling-Tools/Stirling-PDF,6275,gha cleanups,MERGED,2026-04-30T10:56:39Z,2026-04-30T16:08:35Z,2026-04-30T16:08:34Z,5.1986,15,998,741,1949,4,0,7
Stirling-Tools/Stirling-PDF,6274,fix stubs playwright,MERGED,2026-04-30T09:47:50Z,2026-04-30T11:37:15Z,2026-04-30T11:37:15Z,1.8236,3,47,5,1797,2,1,2
Stirling-Tools/Stirling-PDF,6264,Update Backend 3rd Party Licenses,MERGED,2026-04-28T17:47:58Z,2026-04-30T09:19:09Z,2026-04-30T09:19:09Z,39.5197,1,794,10,107,1,0,1
Stirling-Tools/Stirling-PDF,6261,build(deps): bump com.github.junrar:junrar from 7.5.8 to 7.5.10 in /app/common,MERGED,2026-04-28T16:40:34Z,2026-04-28T17:45:50Z,2026-04-28T17:45:50Z,1.0878,1,1,1,9432,1,0,1
Stirling-Tools/Stirling-PDF,6260,build(deps): bump com.google.guava:guava from 33.5.0-jre to 33.6.0-jre in /app/common,MERGED,2026-04-28T16:40:31Z,2026-04-28T20:42:21Z,2026-04-28T20:42:21Z,4.0306,1,1,1,5342,1,0,1
Stirling-Tools/Stirling-PDF,6258,build(deps): bump actions/setup-node from 6.3.0 to 6.4.0,MERGED,2026-04-28T16:39:45Z,2026-05-05T09:38:43Z,2026-05-05T09:38:43Z,160.9828,9,10,10,2115,1,3,1
Stirling-Tools/Stirling-PDF,6257,build(deps): bump tauri-apps/tauri-action from 0.5.25 to 0.6.2,MERGED,2026-04-28T16:39:26Z,2026-04-30T21:36:16Z,2026-04-30T21:36:16Z,52.9472,2,3,3,5914,1,1,1
Stirling-Tools/Stirling-PDF,6256,build(deps): bump github/codeql-action from 4.32.6 to 4.35.2,MERGED,2026-04-28T16:39:11Z,2026-04-28T17:45:39Z,2026-04-28T17:45:38Z,1.1075,1,1,1,18856,1,0,1
Stirling-Tools/Stirling-PDF,6255,build(deps): bump springSecuritySamlVersion from 7.0.4 to 7.0.5,MERGED,2026-04-28T16:37:48Z,2026-05-05T18:01:07Z,2026-05-05T18:01:07Z,169.3886,1,1,1,14759,1,1,1
Stirling-Tools/Stirling-PDF,6254,build(deps): bump docker/setup-buildx-action from 3.12.0 to 4.0.0,MERGED,2026-04-28T16:37:42Z,2026-04-28T17:45:25Z,2026-04-28T17:45:25Z,1.1286,7,8,8,6287,1,0,1
Stirling-Tools/Stirling-PDF,6253,build(deps-dev): bump stylelint from 17.4.0 to 17.8.0 in /devTools,MERGED,2026-04-28T16:37:33Z,2026-04-28T17:45:10Z,2026-04-28T17:45:10Z,1.1269,2,65,68,17170,1,0,1
