repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
angular/angular,68577,build: update cross-repo angular dependencies (main),MERGED,2026-05-05T16:05:38Z,2026-05-06T00:08:42Z,2026-05-06T00:08:42Z,8.0511,3,8,8,711,3,1,1
angular/angular,68575,fix: sanitizer typings,MERGED,2026-05-05T14:46:17Z,2026-05-06T00:07:04Z,2026-05-06T00:07:03Z,9.3461,3,6,9,0,4,1,5
angular/angular,68574,feat(devtools): improve value highlighting in object previews,MERGED,2026-05-05T13:44:34Z,2026-05-06T00:06:42Z,2026-05-06T00:06:42Z,10.3689,12,123,10,368,3,1,1
angular/angular,68567,build: lock file maintenance (main),MERGED,2026-05-05T06:12:50Z,2026-05-05T16:35:20Z,2026-05-05T16:35:19Z,10.3747,16,3107,3315,497,3,2,2
angular/angular,68563,Fix issues with orphan fields and interactions like blur(),MERGED,2026-05-04T23:31:02Z,2026-05-05T22:54:43Z,2026-05-05T22:54:43Z,23.3947,5,319,83,0,2,2,4
angular/angular,68560,fix(compiler): disallow i18n on svg animation attributes (XSS),CLOSED,2026-05-04T21:45:44Z,2026-05-05T19:20:15Z,,21.5753,2,48,4,3350,3,2,1
angular/angular,68558,perf(forms): shortcut deepSignal writes if value is unchanged,MERGED,2026-05-04T21:38:36Z,2026-05-05T16:28:01Z,2026-05-05T16:28:01Z,18.8236,2,84,0,1608,2,2,1
angular/angular,68547,refactor(devtools): minor improvements of the resolution path UI,MERGED,2026-05-04T14:28:10Z,2026-05-05T16:34:58Z,2026-05-05T16:34:58Z,26.1133,4,97,64,103,3,1,1
angular/angular,68542,fix(compiler): invalid type checking code if field name needs to be quoted,MERGED,2026-05-04T07:30:38Z,2026-05-05T16:34:27Z,2026-05-05T16:34:27Z,33.0636,10,103,30,111,3,1,3
angular/angular,68540,refactor(language-service): add quick info for `$safeNavigationMigration`,MERGED,2026-05-04T00:22:38Z,2026-05-06T00:03:55Z,2026-05-06T00:03:55Z,47.6881,2,40,0,89,3,1,1
angular/angular,68539,docs: add component method track example to @for block,MERGED,2026-05-03T23:05:41Z,2026-05-06T00:02:53Z,2026-05-06T00:02:53Z,48.9533,1,4,4,1734,3,1,7
angular/angular,68530,"docs: correct ""Angular JS"" to ""AngularJS""",MERGED,2026-05-03T09:42:50Z,2026-05-05T19:42:40Z,2026-05-05T19:42:40Z,57.9972,4,6,6,1427,3,1,1
angular/angular,68527,fix(docs-infra): mask page content leak at mobile nav right edge,MERGED,2026-05-02T21:29:15Z,2026-05-05T16:31:54Z,2026-05-05T16:31:54Z,67.0442,1,1,1,1322,3,6,1
angular/angular,68519,fix(docs-infra): keep mobile nav drawers usable on small screens,MERGED,2026-05-02T13:54:19Z,2026-05-05T16:31:27Z,2026-05-05T16:31:27Z,74.6189,3,9,1,2242,4,3,1
angular/angular,68513,fix(forms): prohibit concurrent submits in signal forms,MERGED,2026-05-01T21:23:10Z,2026-05-05T18:14:04Z,2026-05-05T18:14:04Z,92.8483,3,29,0,413,3,3,2
angular/angular,68512,fix(forms): ensure debounced async validators produce pending status during debounce,MERGED,2026-05-01T20:01:27Z,2026-05-04T20:03:08Z,2026-05-04T20:03:08Z,72.0281,4,68,14,297,2,2,3
angular/angular,68510,fix(forms): ensure reset cancels pending debounce and syncs controlValue,CLOSED,2026-05-01T17:57:35Z,2026-05-05T20:27:23Z,,98.4967,4,165,3,68,3,1,3
angular/angular,68507,fix(router): use navigation.updateCurrentEntry for same-path state writes,CLOSED,2026-05-01T16:20:25Z,2026-05-04T19:22:11Z,,75.0294,7,171,16,3817,3,2,3
angular/angular,68505,refactor(forms): improve clarity in SelectMultipleControlValueAccessor.writeValue,MERGED,2026-05-01T14:14:56Z,2026-05-01T23:02:35Z,2026-05-01T23:02:35Z,8.7942,1,4,4,2218,3,4,1
angular/angular,68504,feat(router): add preserveInitialUrl config to keep text fragments on initial load,CLOSED,2026-05-01T13:06:02Z,2026-05-01T14:37:09Z,,1.5186,5,162,3,3287,3,4,1
angular/angular,68502,fix(core): i18n flags leaking on errors,MERGED,2026-05-01T10:30:55Z,2026-05-05T16:30:54Z,2026-05-05T16:30:54Z,101.9997,1,17,14,378,3,2,1
angular/angular,68501,refactor(schematics): fix incremental-hydration migration,MERGED,2026-05-01T10:24:52Z,2026-05-01T23:01:29Z,2026-05-01T23:01:29Z,12.6103,3,49,11,45,3,1,1
angular/angular,68499,docs: fix typo in computed signals section,MERGED,2026-05-01T09:28:14Z,2026-05-01T23:00:49Z,2026-05-01T23:00:49Z,13.5431,1,1,1,1224,3,1,1
angular/angular,68498,fix(core): enforce return type for service factory,MERGED,2026-05-01T08:02:37Z,2026-05-05T16:30:30Z,2026-05-05T16:30:30Z,104.4647,3,21,10,90,3,1,1
angular/angular,68495,refactor(http): Add `reportUploadProgress` &  `reportDownloadProgre…,MERGED,2026-04-30T23:32:10Z,2026-05-01T23:00:01Z,2026-05-01T23:00:01Z,23.4642,11,162,23,271,3,1,2
angular/angular,68494,refactor(devtools): cleanup,MERGED,2026-04-30T22:46:43Z,2026-05-01T22:59:41Z,2026-05-01T22:59:41Z,24.2161,3,59,3,46,3,1,1
angular/angular,68493,fix(core): visit ng-let expression value in signal migration schematics,MERGED,2026-04-30T22:04:25Z,2026-05-01T22:59:16Z,2026-05-01T22:59:16Z,24.9142,4,57,0,1162,3,1,1
angular/angular,68492,fix(docs-infra): exempt form validator names from API auto-linking,MERGED,2026-04-30T19:39:25Z,2026-05-01T22:58:44Z,2026-05-01T22:58:44Z,27.3219,1,7,0,1732,4,4,5
angular/angular,68490,test: add NgModule compliance test with 'bootstrap' & local compilation,MERGED,2026-04-30T19:34:54Z,2026-05-01T22:58:06Z,2026-05-01T22:58:06Z,27.3867,5,182,0,253,3,1,1
angular/angular,68488,refactor(common): update deprecation message,MERGED,2026-04-30T17:04:22Z,2026-04-30T23:06:58Z,2026-04-30T23:06:58Z,6.0433,3,11,11,92,3,2,1
angular/angular,68487,docs: update `@Service` remove preview warning,MERGED,2026-04-30T15:46:58Z,2026-04-30T23:12:24Z,2026-04-30T23:12:24Z,7.4239,2,1,3,110,3,1,1
