repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
ant-design/ant-design,57861,refactor(type): replace assertion with type guard,MERGED,2026-05-05T13:56:36Z,2026-05-05T15:51:28Z,2026-05-05T15:51:28Z,1.9144,4,8,10,1779,3,9,4
ant-design/ant-design,57860,type: update any type to React.ComponentType,MERGED,2026-05-05T10:41:22Z,2026-05-05T12:05:31Z,2026-05-05T12:05:31Z,1.4025,3,8,8,1845,3,10,4
ant-design/ant-design,57859,fix(wave): ignore transparent hex colors,MERGED,2026-05-05T05:25:00Z,2026-05-05T13:35:14Z,2026-05-05T13:35:14Z,8.1706,2,94,7,1837,3,9,6
ant-design/ant-design,57853,chore: use shared plain object checks,MERGED,2026-05-04T09:42:56Z,2026-05-04T15:13:07Z,2026-05-04T15:13:07Z,5.5031,6,29,19,1831,3,10,7
ant-design/ant-design,57851,chore: merge master into feature,MERGED,2026-05-04T06:21:44Z,2026-05-04T07:38:28Z,2026-05-04T07:38:28Z,1.2789,5,84,80,1821,3,10,3
ant-design/ant-design,57849,chore: bump dev-dependencies groups,MERGED,2026-05-03T21:28:43Z,2026-05-04T06:11:49Z,2026-05-04T06:11:48Z,8.7181,1,57,57,11058,1,10,2
ant-design/ant-design,57846,chore: preserve status color fallbacks,MERGED,2026-05-03T08:17:53Z,2026-05-04T04:43:16Z,2026-05-04T04:43:16Z,20.4231,1,21,10,1785,3,11,4
ant-design/ant-design,57845,refactor(util): use shared type guards for runtime checks,MERGED,2026-05-03T07:18:58Z,2026-05-03T09:02:32Z,2026-05-03T09:02:32Z,1.7261,8,30,32,1871,3,9,6
ant-design/ant-design,57843,chore(deps): update dependency eslint to v10.3.0,MERGED,2026-05-03T01:29:59Z,2026-05-03T03:20:12Z,2026-05-03T03:20:12Z,1.8369,1,1,1,1996,2,11,1
ant-design/ant-design,57842,chore(deps): update dependency @biomejs/biome to v2.4.14,MERGED,2026-05-03T01:29:53Z,2026-05-03T02:37:01Z,2026-05-03T02:37:01Z,1.1189,1,1,1,22395,1,9,1
ant-design/ant-design,57841,chore(deps): update nearform-actions/github-action-notify-twitter digest to 6dc44ca,MERGED,2026-05-03T01:29:47Z,2026-05-03T02:38:00Z,2026-05-03T02:38:00Z,1.1369,1,1,1,1091,1,9,1
ant-design/ant-design,57840,feat(Tag): support per-option className and style in CheckableTagGroup,MERGED,2026-05-02T05:48:32Z,2026-05-02T16:34:48Z,2026-05-02T16:34:48Z,10.7711,4,123,4,932,4,7,5
ant-design/ant-design,57838,fix: remove unexpected 1px horizontal padding from Splitter.Panel,MERGED,2026-05-02T02:56:48Z,2026-05-02T07:47:55Z,2026-05-02T07:47:55Z,4.8519,1,0,2,864,4,7,3
ant-design/ant-design,57836,chore: bump nearform-actions/github-action-notify-twitter from 742e1bd4aec7a89c6d2d00231b9e2c0aed97792c to 424986a017263c11f98851381727d90f44c24272,MERGED,2026-05-01T13:07:50Z,2026-05-01T15:22:19Z,2026-05-01T15:22:19Z,2.2414,1,1,1,2326,2,11,2
ant-design/ant-design,57835,refactor(util): use shared type guards for runtime checks,MERGED,2026-05-01T03:10:46Z,2026-05-01T15:27:17Z,2026-05-01T15:27:17Z,12.2753,47,173,181,1871,3,10,5
ant-design/ant-design,57834,chore: merge master into feature,MERGED,2026-04-30T11:14:55Z,2026-04-30T16:33:48Z,2026-04-30T16:33:48Z,5.3147,19,904,47,1821,6,11,3
