repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
anthropics/claude-code,55484,Claude/dashboard improvements se h7a,CLOSED,2026-05-02T02:12:13Z,2026-05-02T20:09:35Z,,17.9561,16,2292,0,0,2,0,2
anthropics/claude-code,52239,fix: point $schema at schemastore.org (URL was 404),MERGED,2026-04-23T03:53:42Z,2026-04-23T18:27:08Z,2026-04-23T18:27:08Z,14.5572,1,1,1,684,2,1,1
anthropics/claude-code,50638,Claude/fix readme images eu sfj,CLOSED,2026-04-19T04:48:02Z,2026-04-22T13:40:53Z,,80.8808,93,9228,45,0,3,0,1
anthropics/claude-code,46914,Create Mythos Runtime Tests,CLOSED,2026-04-12T08:07:20Z,2026-04-22T13:40:51Z,,245.5586,1,28,0,0,1,1,4
anthropics/claude-code,46095,Claude Mythos operating contract for Veriflow immune system,CLOSED,2026-04-10T06:34:06Z,2026-04-19T03:40:59Z,,213.1147,93,9210,45,0,2,4,11
anthropics/claude-code,45721,Add Claude Mythos operating contract for Veriflow immune system,CLOSED,2026-04-09T12:49:43Z,2026-04-09T18:44:59Z,,5.9211,6,232,0,19,3,6,4
anthropics/claude-code,43824,fix: using variable interpolation `${{ in claude-dedupe-issues.yml...,MERGED,2026-04-05T10:45:20Z,2026-04-27T13:33:16Z,2026-04-27T13:33:16Z,530.7989,1,7,5,1195,2,0,1
anthropics/claude-code,41661,"Add 14 Revolutionary Claude Code Plugins - Security, Performance, Architecture, Fullstack Automation",CLOSED,2026-03-31T21:22:07Z,2026-04-06T22:57:47Z,,145.5944,219,40900,0,527,4,3,1
anthropics/claude-code,40969,Read issue number from workflow event in helper scripts,MERGED,2026-03-30T13:14:47Z,2026-03-31T11:37:00Z,2026-03-31T11:37:00Z,22.3703,6,32,38,365,2,0,1
anthropics/claude-code,37241,Add agents-md plugin: auto-load AGENTS.md at session start (#6235),CLOSED,2026-03-21T20:47:56Z,2026-03-22T17:59:38Z,,21.195,9,317,0,2204,2,0,1
anthropics/claude-code,37236,Add tmp-cwd-cleanup plugin: Stop hook for /tmp/claude-*-cwd leak (#8856),CLOSED,2026-03-21T20:29:57Z,2026-03-24T12:53:50Z,,64.3981,5,119,0,1940,2,0,1
anthropics/claude-code,36625,Fix Pre/PostToolUse message not being shown to Claude,CLOSED,2026-03-20T12:46:24Z,2026-04-01T07:39:44Z,,282.8889,1,3,2,1603,2,1,2
anthropics/claude-code,36594,feat(plugins): add remote-control plugin for guided setup and launch,CLOSED,2026-03-20T10:50:22Z,2026-05-02T15:34:31Z,,1036.7358,7,235,0,587,1,0,1
anthropics/claude-code,33472,feat(code-review): pass confirmed=true when posting inline comments,MERGED,2026-03-12T04:08:38Z,2026-03-12T07:12:41Z,2026-03-12T07:12:41Z,3.0675,1,1,1,1236,2,0,1
anthropics/claude-code,31945,docs: Add CLAUDE.md repository guide for AI assistants,CLOSED,2026-03-07T22:02:24Z,2026-04-26T08:33:09Z,,1186.5125,1,315,0,2087,2,0,1
anthropics/claude-code,31701,fix: respect $TMPDIR and os.tmpdir() instead of hardcoding /tmp/claude,CLOSED,2026-03-07T04:01:23Z,2026-03-24T03:44:57Z,,407.7261,3,327,0,1060,3,1,1
