repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
apache/superset,39897,fix(OAuth2): Support OAuth2 exception with legacy endpoint,MERGED,2026-05-05T22:04:17Z,2026-05-06T00:21:49Z,2026-05-06T00:21:49Z,2.2922,6,358,3,1437,2,4,2
apache/superset,39891,fix(mcp): warn on invalid chart preview form data key,MERGED,2026-05-05T16:24:15Z,2026-05-05T19:40:01Z,2026-05-05T19:40:01Z,3.2628,2,191,8,3165,3,2,3
apache/superset,39871,Helm chart release for helm-publish-e763186,MERGED,2026-05-04T22:55:11Z,2026-05-05T01:38:56Z,2026-05-05T01:38:56Z,2.7292,1,31,1,52,2,5,1
apache/superset,39870,chore: bump shillelagh to 1.4.4,MERGED,2026-05-04T22:30:16Z,2026-05-04T23:39:39Z,2026-05-04T23:39:39Z,1.1564,3,5,5,1131,2,1,2
apache/superset,39868,"fix(markdown): Allow ""target"" attribute",MERGED,2026-05-04T20:06:48Z,2026-05-04T22:27:43Z,2026-05-04T22:27:43Z,2.3486,2,45,1,331,2,3,1
apache/superset,39867,fix(clickhouse): prevent expensive table scan,MERGED,2026-05-04T19:29:01Z,2026-05-04T23:39:10Z,2026-05-04T23:39:10Z,4.1692,2,63,5,2270,2,3,1
apache/superset,39862,fix(CollectionControl): assign stable ids to keyless items,MERGED,2026-05-04T16:43:21Z,2026-05-05T14:52:37Z,2026-05-05T14:52:37Z,22.1544,1,25,3,1392,3,4,4
apache/superset,39860,fix(embedded): prevent duplicate React root on rehandshake,MERGED,2026-05-04T16:41:23Z,2026-05-05T14:52:02Z,2026-05-05T14:52:02Z,22.1775,1,18,10,1406,3,4,4
apache/superset,39858,feat(mcp): warn when execute_sql template_params used with templating disabled,MERGED,2026-05-04T14:52:11Z,2026-05-04T16:14:45Z,2026-05-04T16:14:45Z,1.3761,3,124,1,1940,2,3,1
apache/superset,39852,chore(deps): bump yeoman-generator from 8.1.2 to 8.2.2 in /superset-frontend,MERGED,2026-05-04T07:52:55Z,2026-05-04T22:07:42Z,2026-05-04T22:07:42Z,14.2464,2,3,3,8124,1,2,1
apache/superset,39851,chore(deps-dev): bump webpack-sources from 3.4.0 to 3.4.1 in /superset-frontend,MERGED,2026-05-04T07:52:12Z,2026-05-04T15:25:31Z,2026-05-04T15:25:31Z,7.5553,2,6,6,3983,1,2,1
apache/superset,39850,chore(deps): update zod requirement from ^4.4.1 to ^4.4.3 in /superset-frontend/plugins/plugin-chart-echarts,MERGED,2026-05-04T07:44:52Z,2026-05-04T22:07:56Z,2026-05-04T22:07:55Z,14.3842,1,1,1,4920,1,2,1
apache/superset,39849,chore(deps): bump docusaurus-plugin-openapi-docs from 5.0.1 to 5.0.2 in /docs,MERGED,2026-05-04T07:44:35Z,2026-05-04T22:08:11Z,2026-05-04T22:08:11Z,14.3933,2,6,11,8736,1,2,1
apache/superset,39848,chore(deps): bump baseline-browser-mapping from 2.10.24 to 2.10.27 in /docs,MERGED,2026-05-04T07:44:12Z,2026-05-05T02:16:34Z,2026-05-05T02:16:34Z,18.5394,2,5,5,2668,2,3,1
apache/superset,39847,chore(deps-dev): bump globals from 17.5.0 to 17.6.0 in /docs,MERGED,2026-05-04T07:43:46Z,2026-05-04T22:08:59Z,2026-05-04T22:08:59Z,14.4203,2,5,5,2655,1,2,1
apache/superset,39846,chore(deps): bump docusaurus-theme-openapi-docs from 5.0.1 to 5.0.2 in /docs,MERGED,2026-05-04T07:43:34Z,2026-05-05T02:16:53Z,2026-05-05T02:16:53Z,18.5553,2,5,5,7484,1,3,1
apache/superset,39845,chore(deps): bump @swc/core from 1.15.32 to 1.15.33 in /docs,MERGED,2026-05-04T07:42:51Z,2026-05-04T22:09:22Z,2026-05-04T22:09:22Z,14.4419,2,77,77,4023,1,2,1
apache/superset,39844,chore(deps-dev): bump globals from 17.5.0 to 17.6.0 in /superset-websocket,MERGED,2026-05-04T07:42:08Z,2026-05-04T22:09:37Z,2026-05-04T22:09:37Z,14.4581,2,8,8,2655,1,1,1
apache/superset,39843,chore(deps-dev): bump eslint from 10.2.1 to 10.3.0 in /superset-websocket,MERGED,2026-05-04T07:42:01Z,2026-05-05T00:02:28Z,2026-05-05T00:02:28Z,16.3408,2,8,8,7937,1,1,1
apache/superset,39839,fix(helm): allow chart to work out-of-the-box with legacy Bitnami images,MERGED,2026-05-03T08:46:48Z,2026-05-04T22:54:01Z,2026-05-04T22:54:01Z,38.1203,3,9,2,2112,4,4,1
apache/superset,39838,fix(mcp): point get_dataset_info url to explore view instead of legacy tablemodelview edit,MERGED,2026-05-03T00:18:03Z,2026-05-04T17:39:06Z,2026-05-04T17:39:06Z,41.3508,2,23,15,1084,2,4,2
apache/superset,39825,chore(deps): drop stale legacy-plugin-chart-map-box lockfile entry,MERGED,2026-05-01T19:33:19Z,2026-05-02T06:35:25Z,2026-05-02T06:35:25Z,11.035,1,0,19,1795,3,2,2
apache/superset,39822,chore(deps-dev): bump @babel/preset-env from 7.29.2 to 7.29.3 in /superset-frontend,MERGED,2026-05-01T08:11:03Z,2026-05-02T05:38:55Z,2026-05-02T05:38:54Z,21.4642,3,30,109,5331,1,2,1
apache/superset,39816,chore(deps-dev): bump yeoman-test from 11.3.1 to 11.4.2 in /superset-frontend,MERGED,2026-05-01T07:55:33Z,2026-05-02T06:46:48Z,2026-05-02T06:46:48Z,22.8542,2,2,2,9595,1,2,1
apache/superset,39813,chore(deps): bump @docusaurus/core from 3.10.0 to 3.10.1 in /docs,CLOSED,2026-05-01T07:53:21Z,2026-05-02T06:34:13Z,,22.6811,2,214,8,4208,0,1,1
apache/superset,39811,chore(deps-dev): bump @docusaurus/tsconfig from 3.10.0 to 3.10.1 in /docs,MERGED,2026-05-01T07:52:41Z,2026-05-01T13:31:30Z,2026-05-01T13:31:30Z,5.6469,2,5,5,3953,1,2,1
apache/superset,39809,chore(deps): bump aws-actions/amazon-ecs-render-task-definition from 1.8.4 to 1.8.5,MERGED,2026-05-01T07:52:39Z,2026-05-01T13:31:49Z,2026-05-01T13:31:49Z,5.6528,1,1,1,6876,1,1,1
