repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
astral-sh/uv,19287,Increase the timeout for crates.io publishes,MERGED,2026-05-05T14:37:58Z,2026-05-05T17:09:47Z,2026-05-05T17:09:47Z,2.5303,1,6,1,47,3,1,1
astral-sh/uv,19253,Update Rust crate webpki to v0.103.13,MERGED,2026-05-04T01:35:46Z,2026-05-04T18:25:53Z,2026-05-04T18:25:53Z,16.8353,1,2,2,1096,1,0,1
astral-sh/uv,19245,Move `UV_RUN_MAX_RECURSION_DEPTH` parsing to `EnvironmentOptions`,CLOSED,2026-05-03T08:14:15Z,2026-05-03T19:05:13Z,,10.8494,5,59,5,423,2,1,1
astral-sh/uv,19229,Handle incorrect unlock error in `LockedFile::drop` on Wine,MERGED,2026-04-30T20:08:38Z,2026-04-30T23:20:55Z,2026-04-30T23:20:55Z,3.2047,1,20,7,51,3,0,1
astral-sh/uv,19218,Refactor query parameter redaction,MERGED,2026-04-29T19:14:44Z,2026-04-30T15:38:07Z,2026-04-30T15:38:07Z,20.3897,1,74,46,187,3,3,4
astral-sh/uv,19214,Add an integration test for Wine,MERGED,2026-04-29T18:08:07Z,2026-04-30T15:57:39Z,2026-04-30T15:57:39Z,21.8256,1,34,0,135,2,3,1
astral-sh/uv,19213,Use symlinks instead of junctions on Wine,MERGED,2026-04-29T17:57:25Z,2026-04-30T14:02:07Z,2026-04-30T14:02:07Z,20.0783,8,169,35,255,3,1,3
astral-sh/uv,19209,docs: Add 'Exporting lockfiles' to the Concepts->Projects index,MERGED,2026-04-29T12:31:49Z,2026-04-29T18:03:33Z,2026-04-29T18:03:33Z,5.5289,1,1,0,90,3,2,1
astral-sh/uv,19201,Remove our dependency on nanoid,MERGED,2026-04-28T18:12:19Z,2026-04-29T15:56:44Z,2026-04-29T15:56:44Z,21.7403,8,253,20,1629,4,7,4
astral-sh/uv,19199,"trampolines: Don't set PYTHONHOME, set __PYVENV_LAUNCHER__ only in venvs",MERGED,2026-04-27T23:05:56Z,2026-04-29T17:24:35Z,2026-04-29T17:24:35Z,42.3108,9,11,44,2339,2,1,1
astral-sh/uv,19195,Bump astral-tokio-tar to 0.6.1,MERGED,2026-04-27T18:25:00Z,2026-04-27T19:27:44Z,2026-04-27T19:27:44Z,1.0456,2,3,3,102,2,0,1
