repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
awesome-selfhosted/awesome-selfhosted,4197,Add OpenClaw to GenAI section,CLOSED,2026-04-29T12:53:00Z,2026-04-29T15:06:43Z,,2.2286,1,1,0,203,3,0,1
awesome-selfhosted/awesome-selfhosted,4192,fix: issue template to new github format,MERGED,2025-03-31T12:46:37Z,2025-04-17T16:13:10Z,2025-04-17T16:13:10Z,411.4425,2,5,1,385,4,2,6
awesome-selfhosted/awesome-selfhosted,4125,Add RSSHub to Feed section,CLOSED,2023-08-21T18:04:12Z,2023-08-22T13:58:33Z,,19.9058,1,1,0,3213,3,1,1
awesome-selfhosted/awesome-selfhosted,4123,"Standardize ""alternative to"" proprietary services formatting",MERGED,2023-08-21T11:29:30Z,2023-08-21T14:31:22Z,2023-08-21T14:31:21Z,3.0308,1,49,49,151,3,0,5
awesome-selfhosted/awesome-selfhosted,4121,Remove EdPaste (unmaintained since Jan 2019),MERGED,2023-08-20T08:43:19Z,2023-08-22T13:02:40Z,2023-08-22T13:02:40Z,52.3225,1,0,1,576,3,0,2
awesome-selfhosted/awesome-selfhosted,4119,Remove budgetzero (unmaintained since Aug 2022),MERGED,2023-08-20T08:30:47Z,2023-08-22T13:01:43Z,2023-08-22T13:01:43Z,52.5156,1,0,1,654,2,0,1
awesome-selfhosted/awesome-selfhosted,4118,Remove Actionsflow (unmaintained since July 2022),MERGED,2023-08-20T08:29:19Z,2023-08-22T13:01:54Z,2023-08-22T13:01:54Z,52.5431,1,0,1,605,2,0,1
awesome-selfhosted/awesome-selfhosted,4117,Change link to Kubek,MERGED,2023-08-20T05:23:12Z,2023-08-20T09:57:42Z,2023-08-20T09:57:42Z,4.575,1,1,1,0,3,0,1
awesome-selfhosted/awesome-selfhosted,4115,Add Fasten Health to Miscellaneous section,MERGED,2023-08-18T17:53:09Z,2023-08-22T13:02:05Z,2023-08-22T13:02:05Z,91.1489,1,1,0,3213,4,3,3
awesome-selfhosted/awesome-selfhosted,4114,Add ifconfig.io to Automation,CLOSED,2023-08-18T15:59:17Z,2023-08-22T13:59:46Z,,94.0081,1,1,0,3213,4,3,2
awesome-selfhosted/awesome-selfhosted,4112,Add Sunshine to Games - Administrative Utilities & Control Panels,MERGED,2023-08-18T15:29:43Z,2023-08-22T13:02:19Z,2023-08-22T13:02:19Z,93.5433,1,1,0,3213,4,8,5
awesome-selfhosted/awesome-selfhosted,4111,Fix LinkWarden,MERGED,2023-08-18T08:39:33Z,2023-08-18T19:50:49Z,2023-08-18T19:50:49Z,11.1878,1,1,1,166,2,0,1
awesome-selfhosted/awesome-selfhosted,4110,"Remove bloben (unmaintained, website & docs down)",MERGED,2023-08-18T08:38:19Z,2023-08-22T13:01:30Z,2023-08-22T13:01:30Z,100.3864,1,0,1,165,2,0,1
awesome-selfhosted/awesome-selfhosted,4108,Updated Custom Communication Service Databag with new client,CLOSED,2023-08-16T16:11:21Z,2023-08-18T04:22:49Z,,36.1911,1,1,1,3213,3,1,1
awesome-selfhosted/awesome-selfhosted,4100,docs: add EvaDB,CLOSED,2023-08-14T16:12:01Z,2023-08-22T14:00:02Z,,189.8003,1,1,0,3212,3,1,1
awesome-selfhosted/awesome-selfhosted,4099,Fix mealie URLs,MERGED,2023-08-14T12:15:55Z,2023-08-14T17:54:26Z,2023-08-14T17:54:26Z,5.6419,1,1,1,3080,3,0,2
awesome-selfhosted/awesome-selfhosted,4096,Adds Graphweaver to Software- API,MERGED,2023-08-14T00:32:41Z,2023-08-22T13:02:58Z,2023-08-22T13:02:58Z,204.5047,1,1,0,3213,9,6,4
awesome-selfhosted/awesome-selfhosted,4094,Add rgit to Software Development - Project Management,MERGED,2023-08-11T22:40:00Z,2023-08-22T13:00:39Z,2023-08-22T13:00:39Z,254.3442,1,1,0,3213,4,5,5
awesome-selfhosted/awesome-selfhosted,4093,Add Zrok to Proxy section,CLOSED,2023-08-11T17:14:10Z,2023-08-22T13:59:28Z,,260.755,1,1,0,2909,3,3,4
awesome-selfhosted/awesome-selfhosted,4092,Add Grai to non-free,MERGED,2023-08-11T16:27:34Z,2023-08-22T13:01:19Z,2023-08-22T13:01:19Z,260.5625,1,1,0,3213,3,0,6
awesome-selfhosted/awesome-selfhosted,4091,Remove Anchor from non-free.md since it seems to be a dead project,MERGED,2023-08-11T16:07:30Z,2023-08-20T10:01:32Z,2023-08-20T10:01:32Z,209.9006,1,0,1,3283,5,0,3
awesome-selfhosted/awesome-selfhosted,4089,Add Appflowy to Task Management,MERGED,2023-08-11T13:27:51Z,2023-08-22T13:00:11Z,2023-08-22T13:00:11Z,263.5389,1,1,0,3231,3,0,2
awesome-selfhosted/awesome-selfhosted,4083,move issue tracking/contribution workflows/project management to awesome-selfhosted-data,MERGED,2023-08-07T23:48:20Z,2023-08-22T12:58:10Z,2023-08-22T12:58:10Z,349.1639,6,8,70,239,2,0,1
awesome-selfhosted/awesome-selfhosted,4080,Kiselitza add cerbos to misc,CLOSED,2023-08-07T13:58:50Z,2023-08-22T13:59:06Z,,360.0044,1,1,0,3213,4,8,2
awesome-selfhosted/awesome-selfhosted,4079,Add hemmelig to Pastebins,MERGED,2023-08-06T03:26:36Z,2023-08-22T12:59:22Z,2023-08-22T12:59:22Z,393.5461,1,1,0,3213,5,3,5
awesome-selfhosted/awesome-selfhosted,4072,"Move Baby Buddy, Habitica and wger to Miscellaneous",MERGED,2023-08-01T22:25:07Z,2023-08-03T01:59:00Z,2023-08-03T01:59:00Z,27.5647,1,3,3,181,3,0,2
