repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
axios/axios,10846,chore(deps-dev): bump @commitlint/cli from 20.5.0 to 20.5.2 in the development_dependencies group,MERGED,2026-05-05T10:17:20Z,2026-05-05T18:14:17Z,2026-05-05T18:14:17Z,7.9492,1,65,130,8028,1,1,2
axios/axios,10838,chore: backport fixes from the v1x branch,MERGED,2026-05-03T12:04:43Z,2026-05-03T16:49:06Z,2026-05-03T16:49:06Z,4.7397,29,1840,266,3021,1,2,2
axios/axios,10836,Improve GET request example clarity in documentation.,MERGED,2026-05-02T15:21:19Z,2026-05-02T16:27:31Z,2026-05-02T16:27:31Z,1.1033,1,10,2,996,2,0,4
axios/axios,10833,fix: gadgets and smaller issues,MERGED,2026-05-01T17:21:56Z,2026-05-02T10:41:00Z,2026-05-02T10:40:59Z,17.3175,23,1495,352,3232,1,12,9
axios/axios,10832,refactor(utils): use WeakSet for cycle detection in toJSONObject,MERGED,2026-04-30T21:29:40Z,2026-05-05T18:05:18Z,2026-05-05T18:05:18Z,116.5939,2,58,7,1937,2,1,3
axios/axios,10829,fix: update fromDataURI regex to match RFC 2397,MERGED,2026-04-30T08:07:57Z,2026-05-05T17:23:17Z,2026-05-05T17:23:17Z,129.2556,2,93,5,1346,3,2,6
axios/axios,10828,fix(fromDataURI): accept all RFC 2397-compliant data URIs,CLOSED,2026-04-29T19:44:01Z,2026-05-01T15:49:29Z,,44.0911,1,6,1,3264,2,1,1
axios/axios,10825,fix(http): decode URL basic auth credentials,MERGED,2026-04-29T15:05:01Z,2026-04-30T16:49:57Z,2026-04-30T16:49:57Z,25.7489,2,56,2,1633,2,0,2
axios/axios,10823,fix: axios uses deep merge utilities in lib/core/mer... in...,CLOSED,2026-04-29T06:01:59Z,2026-04-30T16:33:11Z,,34.52,1,3,0,2273,2,1,1
axios/axios,10822,fix(http): preserve user-supplied Host header when forwarding through a proxy (#10805),MERGED,2026-04-29T00:03:22Z,2026-04-30T16:33:34Z,2026-04-30T16:33:34Z,40.5033,3,76,1,2817,2,1,2
axios/axios,10821,docs: document paramsSerializer.encode for strict RFC 3986 query encoding (#10809),MERGED,2026-04-28T22:27:48Z,2026-04-30T16:19:04Z,2026-04-30T16:19:04Z,41.8544,5,95,0,1644,2,0,2
axios/axios,10819,fix(http): honor timeout during connect without redirects,MERGED,2026-04-28T17:08:52Z,2026-04-30T16:59:05Z,2026-04-30T16:59:05Z,47.8369,2,140,18,536,2,4,3
axios/axios,10816,fix(fromDataURI): accept all RFC 2397-compliant data URIs,CLOSED,2026-04-28T14:08:45Z,2026-04-29T19:34:22Z,,29.4269,516,64606,60978,3072,50,3,2
axios/axios,10814,chore(deps): bump postcss from 8.5.8 to 8.5.12 in /docs,MERGED,2026-04-28T12:06:46Z,2026-04-28T16:45:51Z,2026-04-28T16:45:51Z,4.6514,1,3,3,6072,1,0,1
axios/axios,10813,chore(deps): bump actions/setup-node from 6.3.0 to 6.4.0 in the github-actions group,MERGED,2026-04-28T10:18:51Z,2026-04-28T12:05:36Z,2026-04-28T12:05:35Z,1.7789,6,15,15,5514,1,0,2
axios/axios,10811,feat(core): add response.duration for request timing,CLOSED,2026-04-27T15:54:18Z,2026-04-28T12:03:12Z,,20.1483,517,64365,60986,2829,47,2,4
axios/axios,10806,fix(fetch): preserve abort reasons in fetch adapter,MERGED,2026-04-27T13:50:47Z,2026-04-27T15:42:33Z,2026-04-27T15:42:33Z,1.8628,3,131,3,3410,2,1,1
axios/axios,10802,feat: add QUERY HTTP method support,MERGED,2026-04-24T15:14:51Z,2026-04-28T12:28:31Z,2026-04-28T12:28:31Z,93.2278,13,405,6,1640,2,1,4
axios/axios,10800,fix: close redirect listiner chanin correctly to no longer stack,MERGED,2026-04-24T13:47:06Z,2026-04-24T17:12:52Z,2026-04-24T17:12:52Z,3.4294,2,152,2,1555,1,2,2
axios/axios,10799,chore(docs): update sponsor block,CLOSED,2026-04-24T01:32:27Z,2026-04-24T07:23:51Z,,5.8567,1,1,1,10934,1,0,1
