repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
browser-use/browser-use,4770,fix: preserve partial action results when mid-batch action fails,MERGED,2026-04-30T01:04:08Z,2026-05-03T02:02:20Z,2026-05-03T02:02:20Z,72.97,1,9,1,2296,4,5,2
browser-use/browser-use,4762,fix: the browser automation agent feeds web page dom... in service.py,CLOSED,2026-04-29T07:06:24Z,2026-05-01T22:51:43Z,,63.7553,484,73409,19937,2420,17,2,1
browser-use/browser-use,4745,docs: document context controls for long-running agents,CLOSED,2026-04-26T13:55:26Z,2026-05-01T18:17:17Z,,124.3642,1,34,0,1798,3,2,1
browser-use/browser-use,4736,fix(element): redact sensitive values in fill() debug logging,MERGED,2026-04-23T15:19:56Z,2026-04-25T01:08:00Z,2026-04-25T01:08:00Z,33.8011,2,1,2,1541,3,2,1
browser-use/browser-use,4734,fix(schema): remove unreachable 'type' key from validation fields list,MERGED,2026-04-23T14:00:25Z,2026-04-25T01:08:02Z,2026-04-25T01:08:02Z,35.1269,1,0,1,965,3,1,1
browser-use/browser-use,4731,fix: remove dead code in optimize_schema(),CLOSED,2026-04-23T05:23:25Z,2026-04-25T01:13:03Z,,43.8272,1,0,4,667,3,3,1
browser-use/browser-use,4724,fix: implement retry logic for captureScreenshot to avoid timeouts (#…,CLOSED,2026-04-21T18:40:53Z,2026-05-04T16:59:10Z,,310.3047,1,22,7,681,2,0,1
browser-use/browser-use,4718,fix: robust Docker detection using multi-signal heuristics (#4149),CLOSED,2026-04-21T14:40:53Z,2026-05-04T16:59:09Z,,314.3044,1,26,5,1666,2,1,1
browser-use/browser-use,4717,fix: video recording speed by implementing frame duplication (#4696),CLOSED,2026-04-21T14:17:26Z,2026-05-04T16:59:09Z,,314.6953,2,28,8,1790,3,1,3
browser-use/browser-use,4712,docs: fix malformed HTML attributes in README picture/img tags,MERGED,2026-04-21T00:57:59Z,2026-04-21T02:08:44Z,2026-04-21T02:08:44Z,1.1792,1,3,3,1873,3,1,2
browser-use/browser-use,4711,fix(tools): enforce per-action timeout to prevent hung event handlers,MERGED,2026-04-20T22:23:01Z,2026-04-21T00:59:15Z,2026-04-21T00:59:15Z,2.6039,7,544,20,4410,1,1,8
