repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
caddyserver/caddy,7688,caddyauth: revert user placeholders on auth rejection,MERGED,2026-05-03T06:51:33Z,2026-05-05T15:12:46Z,2026-05-05T15:12:46Z,56.3536,2,7,90,642,3,2,2
caddyserver/caddy,7676,listeners: clean up stale Unix socket files on Windows,MERGED,2026-04-28T18:14:18Z,2026-04-29T11:52:05Z,2026-04-29T11:52:05Z,17.6297,3,110,4,5819,3,7,1
caddyserver/caddy,7673,admin: require path segment boundary in remote access control,MERGED,2026-04-25T10:22:40Z,2026-04-27T14:43:40Z,2026-04-27T14:43:40Z,52.35,2,119,3,737,2,0,1
caddyserver/caddy,7670,fix: Propagate ECH keys to the QUIC listener,MERGED,2026-04-23T06:28:34Z,2026-04-23T19:33:41Z,2026-04-23T19:33:41Z,13.0853,2,72,1,1092,2,0,1
caddyserver/caddy,7668,build(deps): bump github.com/jackc/pgx/v5 from 5.9.0 to 5.9.2,MERGED,2026-04-23T00:25:19Z,2026-04-26T13:51:26Z,2026-04-26T13:51:26Z,85.4353,2,3,3,4893,1,0,1
caddyserver/caddy,7666,caddyhttp: prefer port 443 in auto-HTTPS and add tests,MERGED,2026-04-22T17:56:55Z,2026-04-23T07:29:04Z,2026-04-23T07:29:04Z,13.5358,3,97,7,1088,2,1,1
caddyserver/caddy,7664,metrics: Implement pushing via OLTP,MERGED,2026-04-22T10:18:10Z,2026-04-25T10:52:08Z,2026-04-25T10:52:08Z,72.5661,7,183,8,2228,3,0,2
caddyserver/caddy,7655,build(deps): bump github.com/jackc/pgx/v5 from 5.8.0 to 5.9.0,MERGED,2026-04-16T23:32:18Z,2026-04-17T20:50:54Z,2026-04-17T20:50:54Z,21.31,2,3,3,6741,1,0,1
caddyserver/caddy,7654,fileserver: Support precompressed files w/o base.,CLOSED,2026-04-16T03:08:06Z,2026-04-17T01:49:01Z,,22.6819,5,864,8,315,5,10,3
caddyserver/caddy,7652,chore: add `AGENTS.md`,MERGED,2026-04-15T17:18:23Z,2026-04-17T20:49:59Z,2026-04-17T20:49:59Z,51.5267,1,217,0,522,3,0,9
caddyserver/caddy,7650,tls: Add alpn to managed HTTPS records,CLOSED,2026-04-14T23:39:47Z,2026-04-15T21:51:39Z,,22.1978,5,275,13,1946,3,2,1
caddyserver/caddy,7648,chore: Use atomics where appropriate,MERGED,2026-04-13T04:39:06Z,2026-04-25T07:47:55Z,2026-04-25T07:47:55Z,291.1469,8,47,51,1054,3,2,1
caddyserver/caddy,7644,logging: Preserve ts for journald-wrapped JSON logs,MERGED,2026-04-11T14:02:46Z,2026-04-13T23:33:02Z,2026-04-13T23:33:02Z,57.5044,2,9,12,623,2,0,1
caddyserver/caddy,7642,caddyfile: Improve import/global options UX for imports before global options,MERGED,2026-04-10T22:13:49Z,2026-04-10T23:17:55Z,2026-04-10T23:17:55Z,1.0683,4,101,1,1490,2,1,1
