repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
codecrafters-io/build-your-own-x,1682,Add tutorial: Build your own AI agent credential vault,CLOSED,2026-03-04T16:35:13Z,2026-03-24T20:58:25Z,,484.3867,1,1,0,423,3,1,1
codecrafters-io/build-your-own-x,1681,Add comprehensive tools collection with web spider and system managem…,CLOSED,2026-03-04T08:15:06Z,2026-03-12T15:09:43Z,,198.9103,8,446,0,11,2,1,1
codecrafters-io/build-your-own-x,1639,Add Code a database in 45 steps,MERGED,2025-12-25T08:40:55Z,2025-12-26T19:40:39Z,2025-12-26T19:40:39Z,34.9956,1,2,1,0,3,1,1
codecrafters-io/build-your-own-x,1621,Fix Typos and Improve Formatting in README.md,CLOSED,2025-11-22T13:44:27Z,2026-02-21T09:22:10Z,,2179.6286,4,119,425,436,3,1,1
codecrafters-io/build-your-own-x,1618,"docs: fix typos, formatting issues, and markdown spacing in README",CLOSED,2025-11-19T17:22:48Z,2025-12-21T05:22:23Z,,755.9931,1,9,8,624,2,3,1
codecrafters-io/build-your-own-x,1538,"Fix link to ""F#: Building Neural Networks in F#"", add both parts",MERGED,2025-08-18T15:10:50Z,2026-02-21T09:34:46Z,2026-02-21T09:34:46Z,4482.3989,1,2,1,12,3,1,1
codecrafters-io/build-your-own-x,1521,Add: FurrDB key-value Database written in go,CLOSED,2025-07-31T15:43:36Z,2026-04-04T15:59:18Z,,5928.2617,1,1,0,79,2,0,1
codecrafters-io/build-your-own-x,1517,Update README.md,CLOSED,2025-07-24T11:30:42Z,2025-07-25T12:16:23Z,,24.7614,1,0,5,298,3,4,1
codecrafters-io/build-your-own-x,1504,Add section: Build your own AI Model,MERGED,2025-07-05T23:14:09Z,2026-02-21T09:34:01Z,2026-02-21T09:34:01Z,5530.3311,1,6,0,68,2,2,1
codecrafters-io/build-your-own-x,1503,my life partner,CLOSED,2025-07-05T21:34:07Z,2025-07-09T19:03:36Z,,93.4914,2,117,0,0,4,4,1
codecrafters-io/build-your-own-x,1434,Add link to Build your own TanStack Query,CLOSED,2025-05-17T15:18:23Z,2025-08-10T07:18:14Z,,2031.9975,1,1,0,482,1,3,1
codecrafters-io/build-your-own-x,1425,Adding section for memory allocators and adding a first tutorial for it,MERGED,2025-04-26T14:27:02Z,2026-02-21T09:34:08Z,2026-02-21T09:34:08Z,7219.1183,1,5,0,1690,3,9,1
codecrafters-io/build-your-own-x,1419,YourWorld,CLOSED,2025-04-18T22:28:07Z,2025-05-27T03:49:00Z,,917.3481,1,18,1,511,3,4,2
codecrafters-io/build-your-own-x,1414,Add a new tutorial for zig.,MERGED,2025-04-11T18:01:29Z,2025-04-11T19:13:28Z,2025-04-11T19:13:28Z,1.1997,1,1,0,512,2,1,1
codecrafters-io/build-your-own-x,1406,Patch 1,CLOSED,2025-04-05T19:31:19Z,2025-04-06T15:03:04Z,,19.5292,2,1,0,259,1,1,1
codecrafters-io/build-your-own-x,1398,"""Java voxel game"" video unavalible  anymore",MERGED,2025-03-29T11:34:57Z,2026-02-21T09:34:54Z,2026-02-21T09:34:54Z,7893.9992,1,0,1,392,3,2,1
codecrafters-io/build-your-own-x,1396,add a new operating system tutorial,CLOSED,2025-03-28T11:52:40Z,2025-03-28T13:35:04Z,,1.7067,1,1,0,353,1,1,1
codecrafters-io/build-your-own-x,1393,Update README. to add sync engine blog post,MERGED,2025-03-22T17:47:39Z,2026-02-21T09:34:12Z,2026-02-21T09:34:12Z,8055.7758,1,1,0,436,2,2,2
codecrafters-io/build-your-own-x,1385,Added Build Your Own Kafka,MERGED,2025-03-13T06:09:46Z,2026-02-21T09:34:16Z,2026-02-21T09:34:16Z,8283.4083,1,3,0,564,2,2,1
codecrafters-io/build-your-own-x,1325,Update README.md,CLOSED,2025-02-04T11:09:30Z,2025-03-04T12:22:31Z,,673.2169,1,1,1,339,3,2,1
codecrafters-io/build-your-own-x,1293,Update README.md,CLOSED,2024-12-05T01:45:54Z,2025-01-23T00:33:38Z,,1174.7956,1,1,1,34,3,0,2
codecrafters-io/build-your-own-x,1084,feat: added how to build a cli app with node 2024 guide,CLOSED,2024-06-29T08:23:12Z,2024-09-13T13:41:27Z,,1829.3042,1,1,0,143,2,1,1
codecrafters-io/build-your-own-x,1060,fix: fixed broken link from list,MERGED,2024-06-05T21:00:45Z,2024-06-12T21:49:32Z,2024-06-12T21:49:32Z,168.8131,1,1,1,13,6,2,3
codecrafters-io/build-your-own-x,1030,added python commandline tool,CLOSED,2024-04-12T03:57:56Z,2024-04-14T10:53:53Z,,54.9325,1,2,0,93,2,0,2
