repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
coder/code-server,7768,Update Code to 1.118.0,MERGED,2026-04-29T12:59:03Z,2026-05-05T21:13:54Z,2026-05-05T21:13:54Z,152.2475,6,14,14,853,2,5,2
coder/code-server,7764,"feat: Support Ubuntu LTS Base Image (26.04 ""resolute"" )",MERGED,2026-04-27T03:15:07Z,2026-04-27T17:59:20Z,2026-04-27T17:59:20Z,14.7369,1,12,0,12,2,0,1
coder/code-server,7763,"chore: ""ubuntu"" tagged docker image should use ""noble"" (24.04) instead of 6 year old ""focal"" (20.04)",MERGED,2026-04-27T03:09:10Z,2026-04-27T17:35:06Z,2026-04-27T17:35:06Z,14.4322,1,1,1,13,2,0,1
coder/code-server,7760,Update Code to 1.117.0,MERGED,2026-04-22T13:53:16Z,2026-04-22T22:15:19Z,2026-04-22T22:15:19Z,8.3675,6,10,10,0,2,2,1
coder/code-server,7759,chore: bump basic-ftp from 5.2.1 to 5.3.0,MERGED,2026-04-16T23:44:08Z,2026-04-17T19:02:13Z,2026-04-17T19:02:13Z,19.3014,1,3,3,5261,1,0,1
coder/code-server,7755,chore: bump follow-redirects from 1.15.11 to 1.16.0,MERGED,2026-04-15T18:57:46Z,2026-04-17T19:02:42Z,2026-04-17T19:02:42Z,48.0822,1,3,3,3150,1,0,1
coder/code-server,7754,Update Code to 1.116.0,MERGED,2026-04-15T11:53:17Z,2026-04-15T23:05:18Z,2026-04-15T23:05:18Z,11.2003,7,15,9,0,2,6,1
coder/code-server,7749,chore: bump basic-ftp from 5.2.0 to 5.2.1,MERGED,2026-04-08T20:54:06Z,2026-04-10T19:51:18Z,2026-04-10T19:51:18Z,46.9533,1,3,3,2505,1,0,1
coder/code-server,7748,Update Code to 1.115.0,MERGED,2026-04-08T15:25:35Z,2026-04-08T19:34:23Z,2026-04-08T19:34:23Z,4.1467,2,2,2,0,2,1,1
coder/code-server,7744,Make replicaCount optional (skip rendering when null),MERGED,2026-04-06T19:38:42Z,2026-04-17T19:03:45Z,2026-04-17T19:03:45Z,263.4175,1,3,1,680,2,0,1
coder/code-server,7743,chore: bump lodash from 4.17.23 to 4.18.1 in /test,MERGED,2026-04-06T18:52:24Z,2026-04-17T19:14:55Z,2026-04-17T19:14:54Z,264.375,1,3,3,9544,1,0,1
coder/code-server,7735,Update Code to 1.114.0,MERGED,2026-04-02T03:40:52Z,2026-04-03T22:07:17Z,2026-04-03T22:07:17Z,42.4403,16,28,28,0,2,4,1
coder/code-server,7732,chore: bump docker/setup-buildx-action from 3.12.0 to 4.0.0,MERGED,2026-04-01T12:48:04Z,2026-04-10T19:50:16Z,2026-04-10T19:50:16Z,223.0367,1,1,1,4765,1,0,1
coder/code-server,7731,chore: bump codecov/codecov-action from 5.5.3 to 6.0.0,MERGED,2026-04-01T12:48:00Z,2026-04-08T23:29:57Z,2026-04-08T23:29:57Z,178.6992,1,1,1,8032,1,0,1
coder/code-server,7729,chore: bump docker/setup-qemu-action from 3.7.0 to 4.0.0,MERGED,2026-04-01T12:47:55Z,2026-04-08T21:47:30Z,2026-04-08T21:47:30Z,176.9931,1,1,1,4418,1,0,1
coder/code-server,7728,chore: bump azure/setup-helm from 4.3.1 to 5.0.0,MERGED,2026-04-01T12:47:51Z,2026-04-08T21:46:54Z,2026-04-08T21:46:54Z,176.9842,1,1,1,13620,1,0,1
coder/code-server,7727,chore: bump awalsh128/cache-apt-pkgs-action from 1.5.3 to 1.6.0,MERGED,2026-04-01T12:47:47Z,2026-04-08T21:46:25Z,2026-04-08T21:46:25Z,176.9772,2,2,2,4378,1,0,1
coder/code-server,7722,chore: bump path-to-regexp from 8.3.0 to 8.4.0,MERGED,2026-03-28T01:09:45Z,2026-04-08T21:46:01Z,2026-04-08T21:46:01Z,284.6044,1,3,3,5222,1,0,1
coder/code-server,7718,chore: bump picomatch from 4.0.3 to 4.0.4,MERGED,2026-03-26T06:52:08Z,2026-04-06T18:26:13Z,2026-04-06T18:26:13Z,275.5681,1,3,3,3254,1,0,1
coder/code-server,7717,chore: bump picomatch from 2.3.1 to 2.3.2 in /test,MERGED,2026-03-25T23:42:46Z,2026-04-06T18:26:38Z,2026-04-06T18:26:38Z,282.7311,1,3,3,6361,1,0,1
coder/code-server,7716,Update Code to 1.113.0,MERGED,2026-03-25T12:45:32Z,2026-03-26T19:39:41Z,2026-03-26T19:39:41Z,30.9025,15,21,61,0,2,13,1
coder/code-server,7713,chore: bump flatted from 3.3.4 to 3.4.2,MERGED,2026-03-21T20:04:05Z,2026-03-23T18:50:35Z,2026-03-23T18:50:35Z,46.775,1,4,4,3640,1,0,1
coder/code-server,7711,Update Code to 1.112.0,MERGED,2026-03-18T16:14:35Z,2026-03-18T18:41:41Z,2026-03-18T18:41:41Z,2.4517,18,34,34,54,2,1,1
coder/code-server,7709,fix: remove config file path from login page,MERGED,2026-03-16T15:31:32Z,2026-03-18T22:00:55Z,2026-03-18T22:00:54Z,54.4894,6,6,6,365,2,0,1
coder/code-server,7705,Update Debian base image to 13 (trixie),MERGED,2026-03-12T18:45:32Z,2026-03-20T18:57:18Z,2026-03-20T18:57:18Z,192.1961,2,14,2,110,3,0,2
coder/code-server,7702,Suppress i18next support notice in terminal output,MERGED,2026-03-12T02:26:49Z,2026-03-12T18:10:54Z,2026-03-12T18:10:54Z,15.7347,2,2,1,461,2,0,1
coder/code-server,7700,Update Code to 1.111.0,MERGED,2026-03-10T07:53:13Z,2026-03-11T01:57:15Z,2026-03-11T01:57:15Z,18.0672,3,3,3,787,3,3,2
coder/code-server,7699,Update Code to 1.110.1,MERGED,2026-03-10T07:23:54Z,2026-03-11T00:07:45Z,2026-03-11T00:07:45Z,16.7308,1,1,1,19,2,0,1
coder/code-server,7697,feat: add regex support to trusted-origins,MERGED,2026-03-09T18:53:15Z,2026-03-25T19:04:06Z,2026-03-25T19:04:06Z,384.1808,2,63,2,755,2,1,6
coder/code-server,7694,Update Code to 1.110.0,MERGED,2026-03-04T21:07:20Z,2026-03-06T08:54:52Z,2026-03-06T08:54:52Z,35.7922,17,79,59,56,2,5,1
coder/code-server,7693,feat: use --app-name in error page title,MERGED,2026-03-04T19:11:15Z,2026-03-11T21:43:45Z,2026-03-11T21:43:45Z,170.5417,7,49,10,558,2,0,1
coder/code-server,7687,chore: bump actions/download-artifact from 5 to 8,MERGED,2026-03-01T12:02:59Z,2026-03-03T20:50:15Z,2026-03-03T20:50:15Z,56.7878,2,6,6,8669,1,0,1
coder/code-server,7686,chore: bump dawidd6/action-download-artifact from 12 to 16,MERGED,2026-03-01T12:02:54Z,2026-03-03T21:11:17Z,2026-03-03T21:11:17Z,57.1397,1,1,1,11911,1,0,1
coder/code-server,7685,chore: bump actions/upload-artifact from 4 to 7,MERGED,2026-03-01T12:02:46Z,2026-03-03T21:11:52Z,2026-03-03T21:11:52Z,57.1517,2,4,4,9149,1,0,1
coder/code-server,7683,chore: bump minimatch,MERGED,2026-02-28T05:41:01Z,2026-03-03T21:19:02Z,2026-03-03T21:19:02Z,87.6336,1,7,7,4901,1,0,1
coder/code-server,7682,chore: bump minimatch from 3.1.2 to 3.1.5 in /test,MERGED,2026-02-28T05:40:48Z,2026-03-03T21:19:53Z,2026-03-03T21:19:53Z,87.6514,1,3,3,3418,1,0,1
coder/code-server,7680,chore: bump basic-ftp from 5.0.5 to 5.2.0,MERGED,2026-02-25T22:36:17Z,2026-03-03T21:23:41Z,2026-03-03T21:23:41Z,142.79,1,3,3,4493,2,3,1
coder/code-server,7678,feat: expose --reconnection-grace-time CLI flag,MERGED,2026-02-24T03:06:24Z,2026-03-25T19:47:58Z,2026-03-25T19:47:58Z,712.6928,3,39,0,1790,3,1,4
coder/code-server,7676,chore: bump aquasecurity/trivy-action from 0.33.1 to 0.34.1,MERGED,2026-02-20T22:42:45Z,2026-03-03T21:29:03Z,2026-03-03T21:29:03Z,262.7717,2,2,2,6418,1,0,1
coder/code-server,7675,Update Code to 1.109.5,MERGED,2026-02-20T11:00:22Z,2026-03-02T20:18:40Z,2026-03-02T20:18:40Z,249.305,1,1,1,16,2,0,1
coder/code-server,7669,Update Code to 1.109.2,MERGED,2026-02-11T05:37:32Z,2026-02-11T17:56:27Z,2026-02-11T17:56:27Z,12.3153,1,1,1,61,3,2,1
coder/code-server,7663,Probes can be disabled in Helm chart,MERGED,2026-02-08T13:41:50Z,2026-02-10T16:37:19Z,2026-02-10T16:37:19Z,50.9247,3,11,1,220,2,0,1
coder/code-server,7662,s/htpps/https,MERGED,2026-02-06T04:20:28Z,2026-02-10T16:33:01Z,2026-02-10T16:33:01Z,108.2092,1,1,1,61,2,0,1
coder/code-server,7661,Update Code to 1.109.0,MERGED,2026-02-05T05:45:44Z,2026-02-10T16:32:27Z,2026-02-10T16:32:27Z,130.7786,11,25,25,56,3,2,1
