repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
d3/d3,4039,Fix external edge bundling references,MERGED,2025-07-26T23:03:12Z,2025-07-27T11:30:40Z,2025-07-27T11:30:40Z,12.4578,1,1,1,243,2,0,1
d3/d3,4015,fix: support links on d3js.org are outdated,MERGED,2025-03-08T00:02:57Z,2025-03-10T08:22:20Z,2025-03-10T08:22:20Z,56.3231,2,2,1,293,3,0,2
d3/d3,3962,Update getting-started.md link to Svelte example,MERGED,2024-12-25T17:50:14Z,2025-01-03T14:50:46Z,2025-01-03T14:50:46Z,213.0089,1,1,1,124,2,1,1
d3/d3,3941,add rel external to observablehq links,MERGED,2024-10-22T20:17:36Z,2024-10-22T22:03:55Z,2024-10-22T22:03:55Z,1.7719,2,2,1,155,2,3,1
d3/d3,3940,changed utm_source for examples link,MERGED,2024-10-22T02:13:19Z,2024-10-22T12:11:47Z,2024-10-22T12:11:47Z,9.9744,1,1,1,117,3,0,2
d3/d3,3932,adds Made by Observable button,MERGED,2024-10-10T23:49:45Z,2024-10-11T04:09:54Z,2024-10-11T04:09:54Z,4.3358,6,942,480,70,3,3,2
d3/d3,3927,included example data to the code samples,CLOSED,2024-10-02T13:30:39Z,2025-05-07T11:12:36Z,,5205.6992,1,4,4,533,2,0,1
d3/d3,3896,Fixed example pie.sortValues code in docs,MERGED,2024-07-05T17:52:03Z,2024-07-08T09:38:34Z,2024-07-08T09:38:34Z,63.7753,1,2,2,186,3,0,2
d3/d3,3892,clarify https://d3js.org/d3-geo/projection#projection_rotate,MERGED,2024-06-23T10:33:41Z,2024-06-24T11:57:11Z,2024-06-24T11:57:11Z,25.3917,1,1,1,0,2,0,1
d3/d3,3888,Adding comments to the axis tick size sections,MERGED,2024-06-01T22:57:39Z,2024-06-03T15:26:20Z,2024-06-03T15:26:20Z,40.4781,1,4,4,203,3,0,1
d3/d3,3886,caret dependency ranges,MERGED,2024-05-27T16:38:41Z,2024-06-03T15:27:30Z,2024-06-03T15:27:30Z,166.8136,2,68,68,508,3,1,1
d3/d3,3844,docs: fix typo in polygonCentroid example,MERGED,2024-04-25T04:48:24Z,2024-04-25T13:42:29Z,2024-04-25T13:42:29Z,8.9014,1,1,1,74,2,0,1
d3/d3,3831,fix: typo,MERGED,2024-03-14T13:29:04Z,2024-05-27T16:21:20Z,2024-05-27T16:21:20Z,1778.8711,1,1,1,0,2,0,1
d3/d3,3816,Fix svg syntax for JSX code samples in getting-started with React,MERGED,2024-01-29T10:59:52Z,2024-01-29T16:31:44Z,2024-01-29T16:31:44Z,5.5311,1,4,4,215,2,0,1
d3/d3,3811,Fix: Typo in README is corrected,CLOSED,2023-12-29T01:10:54Z,2024-05-27T16:20:03Z,,3615.1525,1,1,1,0,2,1,1
d3/d3,3803,Documentation for d3-geo#281,MERGED,2023-11-20T15:40:19Z,2024-03-12T21:17:11Z,2024-03-12T21:17:10Z,2717.6142,1,1,1,55,2,0,1
d3/d3,3785,scaleTime example,MERGED,2023-10-23T13:37:54Z,2023-10-23T16:33:40Z,2023-10-23T16:33:40Z,2.9294,1,1,1,100,2,0,1
d3/d3,3782,always have exactly two/three elements,MERGED,2023-10-13T17:56:29Z,2023-10-15T07:17:56Z,2023-10-15T07:17:56Z,37.3575,2,3,3,0,3,0,4
d3/d3,3781,Update Slack invite links,MERGED,2023-10-12T21:57:34Z,2023-10-12T23:19:58Z,2023-10-12T23:19:58Z,1.3733,3,4,4,120,2,0,1
d3/d3,3776,"restructure README, redirect API",MERGED,2023-10-06T15:44:33Z,2023-10-06T16:59:53Z,2023-10-06T16:59:53Z,1.2556,3,3,1537,36,2,0,1
d3/d3,3774,remove newsletter link for now,MERGED,2023-10-05T16:52:27Z,2023-10-05T19:12:59Z,2023-10-05T19:12:59Z,2.3422,1,0,2,0,2,0,1
d3/d3,3773,single module,MERGED,2023-10-05T16:43:22Z,2023-10-05T19:25:29Z,2023-10-05T19:25:29Z,2.7019,1,16,0,213,2,1,1
d3/d3,3758,fix link to example,MERGED,2023-08-23T14:31:06Z,2023-08-23T15:46:12Z,2023-08-23T15:46:12Z,1.2517,1,2,2,0,2,0,2
d3/d3,3755,add mutation warnings,MERGED,2023-08-21T19:34:38Z,2023-08-21T21:05:07Z,2023-08-21T21:05:07Z,1.5081,2,20,2,12,3,0,1
d3/d3,3750,Fix d3-time example,MERGED,2023-08-09T11:50:13Z,2023-08-21T18:09:14Z,2023-08-21T18:09:14Z,294.3169,1,3,3,118,2,1,1
d3/d3,3698,a few links to notebooks that have been refreshed,MERGED,2023-07-05T07:13:17Z,2023-07-29T16:44:37Z,2023-07-29T16:44:37Z,585.5222,18,25,25,29,2,2,1
d3/d3,3695,remove line hash,MERGED,2023-06-25T10:05:44Z,2023-06-25T15:02:26Z,2023-06-25T15:02:26Z,4.945,1,1,1,0,2,0,1
d3/d3,3680,an intro for axis,MERGED,2023-06-15T06:34:19Z,2023-06-16T20:41:47Z,2023-06-16T20:41:47Z,38.1244,2,81,30,118,2,4,2
d3/d3,3679,Simplify the quotes for readability,CLOSED,2023-06-15T04:54:51Z,2023-06-15T06:40:50Z,,1.7664,1,3,3,67,2,1,1
d3/d3,3677,avoid rotation jumpiness,MERGED,2023-06-13T14:10:05Z,2023-06-13T16:33:02Z,2023-06-13T16:33:02Z,2.3825,1,14,7,0,2,2,1
d3/d3,3676,State a general principle for which d3 modules compete with React,MERGED,2023-06-12T15:10:34Z,2023-06-12T19:35:50Z,2023-06-12T19:35:50Z,4.4211,1,1,1,479,3,0,3
d3/d3,3673,test documentation links,MERGED,2023-06-12T09:36:38Z,2023-06-13T16:57:29Z,2023-06-13T16:57:29Z,31.3475,5,155,79,264,2,0,1
d3/d3,3672,fix textStroke,MERGED,2023-06-12T08:12:36Z,2023-06-12T13:36:51Z,2023-06-12T13:36:51Z,5.4042,2,2,2,163,2,0,1
d3/d3,3670,example chord,MERGED,2023-06-11T20:04:46Z,2023-06-15T18:43:45Z,2023-06-15T18:43:45Z,94.6497,2,83,6,188,2,3,1
