repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
daytonaio/daytona,4633,feat(dashboard): snapshot details sheet,MERGED,2026-05-05T10:25:38Z,2026-05-05T15:57:29Z,2026-05-05T15:57:29Z,5.5308,8,660,27,1647,3,1,3
daytonaio/daytona,4629,feat(docs): add volumes data sharing examples,MERGED,2026-05-04T23:54:10Z,2026-05-05T11:26:06Z,2026-05-05T11:26:05Z,11.5319,1,504,1,798,3,1,3
daytonaio/daytona,4628,feat(docs): add declarative builder image configuration examples,MERGED,2026-05-04T21:04:22Z,2026-05-05T11:21:39Z,2026-05-05T11:21:39Z,14.2881,1,219,2,788,3,1,3
daytonaio/daytona,4626,feat(guides): Flue guide,MERGED,2026-05-04T16:22:36Z,2026-05-05T12:53:22Z,2026-05-05T12:53:22Z,20.5128,13,1470,0,1578,4,1,24
daytonaio/daytona,4622,"feat(api,dashboard,sdk): move organization OTel config to GA",MERGED,2026-05-04T13:48:23Z,2026-05-04T16:47:40Z,2026-05-04T16:47:40Z,2.9881,56,2877,500,1766,3,1,5
daytonaio/daytona,4618,feat(docs): add netbird vpn connection setup,MERGED,2026-05-03T11:30:58Z,2026-05-04T08:56:53Z,2026-05-04T08:56:53Z,21.4319,1,443,23,864,3,1,3
daytonaio/daytona,4616,feat(docs): add cli reference installation and update,MERGED,2026-05-03T00:41:48Z,2026-05-04T08:57:17Z,2026-05-04T08:57:17Z,32.2581,2,94,4,795,3,1,3
daytonaio/daytona,4610,Add managed browser CDP support,CLOSED,2026-05-01T01:01:15Z,2026-05-01T21:41:10Z,,20.6653,66,7058,49,1747,1,2,2
daytonaio/daytona,4604,feat(docs): runtime sandbox network updates,MERGED,2026-04-29T22:44:28Z,2026-04-30T11:35:01Z,2026-04-30T11:35:00Z,12.8422,1,133,1,1106,3,1,3
daytonaio/daytona,4603,fix(api): handle buildSnapshot errors,MERGED,2026-04-29T13:47:18Z,2026-04-30T13:05:59Z,2026-04-30T13:05:59Z,23.3114,1,17,15,803,3,1,3
daytonaio/daytona,4599,fix(dashboard): api-keys full access label check,MERGED,2026-04-29T11:28:38Z,2026-04-29T16:46:29Z,2026-04-29T16:46:29Z,5.2975,1,10,4,947,4,1,4
daytonaio/daytona,4598,fix(dashboard): default region prompt on any page,MERGED,2026-04-29T11:28:28Z,2026-04-29T16:46:36Z,2026-04-29T16:46:36Z,5.3022,3,70,90,1415,4,1,4
daytonaio/daytona,4597,feat(docs): agentic improvements,MERGED,2026-04-29T10:57:01Z,2026-04-30T10:37:58Z,2026-04-30T10:37:58Z,23.6825,2,26,17,1059,3,1,3
daytonaio/daytona,4596,"fix(sdk-python,sdk-java): fix publish job failures",MERGED,2026-04-29T09:10:17Z,2026-04-29T10:12:21Z,2026-04-29T10:12:21Z,1.0344,2,2,2,2214,4,1,6
daytonaio/daytona,4595,fix(sdk): improve auth error messages across all SDKs,MERGED,2026-04-29T07:27:24Z,2026-04-29T09:10:58Z,2026-04-29T09:10:58Z,1.7261,16,83,26,3457,4,1,5
daytonaio/daytona,4594,Feat/sandbox sheet revamp,MERGED,2026-04-28T23:53:55Z,2026-05-05T15:57:04Z,2026-05-05T15:57:04Z,160.0525,52,2342,1919,2119,4,1,8
daytonaio/daytona,4590,feat(sdk): expose file download stream across all SDKs,MERGED,2026-04-28T13:51:34Z,2026-04-29T10:33:42Z,2026-04-29T10:33:42Z,20.7022,36,2161,8,4786,4,1,5
daytonaio/daytona,4588,fix(api): null snapshot size,MERGED,2026-04-28T12:57:56Z,2026-04-28T14:46:43Z,2026-04-28T14:46:43Z,1.8131,1,21,4,1082,3,1,3
daytonaio/daytona,4586,"fix(sdk-ruby,daemon): fix code interpreter race conditions causing empty stdout",MERGED,2026-04-28T07:09:11Z,2026-04-28T13:16:43Z,2026-04-28T13:16:43Z,6.1256,3,54,70,3076,4,1,7
daytonaio/daytona,4584,chore(docs): delete unused assets,MERGED,2026-04-28T00:13:31Z,2026-04-28T08:25:45Z,2026-04-28T08:25:45Z,8.2039,70,0,324,718,3,1,3
daytonaio/daytona,4583,feat(docs): add dynamic opengraph image generation,MERGED,2026-04-27T22:26:14Z,2026-04-30T10:22:30Z,2026-04-30T10:22:30Z,59.9378,9,502,25,2143,3,1,3
daytonaio/daytona,4577,fix(api): snapshot reactivation grace period,MERGED,2026-04-27T13:47:01Z,2026-04-27T14:51:23Z,2026-04-27T14:51:23Z,1.0728,1,7,0,759,3,1,3
daytonaio/daytona,4575,"chore(dashboard,api-client): define enumUnknownDefaultCase param for openapi-generator",MERGED,2026-04-27T12:01:35Z,2026-04-27T13:40:42Z,2026-04-27T13:40:42Z,1.6519,194,733,615,3812,4,1,6
daytonaio/daytona,4572,fix(docs): modify markdown headings spacing,MERGED,2026-04-27T10:34:20Z,2026-04-27T13:15:38Z,2026-04-27T13:15:38Z,2.6883,1,11,0,698,3,1,3
daytonaio/daytona,4571,fix(docs): modify sandbox snapshot description,MERGED,2026-04-27T09:43:11Z,2026-04-27T12:43:01Z,2026-04-27T12:43:01Z,2.9972,1,1,1,446,3,1,3
daytonaio/daytona,4569,feat(docs): add sandbox filesystem,MERGED,2026-04-26T22:41:34Z,2026-04-29T10:30:54Z,2026-04-29T10:30:54Z,59.8222,1,3,1,451,3,1,3
daytonaio/daytona,4567,fix(computer-use): region screenshot query parsing and input validation,MERGED,2026-04-25T21:54:56Z,2026-04-27T10:58:09Z,2026-04-27T10:58:09Z,37.0536,5,646,51,5085,3,1,3
daytonaio/daytona,4565,fix: prewarm OpenAPI Generator JAR to prevent CI race condition,MERGED,2026-04-25T16:40:21Z,2026-04-27T10:48:37Z,2026-04-27T10:48:37Z,42.1378,1,2,0,1389,3,1,4
daytonaio/daytona,4563,fix(computer-use): Fix computer-use mouse contract mismatches for middle click and scroll validation,MERGED,2026-04-25T00:47:06Z,2026-04-28T11:25:34Z,2026-04-28T11:25:34Z,82.6411,36,420,114,2639,3,1,3
daytonaio/daytona,4561,feat(daemon): opt-in git CLI clone path for large repos,MERGED,2026-04-24T13:23:30Z,2026-04-24T15:13:03Z,2026-04-24T15:13:03Z,1.8258,5,527,115,4456,4,1,8
daytonaio/daytona,4560,fix(computer-use): Normalize Computer-Use Keyboard Input and Document a Curated Contract,MERGED,2026-04-24T12:29:08Z,2026-04-27T10:58:49Z,2026-04-27T10:58:49Z,70.4947,16,835,71,5214,3,1,3
