repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
denoland/deno,33860,perf(libs/core): drop libuv-style partial-read break to fix node:http p99,MERGED,2026-05-05T17:36:44Z,2026-05-06T00:09:02Z,2026-05-06T00:09:02Z,6.5383,1,48,13,2498,3,1,3
denoland/deno,33854,fix(watch): apply `--watch-exclude` filter to file change events,MERGED,2026-05-05T10:41:31Z,2026-05-05T13:23:58Z,2026-05-05T13:23:58Z,2.7075,2,99,3,900,2,0,2
denoland/deno,33849,feat(ext/node): implement module.register() API,MERGED,2026-05-05T07:30:33Z,2026-05-05T13:59:43Z,2026-05-05T13:59:43Z,6.4861,23,464,29,1553,2,0,4
denoland/deno,33845,perf(http): directly dispatch into js request handler,MERGED,2026-05-04T23:14:09Z,2026-05-05T07:34:53Z,2026-05-05T07:34:53Z,8.3456,4,201,132,1026,2,0,1
denoland/deno,33844,perf(http): avoid ReadableStream when full body already buffered,MERGED,2026-05-04T21:51:09Z,2026-05-04T22:54:59Z,2026-05-04T22:54:59Z,1.0639,5,156,7,1305,2,1,1
denoland/deno,33839,"chore: bump dprint-plugin-typescript to 0.96.0, remove deno-fmt-ignore-file",MERGED,2026-05-04T18:16:18Z,2026-05-05T05:34:32Z,2026-05-05T05:34:32Z,11.3039,81,255,266,887,2,0,1
denoland/deno,33836,fix(ext/node): handle connectionsCheckingInterval option and send 408 for request timeout,MERGED,2026-05-04T17:32:26Z,2026-05-05T17:21:11Z,2026-05-05T17:21:11Z,23.8125,2,21,1,204,3,0,2
denoland/deno,33831,fix(ext/node): pass URL to kOnHeadersComplete when request has no headers,MERGED,2026-05-04T13:47:04Z,2026-05-04T18:05:00Z,2026-05-04T18:05:00Z,4.2989,2,9,11,132,3,0,1
denoland/deno,33823,feat: include node lib by default and use NodeJS.Timeout for timers,MERGED,2026-05-04T11:46:06Z,2026-05-04T15:42:57Z,2026-05-04T15:42:57Z,3.9475,14,57,23,913,2,0,2
denoland/deno,33819,fix(ext/node): emit DEP0192 deprecation warning when _tls_common is required,MERGED,2026-05-04T10:05:35Z,2026-05-04T12:44:57Z,2026-05-04T12:44:57Z,2.6561,3,9,1,164,3,1,2
denoland/deno,33818,perf(ext): convert ext/kv and ext/webgpu JS sources to lazy-loaded scripts,MERGED,2026-05-04T09:01:17Z,2026-05-04T10:23:49Z,2026-05-04T10:23:49Z,1.3756,8,20,14,712,2,0,1
denoland/deno,33817,perf(ext): convert ext/process and ext/http JS sources to lazy-loaded scripts,MERGED,2026-05-04T07:21:10Z,2026-05-04T08:53:53Z,2026-05-04T08:53:53Z,1.5453,10,68,45,745,2,0,1
denoland/deno,33816,fix(npm): resolve catalog: overrides from workspaces object form,MERGED,2026-05-04T07:11:51Z,2026-05-05T09:21:30Z,2026-05-05T09:21:30Z,26.1608,4,112,15,849,3,5,1
