repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
django/django,21224,Removed hardcoded pks in annotations and delete_regress tests.,MERGED,2026-05-02T19:01:59Z,2026-05-04T12:44:23Z,2026-05-04T12:44:23Z,41.7067,2,34,16,0,2,0,1
django/django,21217,Removed integer pk assumption from file_uploads test.,MERGED,2026-05-02T01:16:53Z,2026-05-02T12:19:55Z,2026-05-02T12:19:55Z,11.0506,1,1,2,55,3,0,1
django/django,21216,Fixed #37080 -- Use generic deprecation warnings in runtests.,MERGED,2026-05-02T01:10:06Z,2026-05-04T17:53:51Z,2026-05-04T17:53:51Z,64.7292,1,6,2,1307,3,1,3
django/django,21208,Fixed #37079 -- Fixed specialization of header lookups in RemoteUserMiddleware.,MERGED,2026-05-01T17:02:55Z,2026-05-04T17:58:50Z,2026-05-04T17:58:50Z,72.9319,2,38,2,1697,3,2,3
django/django,21207,Fixed #37025 -- Avoided masking header discrepancies in RemoteUserTest.,CLOSED,2026-05-01T16:36:28Z,2026-05-04T18:17:01Z,,73.6758,2,62,16,2445,1,1,1
django/django,21203,Refs #35303 -- Improved use of async methods in RemoteUserMiddleware.,MERGED,2026-05-01T06:31:54Z,2026-05-01T20:18:51Z,2026-05-01T20:18:51Z,13.7825,2,98,11,1772,3,1,4
django/django,21199,Fixed #37078 -- Deprecated SHA-1 default for salted_hmac() and base64_hmac() algorithm,MERGED,2026-04-30T17:54:55Z,2026-05-04T17:45:17Z,2026-05-04T17:45:17Z,95.8394,6,74,6,1589,4,2,8
django/django,21198,"Fixed #37075 -- Allowed overriding the PostgreSQL pool's ""check"" callable.",MERGED,2026-04-30T13:24:59Z,2026-04-30T23:52:11Z,2026-04-30T23:52:11Z,10.4533,3,33,1,3146,2,2,2
django/django,21189,Fixed #37025 -- Deprecated async support in RemoteUserMiddleware and PersistentRemoteUserMiddleware in favor of separate async only middleware classes.,CLOSED,2026-04-29T13:58:40Z,2026-05-01T20:17:47Z,,54.3186,5,585,42,1863,3,5,8
django/django,21187,Fixed #37067 - Add trailing separator to django_file_prefixes().,MERGED,2026-04-28T20:50:55Z,2026-04-29T17:47:50Z,2026-04-29T17:47:50Z,20.9486,3,10,2,2224,3,1,2
django/django,21183,Refs CVE-2026-25674 -- Clarified role of umask in upload permissions.,MERGED,2026-04-28T09:48:13Z,2026-04-28T18:16:04Z,2026-04-28T18:16:04Z,8.4642,1,6,0,1717,2,3,1
django/django,21179,Refs #15759 -- Fixed ModelAdmin.list_editable form submission for non-editable instances.,MERGED,2026-04-26T17:55:53Z,2026-04-28T17:44:04Z,2026-04-28T17:44:04Z,47.8031,3,30,21,2057,2,12,3
django/django,21178,Refs #35514 -- Added warn_about_external_use() deprecation utility.,MERGED,2026-04-25T21:11:32Z,2026-04-28T00:58:07Z,2026-04-28T00:58:07Z,51.7764,4,341,10,1789,3,2,6
django/django,21177,Moved QuerySet.extra() assertions to a separate test.,MERGED,2026-04-25T19:48:41Z,2026-04-27T19:49:14Z,2026-04-27T19:49:14Z,48.0092,1,8,3,136,2,0,1
django/django,21160,Refs #35007 -- Pinned exact biome version.,MERGED,2026-04-24T15:41:46Z,2026-04-25T14:52:10Z,2026-04-25T14:52:10Z,23.1733,1,1,1,1180,3,0,2
django/django,21152,Fixed #37057 -- Adjusted UniqueConstraint handling of UNKNOWN condition.,MERGED,2026-04-22T16:01:31Z,2026-04-22T21:28:36Z,2026-04-22T21:28:36Z,5.4514,3,22,7,2111,2,4,1
django/django,21150,Refs #12090 -- Documented parameters for contrib.admin.decorators.action().,MERGED,2026-04-22T06:12:28Z,2026-04-23T08:54:15Z,2026-04-23T08:54:15Z,26.6964,2,19,4,1955,2,1,1
django/django,21145,Fixed #37053 -- Added validate=True to base64.b64decode() calls.,MERGED,2026-04-20T12:09:22Z,2026-05-06T00:13:40Z,2026-05-06T00:13:40Z,372.0717,8,58,15,1696,4,2,8
django/django,21140,Refs #28586 -- Added DEFAULT_FETCH_MODE module constant.,MERGED,2026-04-19T13:38:42Z,2026-04-19T19:28:13Z,2026-04-19T19:28:13Z,5.8253,1,4,2,1632,4,1,2
django/django,21136,Fixed #35007 -- Replaced ESLint with Biome for JavaScript linting and formatting.,MERGED,2026-04-19T08:36:08Z,2026-04-19T10:45:56Z,2026-04-19T10:45:56Z,2.1633,39,3052,3035,1884,2,0,5
