repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
donnemartin/system-design-primer,1206,Harsh7988 patch 1,CLOSED,2026-03-05T10:52:52Z,2026-03-08T19:40:33Z,,80.7947,1,4,1,571,2,0,1
donnemartin/system-design-primer,1203,docs: fix grammar in Motivation section,MERGED,2026-03-04T11:24:42Z,2026-03-08T19:28:31Z,2026-03-08T19:28:31Z,104.0636,1,1,1,122,3,1,1
donnemartin/system-design-primer,1200,create newfile.txt,CLOSED,2026-02-26T03:55:50Z,2026-03-08T19:39:56Z,,255.735,1,0,0,571,2,0,1
donnemartin/system-design-primer,1197,Fix 'Design a key-value store like Redis' link to point to design resources,MERGED,2026-02-20T03:53:25Z,2026-03-08T19:26:21Z,2026-03-08T19:26:21Z,399.5489,1,1,1,1179,2,1,1
donnemartin/system-design-primer,1189,en: Fix broken link to PayPal Developer Blog,MERGED,2026-01-12T07:58:31Z,2026-03-15T20:35:35Z,2026-03-15T20:35:35Z,1500.6178,1,1,1,122,4,3,2
donnemartin/system-design-primer,1181,Fix URL for Layer 4 load balancing in README to archive,MERGED,2025-12-29T15:47:25Z,2026-03-12T01:12:08Z,2026-03-12T01:12:08Z,1737.4119,1,1,1,88,3,1,2
donnemartin/system-design-primer,1178,Manu1992 nagraj patch 2,CLOSED,2025-12-26T06:36:17Z,2026-03-08T19:38:48Z,,1741.0419,1,70,0,571,3,1,1
donnemartin/system-design-primer,1163,Update link for understanding latency vs throughput,MERGED,2025-10-22T17:05:49Z,2026-03-12T01:13:46Z,2026-03-12T01:13:46Z,3368.1325,1,1,1,115,2,2,2
donnemartin/system-design-primer,1161,fix broken link for issue #1160,MERGED,2025-10-20T17:42:25Z,2025-11-01T03:07:56Z,2025-11-01T03:07:55Z,273.425,1,2,2,451,2,1,1
donnemartin/system-design-primer,1153,Fix link for UDP vs TCP,MERGED,2025-10-14T20:06:48Z,2026-03-20T01:52:19Z,2026-03-20T01:52:19Z,3749.7586,1,1,1,181,2,1,1
donnemartin/system-design-primer,1149,First commit,CLOSED,2025-09-10T05:22:05Z,2026-03-11T02:23:26Z,,4365.0225,1,7,6,560,3,1,2
donnemartin/system-design-primer,1147,docs: fix broken link,MERGED,2025-09-03T03:07:36Z,2025-10-30T10:26:35Z,2025-10-30T10:26:35Z,1375.3164,1,1,1,176,4,1,3
donnemartin/system-design-primer,1130,commiting readme file to local repo,CLOSED,2025-07-10T07:44:05Z,2026-03-11T02:24:49Z,,5850.6789,1,1,1,571,2,0,1
donnemartin/system-design-primer,1082,fix 🐛: Redis Architecture broken link,CLOSED,2025-05-15T10:53:46Z,2025-07-09T14:02:45Z,,1323.1497,1,1,1,571,3,1,1
donnemartin/system-design-primer,1071,"Update ""Disadvantage(s): load balancer""",CLOSED,2025-04-13T10:51:11Z,2026-01-05T10:12:43Z,,6407.3589,1,2,2,262,3,0,1
donnemartin/system-design-primer,1066,Update README.md,CLOSED,2025-03-18T10:31:58Z,2025-10-30T10:02:46Z,,5423.5133,1,0,4,571,2,0,1
donnemartin/system-design-primer,1042,Update all lecloud.net links,MERGED,2024-12-30T15:26:19Z,2025-05-21T11:13:33Z,2025-05-21T11:13:33Z,3403.7872,4,27,27,792,2,1,1
donnemartin/system-design-primer,1032,"Fix broken link in ""How to ace a systems design interview"" (#1031)",MERGED,2024-12-18T02:17:16Z,2025-11-03T12:06:22Z,2025-11-03T12:06:22Z,7689.8183,4,4,4,121,3,1,2
donnemartin/system-design-primer,872,Fix DNS routing hyperlinks,MERGED,2024-06-18T09:29:17Z,2024-06-23T17:36:45Z,2024-06-23T17:36:45Z,128.1244,1,2,2,201,2,0,1
donnemartin/system-design-primer,867,pt-BR: Add Brazilian Portuguese translation,CLOSED,2024-06-16T21:03:10Z,2024-07-16T14:52:00Z,,713.8139,1,1838,0,1019,7,6,3
donnemartin/system-design-primer,855,Fix links to Debunking the myths of RPC and REST,MERGED,2024-04-25T10:58:19Z,2024-06-29T00:09:30Z,2024-06-29T00:09:30Z,1549.1864,4,8,8,0,3,0,2
donnemartin/system-design-primer,842,this is test,CLOSED,2024-02-22T15:23:46Z,2024-06-26T00:14:51Z,,2984.8514,2,10,0,571,2,0,1
donnemartin/system-design-primer,823,Updated Elastic Cache URL,CLOSED,2023-12-30T05:24:35Z,2024-05-14T05:46:44Z,,3264.3692,1,1,1,128,3,0,2
donnemartin/system-design-primer,807,"ja: fixed いえ->いいえ, making other things more concise",CLOSED,2023-11-07T05:05:11Z,2025-08-11T01:23:41Z,,15428.3083,1,22,23,335,3,0,1
donnemartin/system-design-primer,754,Updated Security Section,CLOSED,2023-03-14T20:46:36Z,2026-04-09T14:22:35Z,,26921.5997,3,12,0,147,3,0,2
donnemartin/system-design-primer,750,Fix Scalability Article links,MERGED,2023-03-08T22:02:32Z,2023-03-16T09:58:20Z,2023-03-16T09:58:20Z,179.93,1,5,5,636,2,1,1
donnemartin/system-design-primer,748,Update README.md,CLOSED,2023-02-24T01:16:38Z,2025-03-29T09:11:12Z,,18343.9094,1,2,2,571,3,0,1
donnemartin/system-design-primer,742,Fixed broken Scalability Link,CLOSED,2023-02-13T18:06:57Z,2026-02-14T08:38:10Z,,26318.5203,1,5,5,647,6,1,4
donnemartin/system-design-primer,717,Fix top k requests link,MERGED,2022-11-20T11:29:30Z,2022-12-11T20:06:51Z,2022-12-11T20:06:51Z,512.6225,1,1,1,571,3,1,2
donnemartin/system-design-primer,716,Update latency vs throughput blog link,MERGED,2022-11-06T18:02:12Z,2022-11-13T21:04:18Z,2022-11-13T21:04:18Z,171.035,1,1,1,571,2,1,1
donnemartin/system-design-primer,705,test,CLOSED,2022-09-29T12:49:58Z,2024-06-26T00:20:49Z,,15251.5142,1,2,0,571,2,0,1
donnemartin/system-design-primer,704,new commit,CLOSED,2022-09-26T13:35:57Z,2024-06-28T00:12:45Z,,15370.6133,1,1,1,571,3,1,1
donnemartin/system-design-primer,701,eng: ADDED the post scriptum hint,CLOSED,2022-09-03T21:37:57Z,2023-09-13T18:49:14Z,,8997.1881,1,1,0,166,3,0,1
donnemartin/system-design-primer,694,Fix Typo,MERGED,2022-07-30T21:03:42Z,2022-07-31T16:44:43Z,2022-07-31T16:44:43Z,19.6836,1,1,1,10,2,1,1
donnemartin/system-design-primer,689,zh-Hans: Fix some errors in translation,CLOSED,2022-07-20T14:27:49Z,2026-03-07T08:58:13Z,,31818.5067,1,2,2,90,3,0,1
donnemartin/system-design-primer,670,broke links fix,CLOSED,2022-04-28T12:11:57Z,2025-11-05T07:53:43Z,,30883.6961,4,7,7,571,3,0,1
donnemartin/system-design-primer,661,Fix typos,MERGED,2022-04-17T16:01:57Z,2022-04-23T13:14:45Z,2022-04-23T13:14:45Z,141.2133,3,3,3,0,3,3,1
donnemartin/system-design-primer,651,Replace broken weighted round robin link (#650),MERGED,2022-03-23T20:48:50Z,2022-04-20T00:37:02Z,2022-04-20T00:37:02Z,651.8033,1,1,1,571,3,1,1
donnemartin/system-design-primer,634,Added white background to all images (#630),CLOSED,2021-12-30T22:40:30Z,2023-02-20T23:12:22Z,,10008.5311,54,0,0,214,7,5,4
donnemartin/system-design-primer,631,Fix memcache architecture URL,MERGED,2021-12-23T13:24:04Z,2022-02-13T02:52:00Z,2022-02-13T02:52:00Z,1237.4656,4,4,4,129,2,1,1
donnemartin/system-design-primer,628,Update terminology to be more inclusive for 'blacklist',CLOSED,2021-12-08T02:44:54Z,2024-10-30T14:15:55Z,,25379.5169,1,1,1,144,3,0,1
