repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
doocs/advanced-java,339,docs: mark RabbitMQ mirror cluster mode as deprecated since 4.0 (fix #329),MERGED,2026-04-02T08:52:56Z,2026-04-17T08:58:59Z,2026-04-17T08:58:59Z,360.1008,1,4,2,486,2,0,1
doocs/advanced-java,338,docs: 标注RabbitMQ镜像集群模式已废弃 since 4.0 (fix #329),CLOSED,2026-03-31T04:54:47Z,2026-04-17T08:59:50Z,,412.0842,1,38,2,541,2,0,1
doocs/advanced-java,332,docs(high-concurrency): 添加 Quorum Queues 作为 RabbitMQ 高可用推荐方案,MERGED,2026-03-20T09:40:59Z,2026-03-30T06:40:13Z,2026-03-30T06:40:12Z,236.9869,1,30,0,13,10,8,1
doocs/advanced-java,331,chore: Update outdated GitHub Actions versions,MERGED,2026-01-20T10:22:42Z,2026-01-21T23:54:20Z,2026-01-21T23:54:20Z,37.5272,2,3,3,297,9,7,1
doocs/advanced-java,319,docs: modify how-eureka-enable-service-discovery-and-service-registration.md,MERGED,2025-04-10T09:17:23Z,2025-04-10T23:36:11Z,2025-04-10T23:36:11Z,14.3133,1,1,1,17,10,9,2
doocs/advanced-java,316,chore(deps-dev): bump prismjs from 1.29.0 to 1.30.0,CLOSED,2025-03-10T22:25:04Z,2025-03-17T06:53:42Z,,152.4772,1,4,3,4748,1,2,1
doocs/advanced-java,315,docs: update the links in summary.md to relative paths,CLOSED,2025-02-25T05:28:40Z,2025-03-17T06:54:01Z,,481.4225,1,78,78,37,11,10,1
doocs/advanced-java,305,chore(deps-dev): bump braces from 3.0.2 to 3.0.3,MERGED,2024-06-19T03:43:07Z,2024-06-21T10:38:37Z,2024-06-21T10:38:37Z,54.925,1,7,7,4366,1,0,1
doocs/advanced-java,304,chore(deps-dev): bump ws from 6.2.2 to 6.2.3,MERGED,2024-06-18T23:40:39Z,2024-06-19T03:42:41Z,2024-06-19T03:42:41Z,4.0339,1,6,6,3009,2,1,1
doocs/advanced-java,260,位图法这里漏乘了整型的长度,MERGED,2022-04-30T03:47:22Z,2022-04-30T06:44:28Z,2022-04-30T06:44:28Z,2.9517,1,1,1,83,2,0,1
doocs/advanced-java,232,docs: update caching penetration content,MERGED,2021-07-24T05:00:13Z,2021-07-24T06:06:35Z,2021-07-24T06:06:35Z,1.1061,2,9,0,75,2,3,1
doocs/advanced-java,223,add knowledge about redis-rehash,MERGED,2021-04-08T13:17:23Z,2021-04-09T07:36:57Z,2021-04-09T07:36:57Z,18.3261,3,45,0,12,2,3,1
doocs/advanced-java,171,补充 分布式事务解决方案Saga,MERGED,2020-06-27T10:16:48Z,2020-06-27T14:27:26Z,2020-06-27T14:27:26Z,4.1772,2,40,7,16,2,0,1
doocs/advanced-java,166,add an article,MERGED,2020-05-09T13:24:17Z,2020-05-10T00:59:10Z,2020-05-10T00:59:10Z,11.5814,7,96,0,28,1,0,1
doocs/advanced-java,163,"redis不能使用setnx和expire来实现分布式锁,应使用set命令及其nx,ex和px选项来实现",MERGED,2020-04-29T18:35:35Z,2020-04-30T01:06:20Z,2020-04-30T01:06:20Z,6.5125,2,9,9,52,2,0,1
doocs/advanced-java,152,add how-eureka-enable-service-discovery-and-service-registration.md,MERGED,2020-03-19T04:25:05Z,2020-03-20T00:42:29Z,2020-03-20T00:42:29Z,20.29,17,120,0,72,3,3,2
doocs/advanced-java,146,docs: update wrong character,MERGED,2020-02-01T14:38:53Z,2020-02-02T02:47:40Z,2020-02-02T02:47:40Z,12.1464,1,1,1,0,2,0,1
doocs/advanced-java,121,增加利用定时刷新缓存的方式来应对缓存击穿的表述,MERGED,2019-11-11T16:13:22Z,2019-11-12T02:50:28Z,2019-11-12T02:50:28Z,10.6183,1,5,2,37,2,1,1
doocs/advanced-java,120,micro service,MERGED,2019-11-08T11:21:25Z,2019-11-12T02:55:05Z,2019-11-12T02:55:05Z,87.5611,3,644,3,60,2,0,1
doocs/advanced-java,118,micro service,MERGED,2019-10-30T13:34:16Z,2019-11-01T07:46:28Z,2019-11-01T07:46:28Z,42.2033,1,102,0,23,2,2,2
doocs/advanced-java,116,docs(from-readers): add an article about micro service,MERGED,2019-10-22T01:35:38Z,2019-10-25T02:21:51Z,2019-10-25T02:21:51Z,72.7703,1,204,0,8,2,0,1
doocs/advanced-java,113,alter translation of monolithic,MERGED,2019-09-28T08:50:56Z,2019-09-28T10:45:56Z,2019-09-28T10:45:56Z,1.9167,1,13,13,56,2,0,1
