repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
elastic/elasticsearch,148361,Prevent race between watch firing and cleanup in test,MERGED,2026-05-05T22:24:41Z,2026-05-06T00:01:08Z,2026-05-06T00:01:07Z,1.6072,2,13,3,355,3,3,1
elastic/elasticsearch,148349,ESQL: Cache parquet dictionary array across batches,MERGED,2026-05-05T20:07:06Z,2026-05-05T21:20:23Z,2026-05-05T21:20:22Z,1.2211,4,493,9,723,3,4,1
elastic/elasticsearch,148340,Enable multiple items per content object for Elastic service,MERGED,2026-05-05T18:13:55Z,2026-05-05T19:35:33Z,2026-05-05T19:35:33Z,1.3606,5,21,7,141,3,5,2
elastic/elasticsearch,148333,ESQL: Ordinal fast path for BytesRefTopNBlockHash,MERGED,2026-05-05T16:38:03Z,2026-05-05T19:20:02Z,2026-05-05T19:20:02Z,2.6997,3,335,5,477,3,4,1
elastic/elasticsearch,148332,[ESQL] Dictionary short-circuit for late-mat filters,MERGED,2026-05-05T16:34:37Z,2026-05-05T19:19:41Z,2026-05-05T19:19:41Z,2.7511,3,358,0,956,3,4,1
elastic/elasticsearch,148316,Fix file handle leak in Lucene90CompoundEntriesReaderTests on Windows,MERGED,2026-05-05T14:17:39Z,2026-05-05T15:36:53Z,2026-05-05T15:36:53Z,1.3206,1,4,1,616,4,1,2
elastic/elasticsearch,148311,Add isEmpty() to ExponentialHistogram,MERGED,2026-05-05T13:21:06Z,2026-05-05T14:41:35Z,2026-05-05T14:41:35Z,1.3414,21,51,33,438,3,1,1
elastic/elasticsearch,148305,[CI] Propagate vault read failures and timeouts in Buildkite hooks,MERGED,2026-05-05T12:25:43Z,2026-05-05T18:35:31Z,2026-05-05T18:35:31Z,6.1633,2,38,21,390,2,3,1
elastic/elasticsearch,148303,"Revert ""Blob cache defer gap list evaluation""",MERGED,2026-05-05T12:12:00Z,2026-05-05T14:04:03Z,2026-05-05T14:04:03Z,1.8675,6,136,352,69,3,3,1
elastic/elasticsearch,148301,Close metric instruments after changing provider,MERGED,2026-05-05T11:54:31Z,2026-05-05T14:59:50Z,2026-05-05T14:59:50Z,3.0886,2,34,1,159,3,1,1
elastic/elasticsearch,148292,Missing ensureGreen() call in TSDBSyntheticIdsIT#testSyntheticId,MERGED,2026-05-05T09:42:55Z,2026-05-05T12:25:32Z,2026-05-05T12:25:32Z,2.7103,2,1,3,223,4,3,1
elastic/elasticsearch,148291,"Revert ""[ESQL] Simplify aggregations over linear arithmetic expressions (#148070)""",MERGED,2026-05-05T09:35:10Z,2026-05-05T10:57:00Z,2026-05-05T10:57:00Z,1.3639,5,3,901,270,3,3,1
elastic/elasticsearch,148287,"[Native] AVX-512 int4 dot product: vpdpbusd, tune batches, add bulk_sparse_2",MERGED,2026-05-05T09:10:41Z,2026-05-05T13:51:01Z,2026-05-05T13:51:01Z,4.6722,4,65,79,2857,4,4,1
elastic/elasticsearch,148284,[Test unmute] ReindexClientYamlTestSuiteIT Response format for updated,MERGED,2026-05-05T07:27:19Z,2026-05-06T00:34:33Z,2026-05-06T00:34:33Z,17.1206,1,0,3,106,3,1,1
elastic/elasticsearch,148277,ESQL: Try to bypass jvm recompilation probably-bug,MERGED,2026-05-05T04:39:32Z,2026-05-05T07:35:05Z,2026-05-05T07:35:04Z,2.9256,3,18,17,78,3,4,1
