repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
electron/electron,51502,chore: backport removal of private macOS APIs,MERGED,2026-05-05T15:53:35Z,2026-05-05T18:29:04Z,2026-05-05T18:29:04Z,2.5914,2,359,10,181,2,1,1
electron/electron,51496,ci: suppress macOS 'reopen windows' prompt for Electron test bundle,MERGED,2026-05-05T09:45:42Z,2026-05-05T20:14:55Z,2026-05-05T20:14:55Z,10.4869,1,9,0,58,2,2,2
electron/electron,51495,ci: suppress macOS 'reopen windows' prompt for Electron test bundle,MERGED,2026-05-05T09:45:39Z,2026-05-05T13:45:53Z,2026-05-05T13:45:53Z,4.0039,1,9,0,58,2,1,2
electron/electron,51494,ci: suppress macOS 'reopen windows' prompt for Electron test bundle,MERGED,2026-05-05T09:45:33Z,2026-05-05T13:45:09Z,2026-05-05T13:45:09Z,3.9933,1,9,0,58,2,1,3
electron/electron,51492,build: replace spec dep fork with transitive resolution,MERGED,2026-05-05T09:38:30Z,2026-05-05T12:52:13Z,2026-05-05T12:52:13Z,3.2286,3,15,14,58,1,1,1
electron/electron,51490,build: replace spec dep fork with transitive resolution,MERGED,2026-05-05T09:38:21Z,2026-05-05T14:39:05Z,2026-05-05T14:39:05Z,5.0122,3,15,14,58,3,1,3
electron/electron,51489,build: replace spec dep fork with transitive resolution,MERGED,2026-05-05T09:38:14Z,2026-05-05T20:56:05Z,2026-05-05T20:56:05Z,11.2975,3,15,14,58,3,2,3
electron/electron,51488,ci: suppress macOS 'reopen windows' prompt for Electron test bundle,MERGED,2026-05-05T04:54:05Z,2026-05-05T09:45:15Z,2026-05-05T09:45:15Z,4.8528,1,9,0,3054,4,4,3
electron/electron,51487,build(deps): bump github/codeql-action from 4.35.2 to 4.35.3,MERGED,2026-05-05T02:37:50Z,2026-05-05T20:27:16Z,2026-05-05T20:27:16Z,17.8239,1,1,1,12543,1,1,1
electron/electron,51486,build(deps): bump slackapi/slack-github-action from 3.0.2 to 3.0.3,MERGED,2026-05-05T02:37:36Z,2026-05-05T14:39:40Z,2026-05-05T14:39:40Z,12.0344,2,2,2,5532,2,1,1
electron/electron,51484,test: make sure there are no orphaned electron processes running,MERGED,2026-05-05T00:18:12Z,2026-05-05T12:49:41Z,2026-05-05T12:49:41Z,12.5247,1,110,0,301,2,1,3
electron/electron,51480,fix: set XDG app ID and WM_CLASS based on normalized app name,MERGED,2026-05-04T20:12:46Z,2026-05-05T14:44:44Z,2026-05-05T14:44:44Z,18.5328,5,75,10,465,1,1,1
electron/electron,51479,fix: set XDG app ID and WM_CLASS based on normalized app name,MERGED,2026-05-04T20:12:43Z,2026-05-05T00:57:46Z,2026-05-05T00:57:46Z,4.7508,5,75,10,465,1,1,1
electron/electron,51476,test: make sure there are no orphaned electron processes running,MERGED,2026-05-04T19:27:02Z,2026-05-05T00:17:53Z,2026-05-05T00:17:53Z,4.8475,1,110,0,1620,3,5,1
electron/electron,51474,fix: try clearing InspectableWebContents delegate earlier,MERGED,2026-05-04T18:39:13Z,2026-05-04T21:06:00Z,2026-05-04T21:06:00Z,2.4464,1,6,3,116,2,1,2
electron/electron,51473,fix: try clearing InspectableWebContents delegate earlier,MERGED,2026-05-04T18:39:10Z,2026-05-05T20:43:57Z,2026-05-05T20:43:57Z,26.0797,1,6,3,116,2,2,2
electron/electron,51470,fix: handle `createWindow()` rejection in import-meta test fixture,MERGED,2026-05-04T13:49:12Z,2026-05-05T12:58:19Z,2026-05-05T12:58:19Z,23.1519,1,5,10,60,1,1,1
electron/electron,51469,fix: handle `createWindow()` rejection in import-meta test fixture,MERGED,2026-05-04T13:49:06Z,2026-05-04T16:03:53Z,2026-05-04T16:03:53Z,2.2464,1,5,10,60,2,1,3
electron/electron,51468,fix: handle `createWindow()` rejection in import-meta test fixture,MERGED,2026-05-04T13:49:00Z,2026-05-04T19:28:59Z,2026-05-04T19:28:59Z,5.6664,1,5,10,60,2,1,2
electron/electron,51467,fix: don't let tests hang for an hour,MERGED,2026-05-04T13:47:06Z,2026-05-04T15:50:40Z,2026-05-04T15:50:40Z,2.0594,2,80,21,60,1,1,1
electron/electron,51466,fix: don't let tests hang for an hour,MERGED,2026-05-04T13:46:58Z,2026-05-04T18:10:48Z,2026-05-04T18:10:48Z,4.3972,2,80,21,60,1,1,1
electron/electron,51447,ci: replace actions-cool/issues-helper usage,MERGED,2026-05-02T06:40:55Z,2026-05-04T18:32:24Z,2026-05-04T18:32:24Z,59.8581,3,35,36,1026,2,2,1
electron/electron,51444,chore: bump chromium to 149.0.7820.0 (main),MERGED,2026-05-02T00:43:48Z,2026-05-04T20:38:50Z,2026-05-04T20:38:50Z,67.9172,41,150,136,268,2,2,3
