repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
fastapi/fastapi,15482,👷 Add pre-commit to check typos,MERGED,2026-05-04T18:58:51Z,2026-05-05T09:44:37Z,2026-05-05T09:44:37Z,14.7628,6,50,4,31,3,4,1
fastapi/fastapi,15478,Improve clarity and wording in LLM test documentation,CLOSED,2026-05-03T20:17:49Z,2026-05-04T10:44:58Z,,14.4525,1,5,4,417,3,2,1
fastapi/fastapi,15472,🌐 Fix typos in Spanish LLM-prompt,MERGED,2026-05-01T16:24:31Z,2026-05-05T08:04:51Z,2026-05-05T08:04:51Z,87.6722,1,3,3,170,3,1,8
fastapi/fastapi,15468,👷 Fix missing credentials issue in `translate` workflow,MERGED,2026-05-01T07:35:07Z,2026-05-01T14:29:41Z,2026-05-01T14:29:41Z,6.9094,1,3,1,281,2,0,1
fastapi/fastapi,15458,💄 Refactor opinions section with interactive tabs and new logos,MERGED,2026-04-30T10:49:53Z,2026-04-30T13:39:31Z,2026-04-30T13:39:31Z,2.8272,8,283,40,63,2,1,1
fastapi/fastapi,15457,📝 Add FastAPI Conf '26 announcement to docs,MERGED,2026-04-30T09:13:19Z,2026-04-30T10:15:21Z,2026-04-30T10:15:21Z,1.0339,4,19,0,43,2,1,1
fastapi/fastapi,15404,fix(routing): preserve response_model for non-generator Iterable return types,CLOSED,2026-04-22T11:06:38Z,2026-04-22T13:59:32Z,,2.8817,1,13,0,881,2,0,1
fastapi/fastapi,15402,docs: replace automatized in help-fastapi guide,CLOSED,2026-04-22T04:05:13Z,2026-04-22T06:55:12Z,,2.8331,1,1,1,236,4,2,1
fastapi/fastapi,15383,"docs: replace ""dependant"" with ""dependent"" in heading",CLOSED,2026-04-20T02:54:25Z,2026-04-20T06:06:22Z,,3.1992,1,1,1,366,4,2,1
fastapi/fastapi,15382,"docs: replace ""re-using"" with ""reusing"" in security tutorial",CLOSED,2026-04-20T02:54:25Z,2026-04-20T05:07:30Z,,2.2181,1,1,1,349,4,3,1
fastapi/fastapi,15379,"docs: replace ""re-use"" in header parameter models",CLOSED,2026-04-19T02:53:36Z,2026-04-19T12:49:24Z,,9.93,1,1,1,406,4,3,1
fastapi/fastapi,15378,"docs: replace ""re-use"" in query parameter models",CLOSED,2026-04-19T02:53:35Z,2026-04-19T12:49:37Z,,9.9339,1,1,1,405,4,3,1
fastapi/fastapi,15377,"docs: replace ""re-use"" in cookie parameter models",CLOSED,2026-04-19T02:53:35Z,2026-04-19T12:48:54Z,,9.9219,1,1,1,406,4,3,1
fastapi/fastapi,15338,fix(dependencies): resolve forward ref in Annotated type_annotation,CLOSED,2026-04-14T21:12:47Z,2026-04-15T11:48:00Z,,14.5869,2,1074,0,757,2,5,4
