repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
fatedier/frp,5277,Add NewVisitorConn operation to server plugin system,CLOSED,2026-04-03T21:38:27Z,2026-04-19T08:52:06Z,,371.2275,6,207,26,1180,1,2,1
fatedier/frp,5245,bump pion/stun to v3 to fix vulnerability,MERGED,2026-03-19T17:48:40Z,2026-03-29T14:45:23Z,2026-03-29T14:45:23Z,236.9453,5,67,83,6730,2,1,1
fatedier/frp,5234,"auth/oidc: fix eager token fetch at startup, add validation and e2e tests",MERGED,2026-03-13T08:59:46Z,2026-03-15T14:29:45Z,2026-03-15T14:29:45Z,53.4997,12,885,35,1168,3,2,7
fatedier/frp,5228,server/plugin: add `CloseUserConn` operation to server plugin system,CLOSED,2026-03-10T04:05:47Z,2026-04-23T01:05:42Z,,1052.9986,7,161,19,2357,2,4,2
fatedier/frp,5226,test/e2e: replace RunProcesses client sleep with log-based proxy readiness detection,MERGED,2026-03-09T06:00:25Z,2026-03-09T14:28:23Z,2026-03-09T14:28:23Z,8.4661,2,91,7,1106,2,1,2
fatedier/frp,5225,test/e2e: optimize RunFrps/RunFrpc with process exit detection,MERGED,2026-03-08T16:42:45Z,2026-03-09T02:28:47Z,2026-03-09T02:28:47Z,9.7672,2,44,5,554,2,1,6
fatedier/frp,5223,test/e2e: optimize e2e test time with TCP readiness checks,MERGED,2026-03-08T13:37:37Z,2026-03-08T15:41:34Z,2026-03-08T15:41:34Z,2.0658,37,225,192,729,2,1,5
fatedier/frp,5222,server/group: refactor with shared abstractions and fix concurrency issues,MERGED,2026-03-08T06:19:11Z,2026-03-08T10:57:21Z,2026-03-08T10:57:21Z,4.6361,12,720,436,667,2,1,3
fatedier/frp,5220,refactor: use maps.Clone and slices.Concat,MERGED,2026-03-07T20:11:22Z,2026-03-08T02:38:17Z,2026-03-08T02:38:17Z,6.4486,2,6,11,129,2,1,1
fatedier/frp,5215,refactor: fix modernize lint issues,MERGED,2026-03-07T10:05:54Z,2026-03-07T15:10:19Z,2026-03-07T15:10:19Z,5.0736,37,152,152,428,3,3,4
fatedier/frp,5213,"deduplicate common logic across proxy, visitor, and metrics modules",MERGED,2026-03-07T02:38:34Z,2026-03-07T04:00:29Z,2026-03-07T04:00:29Z,1.3653,11,74,177,752,2,0,1
fatedier/frp,5212,client/proxy: unify work conn wrapping across all proxy types,MERGED,2026-03-06T15:39:49Z,2026-03-06T17:33:39Z,2026-03-06T17:33:39Z,1.8972,3,49,69,1133,2,0,4
fatedier/frp,5202,fix: close connections on error paths to prevent resource leaks,MERGED,2026-03-06T05:52:13Z,2026-03-06T07:18:39Z,2026-03-06T07:18:39Z,1.4406,6,13,0,932,2,0,2
fatedier/frp,5175,auth/oidc: cache OIDC access token and refresh before expiry,MERGED,2026-02-12T03:40:59Z,2026-03-11T16:24:47Z,2026-03-11T16:24:47Z,660.73,2,131,14,1729,3,4,2
