repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
flutter/flutter,186091,[CP-beta]AGP 9 template,CLOSED,2026-05-05T20:28:52Z,2026-05-05T21:46:21Z,,1.2914,42,1384,1371,1768,3,3,1
flutter/flutter,186082,Roll Dart SDK from 5dbfbf6487d2 to 4db21a5827e0 (4 revisions),CLOSED,2026-05-05T19:37:27Z,2026-05-05T21:19:29Z,,1.7006,1,1,1,1044,2,3,1
flutter/flutter,186072,Roll Fuchsia Linux SDK from bfp-YJPHG5xWSLATa... to Of8dCNsrxj-2RSrXZ...,CLOSED,2026-05-05T17:27:55Z,2026-05-05T19:52:44Z,,2.4136,1,1,1,587,2,4,1
flutter/flutter,186071,Roll Dart SDK from 5dbfbf6487d2 to 4db21a5827e0 (4 revisions),CLOSED,2026-05-05T17:13:45Z,2026-05-05T19:35:30Z,,2.3625,1,1,1,1044,2,5,1
flutter/flutter,186068,Roll Skia from 503b7a1d9c19 to e4012ccf0df0 (2 revisions),MERGED,2026-05-05T15:35:48Z,2026-05-05T22:03:16Z,2026-05-05T22:03:16Z,6.4578,1,1,1,962,2,1,1
flutter/flutter,186066,Roll Dart SDK from 5dbfbf6487d2 to 688133cc2cb4 (3 revisions),CLOSED,2026-05-05T15:29:31Z,2026-05-05T17:11:29Z,,1.6994,1,1,1,947,2,4,1
flutter/flutter,186065,Roll Packages from a2ad7e3af184 to 1ef39dcbe244 (1 revision),MERGED,2026-05-05T15:01:39Z,2026-05-05T20:38:10Z,2026-05-05T20:38:10Z,5.6086,1,1,1,784,2,1,1
flutter/flutter,186059,Roll Skia from 503b7a1d9c19 to 37c602d46d67 (1 revision),CLOSED,2026-05-05T13:50:13Z,2026-05-05T15:33:05Z,,1.7144,1,1,1,871,2,3,1
flutter/flutter,186057,Roll Dart SDK from 5dbfbf6487d2 to 688133cc2cb4 (3 revisions),CLOSED,2026-05-05T13:04:45Z,2026-05-05T15:27:29Z,,2.3789,1,1,1,947,2,5,1
flutter/flutter,186053,Roll Skia from 85da0822ffec to 503b7a1d9c19 (2 revisions),MERGED,2026-05-05T11:39:10Z,2026-05-05T13:36:06Z,2026-05-05T13:36:06Z,1.9489,1,1,1,979,2,1,1
flutter/flutter,186050,Roll Dart SDK from 5dbfbf6487d2 to 28ef48bc86d5 (1 revision),MERGED,2026-05-05T10:26:41Z,2026-05-05T20:38:10Z,2026-05-05T20:38:10Z,10.1914,2,9,10,367,3,4,3
flutter/flutter,186049,Roll Dart SDK from 5dbfbf6487d2 to 449fa5a99e79 (2 revisions),CLOSED,2026-05-05T09:58:44Z,2026-05-05T12:23:29Z,,2.4125,1,1,1,851,2,5,1
flutter/flutter,186048,Roll Skia from 4e820f192226 to 85da0822ffec (3 revisions),MERGED,2026-05-05T09:20:38Z,2026-05-05T11:25:59Z,2026-05-05T11:25:59Z,2.0892,1,1,1,1117,2,1,1
flutter/flutter,186046,Roll Skia from 4e820f192226 to e2e144b4fab8 (2 revisions),CLOSED,2026-05-05T08:03:17Z,2026-05-05T09:18:05Z,,1.2467,1,1,1,1000,2,3,1
