repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
getify/You-Dont-Know-JS,1862,chore: fix typos,MERGED,2024-06-18T02:10:34Z,2024-06-19T11:21:42Z,2024-06-19T11:21:42Z,33.1856,4,5,5,14,4,1,2
getify/You-Dont-Know-JS,1820,Update foreword.md,MERGED,2023-01-31T03:56:11Z,2023-07-12T10:01:37Z,2023-07-12T10:01:37Z,3894.0906,1,1,1,814,3,0,2
getify/You-Dont-Know-JS,1808,fix typos,MERGED,2022-09-13T04:56:20Z,2022-10-23T13:09:44Z,2022-10-23T13:09:44Z,968.2233,11,17,17,285,4,1,1
getify/You-Dont-Know-JS,1789,"Replace the ""As mentioned earlier"" part in ch1.md",CLOSED,2022-03-23T11:00:21Z,2025-09-03T19:12:30Z,,30248.2025,1,1,1,573,4,0,2
getify/You-Dont-Know-JS,1769,Fix sentence,CLOSED,2021-12-06T12:20:36Z,2025-09-03T19:12:28Z,,32814.8644,1,1,1,543,3,2,1
getify/You-Dont-Know-JS,1746,typo,MERGED,2021-07-06T09:03:01Z,2023-07-07T05:50:33Z,2023-07-07T05:50:33Z,17540.7922,1,1,1,0,3,0,1
getify/You-Dont-Know-JS,1743,fix: typo in example code & some minor ones,CLOSED,2021-06-17T05:48:58Z,2021-08-26T15:05:59Z,,1689.2836,1,7,7,798,3,1,1
getify/You-Dont-Know-JS,1741,Update ch1.md,CLOSED,2021-06-10T02:59:28Z,2025-09-03T19:12:28Z,,37120.2167,1,1,1,838,4,1,1
getify/You-Dont-Know-JS,1720,add book 1 translation into Ukrainian,MERGED,2021-01-06T10:30:01Z,2021-01-07T16:23:03Z,2021-01-07T16:23:03Z,29.8839,10,815,810,1006,2,2,2
getify/You-Dont-Know-JS,1717,"[FIX] Scope & Closures, apB, Closure 3 Typo issue #1716",CLOSED,2020-12-20T14:54:42Z,2025-09-03T19:12:27Z,,41236.2958,1,2,2,725,2,1,1
getify/You-Dont-Know-JS,1699,"docs: Fix simple typo, transpiliation -> transpilation",CLOSED,2020-09-24T22:51:42Z,2025-09-03T19:12:26Z,,43316.3456,1,1,1,105,3,1,2
getify/You-Dont-Know-JS,1691,Removed extraneous 'has' typo,CLOSED,2020-08-29T15:44:26Z,2025-09-03T19:12:26Z,,43947.4667,1,1,1,814,3,0,1
getify/You-Dont-Know-JS,1685,Simple typo,CLOSED,2020-08-10T11:26:30Z,2025-09-03T19:12:24Z,,44407.765,1,1,1,843,4,1,2
