repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
ggml-org/llama.cpp,22702,common : fix missing-noreturn warnings when compiling with clang 21,MERGED,2026-05-05T08:18:57Z,2026-05-05T10:16:26Z,2026-05-05T10:16:26Z,1.9581,1,9,5,1691,3,0,2
ggml-org/llama.cpp,22701,rpc : use graph uid instead of graph cache,MERGED,2026-05-05T08:07:43Z,2026-05-05T10:47:13Z,2026-05-05T10:47:13Z,2.6583,1,7,31,255,3,0,2
ggml-org/llama.cpp,22686,vendor : update cpp-httplib to 0.43.3,MERGED,2026-05-04T16:44:38Z,2026-05-05T07:04:58Z,2026-05-05T07:04:57Z,14.3386,3,26,5,1254,3,2,2
ggml-org/llama.cpp,22679,llama : add option to save memory in device buffers,MERGED,2026-05-04T12:39:59Z,2026-05-05T03:35:08Z,2026-05-05T03:35:08Z,14.9192,11,402,58,1024,3,0,2
ggml-org/llama.cpp,22657,common : determine generation prompt using longest common prefix,MERGED,2026-05-03T21:03:28Z,2026-05-03T22:18:24Z,2026-05-03T22:18:24Z,1.2489,1,27,18,1130,4,7,2
ggml-org/llama.cpp,22654,common/autoparser: fixes for newline handling / forced tool calls,MERGED,2026-05-03T18:02:22Z,2026-05-04T11:18:11Z,2026-05-04T11:18:11Z,17.2636,10,402,107,943,4,10,6
ggml-org/llama.cpp,22650,CUDA: use fastdiv for batch index split in get_rows,MERGED,2026-05-03T15:12:01Z,2026-05-04T14:24:05Z,2026-05-04T14:24:05Z,23.2011,1,20,10,2294,3,4,3
ggml-org/llama.cpp,22649,Add a simple get_datetime server tool,MERGED,2026-05-03T15:02:29Z,2026-05-04T10:19:42Z,2026-05-04T10:19:42Z,19.2869,3,32,2,701,3,0,2
ggml-org/llama.cpp,22631,ggml : implement fast walsh-hadamard transform for kv rotation (#21352),MERGED,2026-05-02T22:20:57Z,2026-05-05T02:05:05Z,2026-05-05T02:05:05Z,51.7356,8,183,0,949,3,3,9
ggml-org/llama.cpp,22625,webui : fix circular dependency between chat.service.ts and models.svelte.ts,MERGED,2026-05-02T17:59:15Z,2026-05-04T11:38:11Z,2026-05-04T11:38:11Z,41.6489,1,2,1,2087,3,0,2
ggml-org/llama.cpp,22621,ggml-vulkan: delete dead GGML_VK_MAX_NODES def,MERGED,2026-05-02T16:40:53Z,2026-05-04T05:49:29Z,2026-05-04T05:49:29Z,37.1433,1,0,2,763,4,1,3
ggml-org/llama.cpp,22612,[BUGFIX] Mistral format yarn apply_scale support.,MERGED,2026-05-02T10:05:05Z,2026-05-03T19:51:22Z,2026-05-03T19:51:22Z,33.7714,2,4,3,864,4,4,4
ggml-org/llama.cpp,22611,convert : apply Q/K RoPE permutation in NVFP4 repack path,MERGED,2026-05-02T09:53:13Z,2026-05-03T15:22:00Z,2026-05-03T15:22:00Z,29.4797,1,14,0,2115,3,2,1
ggml-org/llama.cpp,22594,Github: update issue templates,MERGED,2026-05-01T22:11:30Z,2026-05-02T05:56:14Z,2026-05-02T05:56:14Z,7.7456,6,13,1,1008,3,0,2
