repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
github/gitignore,4851,Fix lowercase letter in WordPress.gitignore comment,MERGED,2026-04-24T03:11:28Z,2026-04-24T20:47:21Z,2026-04-24T20:47:20Z,17.5978,1,2,2,850,3,0,2
github/gitignore,4850,Add Lateralus.gitignore,CLOSED,2026-04-23T22:41:47Z,2026-04-24T20:52:26Z,,22.1775,1,25,0,2192,3,1,1
github/gitignore,4849,Update Rust.gitignore to include rustc-ice files,MERGED,2026-04-23T15:38:42Z,2026-04-24T20:53:41Z,2026-04-24T20:53:41Z,29.2497,1,3,0,909,3,0,2
github/gitignore,4848,fix: avoid using trailing comments as gitignore doesn't support them,MERGED,2026-04-23T12:36:02Z,2026-04-24T20:58:05Z,2026-04-24T20:58:05Z,32.3675,3,86,43,910,2,0,1
github/gitignore,4847,Fix grammar and improve clarity in README,MERGED,2026-04-23T08:34:18Z,2026-04-24T20:58:54Z,2026-04-24T20:58:54Z,36.41,1,2,2,389,2,0,1
github/gitignore,4846,Add .gitignore for MoonBit,MERGED,2026-04-19T17:15:45Z,2026-04-27T16:16:10Z,2026-04-27T16:16:10Z,191.0069,1,53,0,3932,4,1,6
github/gitignore,4842,fix : add missing java class files,CLOSED,2026-04-12T06:07:00Z,2026-04-13T19:56:34Z,,37.8261,1,2,0,213,2,1,1
github/gitignore,4841,KiCad: Add `.history` folder to template,MERGED,2026-04-12T05:40:02Z,2026-04-17T22:57:09Z,2026-04-17T22:57:09Z,137.2853,1,3,0,2514,2,0,1
github/gitignore,4838,feat(qt): add build directory to gitignore,MERGED,2026-04-07T03:00:50Z,2026-04-17T23:05:54Z,2026-04-17T23:05:54Z,260.0844,1,1,0,1985,2,0,1
github/gitignore,4837,feat(nix): ignore nixos test history,MERGED,2026-04-05T08:12:59Z,2026-04-06T16:43:23Z,2026-04-06T16:43:23Z,32.5067,1,3,0,846,2,0,3
github/gitignore,4836,Remove trailing whitespace in C++.gitignore,MERGED,2026-04-04T19:20:08Z,2026-04-06T16:30:04Z,2026-04-06T16:30:04Z,45.1656,1,6,6,478,2,0,1
github/gitignore,4835,Fix comment URL for Maven wrapper usage,MERGED,2026-04-04T12:53:05Z,2026-04-06T16:32:49Z,2026-04-06T16:32:49Z,51.6622,1,1,1,874,3,0,2
github/gitignore,4834,Update macOS.gitignore,MERGED,2026-04-04T03:01:56Z,2026-04-08T03:04:22Z,2026-04-08T03:04:22Z,96.0406,1,1,0,147,2,1,6
github/gitignore,4828,feat: create Lean.gitignore,MERGED,2026-03-29T04:47:18Z,2026-04-04T00:05:52Z,2026-04-04T00:05:52Z,139.3094,1,2,0,977,3,1,4
github/gitignore,4826,"TeX: add ConTeXt utility cache file (.tuc, .tui & tuo)",MERGED,2026-03-28T00:24:51Z,2026-04-06T16:41:52Z,2026-04-06T16:41:52Z,232.2836,1,5,0,514,2,1,1
github/gitignore,4818,Update Agda.gitignore to exclude MAlonzo directories in any location,MERGED,2026-03-18T13:10:21Z,2026-04-03T21:15:12Z,2026-04-03T21:15:12Z,392.0808,1,1,1,571,3,0,3
github/gitignore,4817,Add Tauri to community gitignore templates,MERGED,2026-03-17T22:36:27Z,2026-04-17T23:10:59Z,2026-04-17T23:10:59Z,744.5756,1,12,0,2195,2,0,1
github/gitignore,4816,Add Deno.gitignore,MERGED,2026-03-17T22:35:24Z,2026-04-17T21:06:02Z,2026-04-17T21:06:02Z,742.5106,1,11,0,2287,2,1,1
github/gitignore,4815,Add Zed editor to Global gitignore templates,MERGED,2026-03-17T22:33:58Z,2026-04-17T23:15:21Z,2026-04-17T23:15:21Z,744.6897,1,10,0,1777,2,0,1
github/gitignore,4813,Add gitignore for SolidWorks projects,MERGED,2026-03-15T19:27:53Z,2026-04-17T23:22:18Z,2026-04-17T23:22:18Z,795.9069,1,20,0,559,4,2,2
github/gitignore,4811,Add ignore rule for TwinCAT Measurement files,MERGED,2026-03-12T14:30:32Z,2026-04-16T16:42:30Z,2026-04-16T16:42:30Z,842.1994,1,3,0,93,3,4,2
github/gitignore,4809,Add AI .gitignore,CLOSED,2026-03-06T17:34:29Z,2026-04-17T23:25:27Z,,1013.8494,1,33,0,805,4,2,1
github/gitignore,4808,Add gitignore to exclude sisyphus directory files (oh-my-openagent formerly known as oh-my-opencode),MERGED,2026-03-03T15:56:02Z,2026-04-20T16:32:49Z,2026-04-20T16:32:49Z,1152.6131,1,2,0,914,2,0,2
github/gitignore,4797,Add .expert to Elixir.gitignore,CLOSED,2026-02-17T10:58:16Z,2026-03-30T08:52:09Z,,981.8981,1,1,0,1073,2,1,1
github/gitignore,4791,Resolve merge conflicts for PR #4300,MERGED,2026-01-25T21:38:39Z,2026-04-17T21:45:43Z,2026-04-17T21:45:43Z,1968.1178,1,2,0,616,3,2,2
github/gitignore,4786,[AL] Ignore .bclicense file,MERGED,2026-01-18T08:10:21Z,2026-04-20T20:13:30Z,2026-04-20T20:13:30Z,2220.0525,1,2,1,762,3,1,2
github/gitignore,4785,docs: clarify VS Code ignore rules in `Python.gitignore`,CLOSED,2026-01-18T04:37:56Z,2026-04-06T16:15:31Z,,1883.6264,1,7,2,983,3,4,2
github/gitignore,4783,Improve TeX.gitignore to ignore Overleaf temporary files,CLOSED,2026-01-15T06:22:22Z,2026-03-27T06:51:41Z,,1704.4886,1,7,0,1657,2,0,1
github/gitignore,4780,Update Unity.gitignore to add new ignore patterns,MERGED,2026-01-03T08:43:58Z,2026-04-20T20:27:13Z,2026-04-20T20:27:13Z,2579.7208,1,4,0,65,3,1,2
github/gitignore,4752,Improve C++.gitignore,MERGED,2025-11-04T00:17:13Z,2026-01-13T21:40:40Z,2026-01-13T21:40:40Z,1701.3908,1,28,0,1593,2,0,1
github/gitignore,4750,Insert commands for cloning and installing project,CLOSED,2025-10-29T18:05:32Z,2025-10-30T18:24:21Z,,24.3136,1,3,0,678,2,0,1
github/gitignore,4749,Created Microchip_MPLAB_X_IDE.gitignore file.,MERGED,2025-10-28T22:38:04Z,2026-04-17T20:53:22Z,2026-04-17T20:53:22Z,4102.255,1,27,0,1023,2,1,1
github/gitignore,4747,Add .env to gitignore for dotenv files,MERGED,2025-10-19T18:30:29Z,2025-11-17T18:23:13Z,2025-11-17T18:23:13Z,695.8789,1,4,1,725,8,8,11
github/gitignore,4746,Ignore GitHub Copilot migration files in Jetbrains IDEs,MERGED,2025-10-17T09:37:11Z,2025-11-13T19:15:10Z,2025-11-13T19:15:10Z,657.6331,1,3,0,1023,5,5,3
github/gitignore,4734,Add header note in Unity.gitignore about using Global editor/OS templates,MERGED,2025-09-22T15:29:07Z,2026-04-20T20:25:53Z,2026-04-20T20:25:53Z,5044.9461,1,3,0,3077,3,4,2
