repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
github/spec-kit,2449,fix: validate URL scheme in build_github_request,MERGED,2026-05-04T18:47:56Z,2026-05-05T18:28:30Z,2026-05-05T18:28:29Z,23.6758,2,94,2,1164,3,8,9
github/spec-kit,2446,Add multi-model-review to community catalog,MERGED,2026-05-04T02:55:48Z,2026-05-04T22:14:32Z,2026-05-04T22:14:32Z,19.3122,2,51,0,1654,4,3,4
github/spec-kit,2445,update security-review and memory-md extensions to latest versions,MERGED,2026-05-03T23:55:27Z,2026-05-04T15:07:59Z,2026-05-04T15:07:59Z,15.2089,2,15,14,921,3,1,5
github/spec-kit,2441,[Security hardening] Pin GitHub Actions by SHA,MERGED,2026-05-02T06:37:59Z,2026-05-04T19:08:08Z,2026-05-04T19:08:08Z,60.5025,7,16,18,327,3,0,2
github/spec-kit,2436,fix(workflows): require project for catalog list,MERGED,2026-05-02T05:58:50Z,2026-05-04T17:00:29Z,2026-05-04T17:00:29Z,59.0275,2,2,1,375,3,1,3
github/spec-kit,2435,Update Ralph Loop to v1.0.2,MERGED,2026-05-01T22:33:33Z,2026-05-04T20:50:13Z,2026-05-04T20:50:13Z,70.2778,2,9,9,508,3,1,5
github/spec-kit,2430,Add Architecture Guard to community catalog,MERGED,2026-05-01T15:11:43Z,2026-05-05T15:48:20Z,2026-05-05T15:48:20Z,96.6103,2,35,1,528,3,3,13
github/spec-kit,2429,Update DyanGalih(Memory Hub and Security Review) community extensions,MERGED,2026-05-01T15:03:16Z,2026-05-01T16:55:56Z,2026-05-01T16:55:56Z,1.8778,1,7,7,90,3,1,2
github/spec-kit,2428,chore(integrations): clean up docs and project guard,MERGED,2026-05-01T08:10:20Z,2026-05-01T15:33:22Z,2026-05-01T15:33:22Z,7.3839,3,53,118,574,3,1,6
github/spec-kit,2425,chore(deps): bump DavidAnson/markdownlint-cli2-action from 23.0.0 to 23.1.0,MERGED,2026-04-30T21:55:37Z,2026-05-01T13:56:14Z,2026-05-01T13:56:14Z,16.0103,1,1,1,3404,1,0,1
github/spec-kit,2417,feat: add Squad Bridge extension to community catalog,MERGED,2026-04-29T19:54:56Z,2026-04-29T22:05:09Z,2026-04-29T22:05:09Z,2.1703,2,40,0,1483,3,1,4
github/spec-kit,2415,Add Work IQ extension to community catalog,MERGED,2026-04-29T15:39:34Z,2026-04-29T21:41:20Z,2026-04-29T21:41:20Z,6.0294,2,45,0,2030,3,2,3
github/spec-kit,2413,feat(presets): add Spec2Cloud preset for Azure deployment workflow,MERGED,2026-04-29T15:04:55Z,2026-05-04T16:35:18Z,2026-05-04T16:35:18Z,121.5064,2,29,1,662,3,8,12
github/spec-kit,2412,feat(extensions): add Spec2Cloud extension for Azure deployment workflow,MERGED,2026-04-29T14:43:57Z,2026-05-01T12:46:49Z,2026-05-01T12:46:49Z,46.0478,2,35,2,830,3,3,18
github/spec-kit,2404,fix: migrate extension commands on integration switch,MERGED,2026-04-29T12:17:33Z,2026-05-01T12:41:38Z,2026-05-01T12:41:38Z,48.4014,4,342,9,3216,3,12,11
github/spec-kit,2401,feat: improve catalog submission templates and CODEOWNERS,MERGED,2026-04-28T23:06:32Z,2026-05-05T21:59:26Z,2026-05-05T21:59:26Z,166.8817,9,129,249,1587,3,0,26
github/spec-kit,2392,Add m365 to community catalog,MERGED,2026-04-28T14:49:43Z,2026-04-28T16:06:55Z,2026-04-28T16:06:55Z,1.2867,2,39,0,1061,3,2,11
github/spec-kit,2389,Support controlled multi-install for safe AI agent integrations,MERGED,2026-04-28T07:47:25Z,2026-05-01T16:54:42Z,2026-05-01T16:54:42Z,81.1214,30,2592,480,8685,3,13,21
github/spec-kit,2386,Add security-governance to community catalog,MERGED,2026-04-27T20:28:27Z,2026-05-01T13:17:13Z,2026-05-01T13:17:12Z,88.8125,2,33,2,985,3,1,3
github/spec-kit,2385,Add isaqb-architecture-governance to community catalog,MERGED,2026-04-27T20:28:25Z,2026-04-28T20:34:54Z,2026-04-28T20:34:54Z,24.1081,2,30,1,1015,3,2,4
github/spec-kit,2384,Add cross-platform-governance to community catalog,MERGED,2026-04-27T20:28:22Z,2026-05-01T13:03:13Z,2026-05-01T13:03:13Z,88.5808,2,33,2,1003,3,1,2
github/spec-kit,2383,Add architecture-governance to community catalog,MERGED,2026-04-27T20:28:20Z,2026-05-01T12:57:03Z,2026-05-01T12:57:03Z,88.4786,2,33,2,997,3,1,3
github/spec-kit,2382,Add agent-parity-governance to community catalog,MERGED,2026-04-27T20:28:18Z,2026-05-04T16:43:43Z,2026-05-04T16:43:43Z,164.2569,2,29,0,997,3,2,4
github/spec-kit,2381,Add a11y-governance to community catalog,MERGED,2026-04-27T20:28:15Z,2026-05-01T12:47:22Z,2026-05-01T12:47:22Z,88.3186,2,33,2,973,3,1,1
github/spec-kit,2379,catalog: add m365 community extension,CLOSED,2026-04-27T17:06:22Z,2026-04-28T14:09:29Z,,21.0519,0,0,0,1062,3,0,6
github/spec-kit,2374,update security review extension catalog to v1.3.0,MERGED,2026-04-26T22:29:37Z,2026-04-29T12:16:02Z,2026-04-29T12:16:02Z,61.7736,2,7,7,1039,3,1,8
