repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
godotengine/godot,119239,Improve error messages when trying to save invalid resources in the editor,MERGED,2026-05-04T22:33:38Z,2026-05-05T15:33:51Z,2026-05-05T15:33:51Z,17.0036,1,2,2,396,4,1,3
godotengine/godot,119233,Fix Android plugin issues,MERGED,2026-05-04T21:00:19Z,2026-05-05T15:33:51Z,2026-05-05T15:33:51Z,18.5589,13,166,16,361,4,1,5
godotengine/godot,119222,Clarify that Vector `distance_to()` uses Euclidean distance,MERGED,2026-05-04T17:06:24Z,2026-05-05T15:33:51Z,2026-05-05T15:33:51Z,22.4575,6,12,12,103,3,1,1
godotengine/godot,119212,Fix subpass MSAA resolves with multiple layers not working on D3D12.,MERGED,2026-05-04T12:33:29Z,2026-05-05T15:33:51Z,2026-05-05T15:33:51Z,27.0061,1,34,25,156,3,1,1
godotengine/godot,119204,Rendering: Fix priority sort table,MERGED,2026-05-03T20:53:17Z,2026-05-04T17:46:51Z,2026-05-04T17:46:51Z,20.8928,1,5,1,217,5,1,1
godotengine/godot,119185,Free LTC RIDs,MERGED,2026-05-03T02:00:16Z,2026-05-04T17:46:51Z,2026-05-04T17:46:51Z,39.7764,1,7,0,921,5,1,2
godotengine/godot,119174,Fix pragma includes,MERGED,2026-05-02T14:14:15Z,2026-05-04T17:46:51Z,2026-05-04T17:46:51Z,51.5433,37,7,41,1798,5,4,5
godotengine/godot,119168,Add better error message when trying to decompress ZSTD with `decompress_dynamic`,MERGED,2026-05-02T10:40:05Z,2026-05-05T15:33:51Z,2026-05-05T15:33:51Z,76.8961,1,1,1,669,3,3,1
godotengine/godot,119158,Rename 'name' in XRController3D signal parameters.,MERGED,2026-05-01T21:46:07Z,2026-05-04T17:46:51Z,2026-05-04T17:46:51Z,68.0122,2,8,8,535,4,1,2
godotengine/godot,119154,Only focus the shader editor when directly opened,MERGED,2026-05-01T20:19:26Z,2026-05-05T15:33:51Z,2026-05-05T15:33:51Z,91.2403,7,35,24,790,3,2,2
godotengine/godot,119150,CI: Replace `pre-commit` with `prek`,MERGED,2026-05-01T19:01:23Z,2026-05-04T17:46:51Z,2026-05-04T17:46:51Z,70.7578,5,5,31,948,3,1,1
godotengine/godot,119133,Fix typo in C# string interpolation in `TYPE_STRING` doc,MERGED,2026-05-01T05:00:09Z,2026-05-01T17:51:06Z,2026-05-01T17:51:06Z,12.8492,1,1,1,1001,5,2,2
godotengine/godot,119132,Add unit tests for `TextureRect`,MERGED,2026-05-01T04:52:47Z,2026-05-04T17:46:51Z,2026-05-04T17:46:51Z,84.9011,1,222,0,782,3,1,1
godotengine/godot,119130,Clarify when `is_queued_for_deletion` returns true and added mention to `SceneTree.queue_delete`.,MERGED,2026-05-01T00:06:45Z,2026-05-05T15:33:51Z,2026-05-05T15:33:51Z,111.4517,1,2,1,516,3,1,2
godotengine/godot,119126,Fix version querying problems in the asset store,MERGED,2026-04-30T21:09:55Z,2026-05-05T15:33:51Z,2026-05-05T15:33:51Z,114.3989,1,46,4,238,4,3,3
godotengine/godot,119124,Add unit tests for `NinePatchRect`,MERGED,2026-04-30T17:51:06Z,2026-05-04T17:46:51Z,2026-05-04T17:46:51Z,95.9292,1,255,0,999,4,3,1
godotengine/godot,119112,Fix audio bus name update,MERGED,2026-04-30T13:42:16Z,2026-05-01T17:51:06Z,2026-05-01T17:51:06Z,28.1472,1,1,0,490,4,1,1
godotengine/godot,119108,Add cleanup of `EditorInspector` clipboard contents,MERGED,2026-04-30T08:52:04Z,2026-05-01T17:51:06Z,2026-05-01T17:51:06Z,32.9839,1,1,0,407,3,1,1
godotengine/godot,119099,Fix item focused signal description,MERGED,2026-04-29T20:56:33Z,2026-04-30T16:00:53Z,2026-04-30T16:00:53Z,19.0722,1,1,1,395,4,1,2
