repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
gohugoio/hugo,14813,css: Support nested hugo:vars/<name> imports,MERGED,2026-04-26T12:04:38Z,2026-04-27T17:42:51Z,2026-04-27T17:42:51Z,29.6369,9,266,12,742,2,1,4
gohugoio/hugo,14802,langs/i18n: Improve default content language fallback,MERGED,2026-04-23T17:57:25Z,2026-04-25T08:43:38Z,2026-04-25T08:43:38Z,38.7703,3,73,8,311,2,2,2
gohugoio/hugo,14798,langs/i18n: Fix translation lookup when using language variants,MERGED,2026-04-23T13:34:41Z,2026-04-23T16:47:13Z,2026-04-23T16:47:13Z,3.2089,2,49,1,12,2,1,2
gohugoio/hugo,14793,"config/security: Add ""! "" negation to Whitelist, harden default http.urls",MERGED,2026-04-22T15:37:46Z,2026-04-22T18:15:20Z,2026-04-22T18:15:20Z,2.6261,7,187,24,841,2,1,1
gohugoio/hugo,14774,Misc comment adjustments,MERGED,2026-04-19T17:53:59Z,2026-04-22T13:47:35Z,2026-04-22T13:47:35Z,67.8933,16,972,147,275,2,1,2
gohugoio/hugo,14767,resources/page: Add passing test for Issue #14325,MERGED,2026-04-17T18:58:35Z,2026-04-18T13:02:48Z,2026-04-18T13:02:48Z,18.0703,1,80,0,286,2,1,3
gohugoio/hugo,14759,Add slice-based permalinks config with PageMatcher target,MERGED,2026-04-15T21:39:09Z,2026-04-19T17:45:45Z,2026-04-19T17:45:45Z,92.11,9,533,168,84,4,6,1
gohugoio/hugo,14754,Add a more flexible filename identifier scheme that also allows setting roles and versions,MERGED,2026-04-14T15:37:31Z,2026-04-15T14:44:19Z,2026-04-15T14:44:19Z,23.1133,5,676,33,13,2,1,1
gohugoio/hugo,14753,Fix it so we never auto-fallback to page resources in other roles/versions,MERGED,2026-04-14T10:51:52Z,2026-04-14T14:33:38Z,2026-04-14T14:33:38Z,3.6961,7,253,13,711,2,1,1
gohugoio/hugo,14733,Strip nested page context markers from standalone RenderShortcodes,MERGED,2026-04-07T15:58:44Z,2026-04-07T17:27:40Z,2026-04-07T17:27:40Z,1.4822,4,57,7,83,2,1,1
gohugoio/hugo,14720,docs: fix broken links in top README.md,MERGED,2026-04-04T16:33:51Z,2026-04-06T15:48:46Z,2026-04-06T15:48:46Z,47.2486,1,3,3,219,3,5,2
gohugoio/hugo,14700,"tpl/css: Support @import ""hugo:vars"" for CSS custom properties in css.Build",MERGED,2026-04-01T15:27:42Z,2026-04-02T19:02:13Z,2026-04-02T19:02:13Z,27.5753,3,182,2,84,3,6,1
gohugoio/hugo,14682,testing: Simplify line ending handling in tests,MERGED,2026-03-28T11:47:00Z,2026-03-28T18:48:28Z,2026-03-28T18:48:28Z,7.0244,10,1,37,0,2,1,1
