repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
google-gemini/gemini-cli,26534,fix(core): Fix chat corruption bug in context manager.,MERGED,2026-05-05T19:51:28Z,2026-05-05T23:07:18Z,2026-05-05T23:07:17Z,3.2636,8,428,63,12,2,2,3
google-gemini/gemini-cli,26527,docs: clarify Auto Memory proposes memory updates and skills,MERGED,2026-05-05T18:18:04Z,2026-05-05T19:56:01Z,2026-05-05T19:56:01Z,1.6325,2,61,39,2187,3,2,3
google-gemini/gemini-cli,26519,fix(core): retry on ERR_STREAM_PREMATURE_CLOSE errors,MERGED,2026-05-05T17:51:42Z,2026-05-05T19:34:47Z,2026-05-05T19:34:47Z,1.7181,2,63,0,1273,2,2,2
google-gemini/gemini-cli,26513,Triage Workflow Fixes,CLOSED,2026-05-05T16:36:56Z,2026-05-05T21:27:28Z,,4.8422,2,44,66,1603,3,8,1
google-gemini/gemini-cli,26508,fix(patch): cherry-pick 1d72a12 to release/v0.41.0-preview.1-pr-26479 to patch version v0.41.0-preview.1 and create version 0.41.0-preview.2,MERGED,2026-05-05T15:53:41Z,2026-05-05T17:59:00Z,2026-05-05T17:59:00Z,2.0886,4,359,54,176,3,2,2
google-gemini/gemini-cli,26506,feat: allow queuing messages during compression (#24071),MERGED,2026-05-05T15:47:09Z,2026-05-05T18:48:41Z,2026-05-05T18:48:41Z,3.0256,6,179,38,2856,2,5,4
google-gemini/gemini-cli,26480,"feat(core): steer model to use edit tool for surgical edits, fix a typo",MERGED,2026-05-05T02:35:00Z,2026-05-05T19:51:57Z,2026-05-05T19:51:57Z,17.2825,4,24,24,1679,3,3,6
google-gemini/gemini-cli,26479,fix(a2a-server): resolve tool approval race condition and improve status reporting,MERGED,2026-05-05T01:44:10Z,2026-05-05T02:59:48Z,2026-05-05T02:59:47Z,1.2603,4,359,54,2026,2,8,2
google-gemini/gemini-cli,26476,fix(ci): require nudge label before closing old PRs,CLOSED,2026-05-04T23:12:58Z,2026-05-05T00:58:43Z,,1.7625,1,2,6,1607,1,2,1
google-gemini/gemini-cli,26469,Fixing race condition in task updates,CLOSED,2026-05-04T21:26:38Z,2026-05-05T01:33:32Z,,4.115,4,181,16,622,1,2,1
google-gemini/gemini-cli,26467,feat: allow queuing messages during compression (#24071),CLOSED,2026-05-04T20:47:18Z,2026-05-05T15:35:44Z,,18.8072,0,0,0,2856,1,2,1
google-gemini/gemini-cli,26463,feat(bot): add actions spend metric script,MERGED,2026-05-04T20:02:05Z,2026-05-04T21:16:31Z,2026-05-04T21:16:31Z,1.2406,2,129,0,1077,2,2,2
google-gemini/gemini-cli,26462,ci(release): build and attach unsigned macOS binaries to releases,MERGED,2026-05-04T19:30:25Z,2026-05-05T22:18:45Z,2026-05-05T22:18:45Z,26.8056,6,89,5,1516,4,3,4
google-gemini/gemini-cli,26460,feat(core): allow reusing existing worktrees with --worktree flag,CLOSED,2026-05-04T19:29:15Z,2026-05-04T20:41:02Z,,1.1964,3,54,3,1215,1,2,1
google-gemini/gemini-cli,26455,fix(cli): make SkillInboxDialog fit and scroll in alternate buffer,MERGED,2026-05-04T18:01:08Z,2026-05-04T22:08:04Z,2026-05-04T22:08:04Z,4.1156,2,1028,381,3075,2,3,2
google-gemini/gemini-cli,26454,feat(voice): add privacy and compliance UX warning for Gemini Live backend,MERGED,2026-05-04T17:11:07Z,2026-05-04T18:44:53Z,2026-05-04T18:44:53Z,1.5628,6,126,12,1597,2,2,3
google-gemini/gemini-cli,26446,refactor(UI): created constants file for ThemeDialog,MERGED,2026-05-04T15:52:36Z,2026-05-04T17:42:25Z,2026-05-04T17:42:25Z,1.8303,2,48,16,1309,2,3,1
google-gemini/gemini-cli,26445,feat: add ignoreLocalEnv setting and --ignore-env flag (#2493),MERGED,2026-05-04T15:39:14Z,2026-05-04T19:27:10Z,2026-05-04T19:27:10Z,3.7989,6,276,3,1495,3,3,2
google-gemini/gemini-cli,26443,perf: skip redundant GEMINI.md loading in partialConfig,MERGED,2026-05-04T15:21:13Z,2026-05-04T16:21:31Z,2026-05-04T16:21:30Z,1.0047,3,23,2,1252,2,2,2
google-gemini/gemini-cli,26442,feat(cli): improve /agents refresh logging,MERGED,2026-05-04T15:15:54Z,2026-05-04T19:54:22Z,2026-05-04T19:54:22Z,4.6411,5,190,69,2772,2,9,3
google-gemini/gemini-cli,26441,docs(sdk): add JSDoc to exported interfaces in packages/sdk/src/types.ts,MERGED,2026-05-04T14:57:49Z,2026-05-04T16:18:31Z,2026-05-04T16:18:31Z,1.345,1,73,0,1087,2,2,2
google-gemini/gemini-cli,26440,feat: add minimal V8 heap snapshot utility for memory diagnostics,MERGED,2026-05-04T14:52:40Z,2026-05-04T17:55:28Z,2026-05-04T17:55:28Z,3.0467,4,97,0,1448,2,3,3
google-gemini/gemini-cli,26435,feat(devtools)#25439: add console log filtering,CLOSED,2026-05-04T13:20:18Z,2026-05-04T18:31:22Z,,5.1844,5,601,23,1102,2,2,1
google-gemini/gemini-cli,26431,fix(cli)#21297: clear skills consent dialog before reload,MERGED,2026-05-04T11:47:35Z,2026-05-04T18:05:51Z,2026-05-04T18:05:51Z,6.3044,5,67,2,1750,2,1,2
google-gemini/gemini-cli,26379,docs: fix GitHub capitalization in releases guide,MERGED,2026-05-02T16:01:13Z,2026-05-04T17:44:07Z,2026-05-04T17:44:06Z,49.7147,1,2,2,116,2,1,2
google-gemini/gemini-cli,26374,perf: optimize performance and memory for large chat sessions,CLOSED,2026-05-02T11:12:24Z,2026-05-02T18:07:25Z,,6.9169,21,957,233,3381,1,2,1
google-gemini/gemini-cli,26367,fix(cli): print --version on real stdout before patchStdio,CLOSED,2026-05-02T08:18:02Z,2026-05-04T16:55:13Z,,56.6197,1,12,0,314,2,3,2
google-gemini/gemini-cli,26357,fix(core): Minor fixes for generalist profile.,MERGED,2026-05-02T01:32:29Z,2026-05-05T19:46:48Z,2026-05-05T19:46:48Z,90.2386,7,37,14,265,2,2,2
google-gemini/gemini-cli,26355,Robust Scale-Safe Lifecycle Consolidation,MERGED,2026-05-01T23:29:32Z,2026-05-04T22:20:40Z,2026-05-04T22:20:40Z,70.8522,8,292,626,2041,3,5,3
google-gemini/gemini-cli,26352,fix(core): filter unsupported multimodal types from tool responses,MERGED,2026-05-01T20:25:59Z,2026-05-04T20:45:34Z,2026-05-04T20:45:34Z,72.3264,4,307,8,2586,2,2,3
