repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
grafana/grafana,124168,Dashboard Import: Set default permissions when importing v2 dashboards,MERGED,2026-05-05T18:42:30Z,2026-05-05T20:33:04Z,2026-05-05T20:33:04Z,1.8428,2,22,4,358,2,1,1
grafana/grafana,124151,Alerting: add RBAC authorization for alertmanager import API,MERGED,2026-05-05T15:58:51Z,2026-05-05T22:01:52Z,2026-05-05T22:01:52Z,6.0503,17,551,43,1504,2,2,3
grafana/grafana,124140,[release-13.0.2] Provisioning: Bump nanogit to v0.17.0 to fix pushes with repositories using git modules,MERGED,2026-05-05T14:40:10Z,2026-05-05T15:48:38Z,2026-05-05T15:48:38Z,1.1411,4,6,6,1353,2,1,1
grafana/grafana,124139,[release-13.0.2] Provisioning: Don't mark folders pending due to _folder.json metadata,MERGED,2026-05-05T14:39:16Z,2026-05-05T15:40:06Z,2026-05-05T15:40:06Z,1.0139,4,343,7,5261,1,1,1
grafana/grafana,124130,[release-13.0.2] Provisioning: Negotiate receive-pack capabilities for git pushes,MERGED,2026-05-05T13:56:52Z,2026-05-05T16:33:35Z,2026-05-05T16:33:35Z,2.6119,1,1,1,2403,2,1,2
grafana/grafana,124129,[release-13.0.2] Unified Storage: Warn when folders/dashboards migration is skipped,MERGED,2026-05-05T13:56:37Z,2026-05-05T18:20:54Z,2026-05-05T18:20:54Z,4.4047,1,8,1,1595,1,1,1
grafana/grafana,124128,[release-13.0.2] Provisioning: Honor ruleset bypass for write workflow validation,MERGED,2026-05-05T13:46:58Z,2026-05-05T15:52:41Z,2026-05-05T15:52:41Z,2.0953,2,470,7,2848,1,1,1
grafana/grafana,124121,"[release-13.0.2] Provisioning: Scope repository uniqueness by (URL, branch, path)",MERGED,2026-05-05T13:14:43Z,2026-05-05T15:27:46Z,2026-05-05T15:27:45Z,2.2172,3,527,45,2612,3,1,1
grafana/grafana,124118,Provisioning: Don't mark folders pending due to _folder.json metadata,MERGED,2026-05-05T13:00:54Z,2026-05-05T14:34:49Z,2026-05-05T14:34:49Z,1.5653,4,343,7,5192,3,4,4
grafana/grafana,124117,Chore: Update to latest version of scenes,MERGED,2026-05-05T12:58:49Z,2026-05-05T14:11:00Z,2026-05-05T14:11:00Z,1.2031,3,15,15,2201,2,1,1
