repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
hacksider/Deep-Live-Cam,1786,Pr/894,CLOSED,2026-04-26T02:47:50Z,2026-04-29T16:31:02Z,,85.72,3,44,4,560,3,1,1
hacksider/Deep-Live-Cam,1782,fix: black border around face after paste-back optimization,MERGED,2026-04-23T17:44:24Z,2026-04-29T14:31:09Z,2026-04-29T14:31:09Z,140.7792,1,1,1,941,5,5,1
hacksider/Deep-Live-Cam,1777,Keep GFPGAN on ANE: widen scalar Gather indices for CoreML EP,MERGED,2026-04-22T12:02:51Z,2026-04-22T14:17:34Z,2026-04-22T14:17:34Z,2.2453,4,232,133,3218,2,1,1
hacksider/Deep-Live-Cam,1776,Paste-back: O(crop_area) compositing + uint8 cv2 SIMD blend,MERGED,2026-04-22T11:35:54Z,2026-04-22T14:14:45Z,2026-04-22T14:14:45Z,2.6475,3,100,123,3035,2,3,1
hacksider/Deep-Live-Cam,1775,"Apple Silicon + Windows CUDA perf: 4-5x FPS, wider capture, platform routing",MERGED,2026-04-22T09:09:09Z,2026-04-22T10:38:33Z,2026-04-22T10:38:32Z,1.4897,15,1779,277,6013,3,2,1
hacksider/Deep-Live-Cam,1760,Fix formatting of virtual environment reinstallation note,CLOSED,2026-04-14T12:23:17Z,2026-04-14T14:15:41Z,,1.8733,1,1,1,151,2,1,1
hacksider/Deep-Live-Cam,1751,fix(face-mask): guard create_face_mask against None frame,MERGED,2026-04-12T05:20:06Z,2026-04-15T06:13:18Z,2026-04-15T06:13:18Z,72.8867,2,125,1,605,2,2,1
hacksider/Deep-Live-Cam,1746,Apple Silicon performance: 1.5 → 10+ FPS (zero quality loss),MERGED,2026-04-09T12:28:40Z,2026-04-14T17:25:51Z,2026-04-14T17:25:51Z,124.9531,4,139,74,4236,2,4,1
hacksider/Deep-Live-Cam,1744,Add MPS (Metal) GPU acceleration for Apple Silicon,CLOSED,2026-04-07T12:12:17Z,2026-04-29T16:28:51Z,,532.2761,4,174,50,3061,2,2,1
hacksider/Deep-Live-Cam,1741,Fix crash when image paths contain non-ASCII characters,CLOSED,2026-04-06T13:14:06Z,2026-04-23T15:01:47Z,,409.7947,7,37,20,1165,1,1,1
hacksider/Deep-Live-Cam,1738,fix: recover from CUDA BFCArena OOM instead of failing every frame,CLOSED,2026-04-05T19:49:56Z,2026-04-19T02:06:06Z,,318.2694,4,116,71,2207,4,6,3
hacksider/Deep-Live-Cam,1737,fix: unify face swapper model path selection,CLOSED,2026-04-05T18:33:45Z,2026-04-15T06:09:29Z,,227.5956,3,71,3,1317,3,5,2
hacksider/Deep-Live-Cam,1733,added function to preload runtime DLLs needed by CUDA/TensorRT-enable…,CLOSED,2026-04-03T10:19:36Z,2026-04-03T20:24:33Z,,10.0825,2,19,0,483,1,1,1
hacksider/Deep-Live-Cam,1732,Fix CUDA VRAM exhaustion during video processing,MERGED,2026-04-03T02:59:58Z,2026-04-05T15:15:39Z,2026-04-05T15:15:39Z,60.2614,2,9,2,942,2,1,1
