repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
home-assistant/core,169871,Improve condition test helper docstrings,MERGED,2026-05-05T20:00:53Z,2026-05-05T22:32:37Z,2026-05-05T22:32:37Z,2.5289,1,188,18,4804,3,0,4
home-assistant/core,169856,Fix flaky test_set_scan_interval_via_platform,MERGED,2026-05-05T15:21:44Z,2026-05-05T18:49:15Z,2026-05-05T18:49:15Z,3.4586,1,7,2,3071,4,0,3
home-assistant/core,169852,Add ruff rule to prevent __future__ annotations,MERGED,2026-05-05T14:28:37Z,2026-05-05T16:42:10Z,2026-05-05T16:42:10Z,2.2258,3,1,4,4562,7,0,7
home-assistant/core,169849,ElkM1 integration: add number entity for elk settings,CLOSED,2026-05-05T13:50:11Z,2026-05-05T17:00:10Z,,3.1664,52,591,152,4963,11,2,10
home-assistant/core,169848,Bump tuya-device-handlers to 0.0.19,MERGED,2026-05-05T13:46:53Z,2026-05-05T20:23:15Z,2026-05-05T20:23:15Z,6.6061,3,3,3,4924,3,1,2
home-assistant/core,169843,Bump elkm1-lib to 2.2.15,MERGED,2026-05-05T13:20:39Z,2026-05-05T16:50:18Z,2026-05-05T16:50:18Z,3.4942,4,6,4,4753,5,3,5
home-assistant/core,169839,Return the requested format for OpenAI TTS,MERGED,2026-05-05T12:53:21Z,2026-05-05T14:28:21Z,2026-05-05T14:28:21Z,1.5833,2,84,10,4939,3,0,4
home-assistant/core,169838,Add Zunzunbee Zigbee brand,MERGED,2026-05-05T12:53:13Z,2026-05-05T14:17:49Z,2026-05-05T14:17:49Z,1.41,2,11,0,4858,4,0,2
home-assistant/core,169837,Add method _should_include to EntityTriggerBase,MERGED,2026-05-05T12:52:35Z,2026-05-05T22:50:22Z,2026-05-05T22:50:22Z,9.9631,7,354,239,5589,3,3,16
home-assistant/core,169836,Add Sensereo matter brand,MERGED,2026-05-05T12:51:07Z,2026-05-05T14:18:01Z,2026-05-05T14:18:01Z,1.4483,2,11,0,4857,4,0,2
home-assistant/core,169831,Remove show_advanced_options in Ecovacs and always show all options,MERGED,2026-05-05T11:07:37Z,2026-05-05T13:42:08Z,2026-05-05T13:42:08Z,2.5753,2,13,64,5267,4,1,2
home-assistant/core,169802,Add API version to Duco diagnostics for support triage,MERGED,2026-05-05T09:37:02Z,2026-05-05T13:48:43Z,2026-05-05T13:48:43Z,4.1947,4,95,4,3753,3,1,3
home-assistant/core,169798,Validate yaml matches implementation in automation options_supported tests,MERGED,2026-05-05T07:17:28Z,2026-05-05T20:20:28Z,2026-05-05T20:20:28Z,13.05,1,43,0,5224,4,0,3
home-assistant/core,169796,Remove deprecated reboot service for Velux gateway,MERGED,2026-05-05T06:54:17Z,2026-05-05T09:08:01Z,2026-05-05T09:08:01Z,2.2289,5,4,122,5651,3,1,4
home-assistant/core,169793,Bump dawidd6/action-download-artifact from 20 to 21,MERGED,2026-05-05T06:16:49Z,2026-05-05T08:12:08Z,2026-05-05T08:12:08Z,1.9219,1,2,2,7027,1,0,1
home-assistant/core,169785,Update infrared-protocols to 2.1.0,MERGED,2026-05-05T01:49:04Z,2026-05-05T08:11:52Z,2026-05-05T08:11:52Z,6.38,4,4,4,2424,1,1,1
home-assistant/core,169783,Add data_description to airnow config flow strings,MERGED,2026-05-05T00:51:52Z,2026-05-05T05:43:19Z,2026-05-05T05:43:19Z,4.8575,1,7,1,5457,4,1,4
home-assistant/core,169778,Add V2C LED lights,MERGED,2026-05-04T22:22:12Z,2026-05-05T20:20:00Z,2026-05-05T20:19:59Z,21.9631,8,435,2,4974,4,1,12
home-assistant/core,169776,Bump python-duco-client to 0.4.0,MERGED,2026-05-04T22:08:46Z,2026-05-05T06:55:23Z,2026-05-05T06:55:23Z,8.7769,4,5,3,3660,4,2,3
home-assistant/core,169775,Update xknxproject to 3.9.0,MERGED,2026-05-04T22:08:27Z,2026-05-05T08:09:25Z,2026-05-05T08:09:25Z,10.0161,3,3,3,4733,6,2,2
home-assistant/core,169769,Remove YAML import from Duck DNS integration,MERGED,2026-05-04T21:21:57Z,2026-05-05T05:45:41Z,2026-05-05T05:45:40Z,8.3953,5,4,183,4882,3,0,2
home-assistant/core,169759,Deprecate MQTT protocol versions 3.x and migrate to version 5,MERGED,2026-05-04T17:55:00Z,2026-05-05T11:43:19Z,2026-05-05T11:43:19Z,17.8053,11,346,28,5702,4,1,22
home-assistant/core,169758,Bump aioautomower to 2.7.5,MERGED,2026-05-04T17:39:49Z,2026-05-04T21:27:47Z,2026-05-04T21:27:47Z,3.7994,4,11,6,2231,4,3,5
home-assistant/core,169757,Bump Insteon-panel to 0.6.2,MERGED,2026-05-04T17:24:03Z,2026-05-04T18:55:42Z,2026-05-04T18:55:42Z,1.5275,4,6,6,5039,5,2,5
home-assistant/core,169753,Restore OwnTracks custom device tracker attributes,MERGED,2026-05-04T16:29:46Z,2026-05-05T07:44:53Z,2026-05-05T07:44:53Z,15.2519,4,78,11,5456,3,0,3
home-assistant/core,169751,Fix config flow validation in Nord Pool,MERGED,2026-05-04T16:18:08Z,2026-05-04T17:34:18Z,2026-05-04T17:34:18Z,1.2694,3,36,0,2390,4,0,2
home-assistant/core,169748,Update frontend to 20260429.2,MERGED,2026-05-04T15:08:03Z,2026-05-04T16:22:52Z,2026-05-04T16:22:52Z,1.2469,4,4,4,144,4,1,2
home-assistant/core,169743,Fix uptime template sensor,MERGED,2026-05-04T14:25:46Z,2026-05-04T17:09:47Z,2026-05-04T17:09:47Z,2.7336,2,52,124,5127,4,1,3
home-assistant/core,169742,Bump pytrydan to 1.0.0,MERGED,2026-05-04T14:02:36Z,2026-05-04T17:39:47Z,2026-05-04T17:39:47Z,3.6197,4,4,4,4759,4,3,4
home-assistant/core,169737,Add Orion XS and Inverter support to Victron BLE,CLOSED,2026-05-04T13:24:16Z,2026-05-05T12:14:53Z,,22.8436,212,9910,1276,1993,41,1,2
home-assistant/core,169736,Bump victron-ble-ha-parser to 0.7.0,MERGED,2026-05-04T13:23:02Z,2026-05-05T11:57:20Z,2026-05-05T11:57:20Z,22.5717,5,17,5,2219,4,2,5
home-assistant/core,169734,Remove legacy weather template entities,MERGED,2026-05-04T13:07:43Z,2026-05-05T20:18:46Z,2026-05-05T20:18:46Z,31.1842,4,69,1122,5105,3,1,2
home-assistant/core,169731,Add ExtraStoredData container for mobile_app device_tracker,MERGED,2026-05-04T12:31:18Z,2026-05-04T14:36:04Z,2026-05-04T14:36:04Z,2.0794,3,271,41,4885,3,1,9
home-assistant/core,169729,Bump bring-api to 1.1.2,MERGED,2026-05-04T12:22:21Z,2026-05-04T13:49:54Z,2026-05-04T13:49:54Z,1.4592,4,31,3,4760,5,1,3
home-assistant/core,169727,Add missing initialization charging power status option to Volvo,MERGED,2026-05-04T11:15:02Z,2026-05-05T07:10:13Z,2026-05-05T07:10:13Z,19.9197,3,8,0,3056,4,0,3
home-assistant/core,169724,Improve mobile_app device tracker tests,MERGED,2026-05-04T09:56:39Z,2026-05-04T11:49:34Z,2026-05-04T11:49:34Z,1.8819,1,196,1,4885,3,1,2
