repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
huggingface/transformers,45792,fix: forward use_cache kwarg to attention mixer in nemotron_h,MERGED,2026-05-05T17:24:06Z,2026-05-05T18:26:28Z,2026-05-05T18:26:28Z,1.0394,2,2,2,360,3,2,1
huggingface/transformers,45775,make sure we call check_auto in CI,MERGED,2026-05-04T07:27:15Z,2026-05-04T12:14:30Z,2026-05-04T12:14:29Z,4.7872,6,219,88,1338,5,13,8
huggingface/transformers,45770,Unwrap `text_config` in `AutoModelFor*.from_config`,MERGED,2026-05-04T00:39:39Z,2026-05-05T11:23:44Z,2026-05-05T11:23:44Z,34.7347,3,59,4,106,4,4,6
huggingface/transformers,45749,fix: correct spelling in continuous_api docstring,MERGED,2026-05-03T06:21:02Z,2026-05-05T16:17:19Z,2026-05-05T16:17:19Z,57.9381,1,1,1,4151,3,2,1
huggingface/transformers,45746,Fix link to modular transformers documentation,MERGED,2026-05-02T13:47:03Z,2026-05-05T16:06:34Z,2026-05-05T16:06:34Z,74.3253,1,1,1,4222,3,1,1
huggingface/transformers,45744,[MINISTRAL3] Fix conversion script yarn's apply_scale support.,MERGED,2026-05-02T09:03:59Z,2026-05-03T17:49:41Z,2026-05-03T17:49:41Z,32.7617,1,1,1,2527,2,1,3
huggingface/transformers,45741,deepseek r1 distilled tokenizer fix for qwen2 mapping,MERGED,2026-05-02T01:41:21Z,2026-05-05T10:10:34Z,2026-05-05T10:10:34Z,80.4869,2,15,2,53,3,2,1
huggingface/transformers,45739,DeepSeek OCR specifies an incorrect tokenizer class on the Hub,MERGED,2026-05-01T14:54:46Z,2026-05-04T07:41:14Z,2026-05-04T07:41:14Z,64.7744,1,2,0,484,4,3,1
huggingface/transformers,45728,PythonBackend slow tokenizer convert_ids_to_tokens fix,MERGED,2026-04-30T17:14:11Z,2026-05-04T00:50:42Z,2026-05-04T00:50:42Z,79.6086,1,3,1,2113,4,1,2
huggingface/transformers,45723,🚨 Get rid of most Apex references,MERGED,2026-04-30T14:51:14Z,2026-05-01T12:05:40Z,2026-05-01T12:05:40Z,21.2406,6,1,71,628,3,10,1
huggingface/transformers,45719,Speedup Qwen2VLImageProcessor,MERGED,2026-04-30T12:35:42Z,2026-04-30T14:26:31Z,2026-04-30T14:26:31Z,1.8469,6,70,88,2786,3,10,4
huggingface/transformers,45703,chore(typing): add ty type checking for 10 utility files,MERGED,2026-04-29T17:42:40Z,2026-04-30T07:55:37Z,2026-04-30T07:55:37Z,14.2158,1,20,0,4318,3,1,1
huggingface/transformers,45702,Reorder decorators for autodoc and dataclass,MERGED,2026-04-29T16:42:01Z,2026-05-05T11:57:46Z,2026-05-05T11:57:46Z,139.2625,210,482,420,675,4,3,3
huggingface/transformers,45695,Support for a new Granite-Speech-Plus model,MERGED,2026-04-29T07:40:46Z,2026-04-29T14:41:30Z,2026-04-29T14:41:30Z,7.0122,13,1407,0,1831,4,5,7
huggingface/transformers,45692,[Fix Phi4 test] Fall back to model config for image processor when `trust_remote_code` is False,MERGED,2026-04-28T21:18:30Z,2026-04-29T11:09:46Z,2026-04-29T11:09:46Z,13.8544,1,2,2,54,3,2,1
huggingface/transformers,45691,[serve] cb error,MERGED,2026-04-28T17:05:52Z,2026-04-29T14:17:34Z,2026-04-29T14:17:34Z,21.195,4,121,4,208,3,4,1
huggingface/transformers,45687,fix: Added Mps support in float fallback backends list,MERGED,2026-04-28T15:23:48Z,2026-05-05T08:28:02Z,2026-05-05T08:28:02Z,161.0706,1,2,1,3031,5,14,5
huggingface/transformers,45686,Fix custom-module copies inheriting read-only permissions,MERGED,2026-04-28T13:47:54Z,2026-04-29T11:03:03Z,2026-04-29T11:03:03Z,21.2525,1,5,5,2262,3,4,1
huggingface/transformers,45680,change got reverted,MERGED,2026-04-28T10:37:00Z,2026-04-28T17:29:10Z,2026-04-28T17:29:10Z,6.8694,2,46,7,83,3,2,1
huggingface/transformers,45669,zero_shot_object_detection ValueError fix for python 3.13,MERGED,2026-04-28T02:46:55Z,2026-04-28T11:40:47Z,2026-04-28T11:40:47Z,8.8978,1,1,1,1326,3,1,1
huggingface/transformers,45667,chore(typing): add ty type checking for 3 pipeline files,MERGED,2026-04-27T22:45:13Z,2026-04-29T06:46:27Z,2026-04-29T06:46:27Z,32.0206,1,6,0,3810,3,1,3
huggingface/transformers,45665,Fix pageable H2D copies in Gated DeltaNet PyTorch fallback,MERGED,2026-04-27T21:19:22Z,2026-04-28T10:15:28Z,2026-04-28T10:15:28Z,12.935,5,25,15,5807,3,3,1
huggingface/transformers,45664,Doc translate to Persian(farsi),MERGED,2026-04-27T20:58:16Z,2026-04-30T16:02:14Z,2026-04-30T16:02:14Z,67.0661,2,326,0,1160,3,3,5
