repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
iluwatar/java-design-patterns,3455,"fix: pin 1 unpinned action(s),extract 1 unsafe expression(s) to env vars",CLOSED,2026-03-26T16:05:36Z,2026-03-26T21:22:15Z,,5.2775,1,4,2,2591,1,3,1
iluwatar/java-design-patterns,3445,server-session: remove busy-wait loop in App.java using ScheduledExecutorService,CLOSED,2026-03-06T14:45:08Z,2026-03-06T16:14:26Z,,1.4883,12,572,539,1275,1,1,2
iluwatar/java-design-patterns,3425,refactor: convert all design pattern modules from Java to Kotlin,CLOSED,2026-01-31T19:04:15Z,2026-01-31T20:25:13Z,,1.3494,3789,119014,119695,1241,1,1,1
iluwatar/java-design-patterns,3420,feat: Microservice Messaging Pattern (#2681),CLOSED,2026-01-20T10:55:22Z,2026-01-20T17:17:46Z,,6.3733,13,740,0,79,1,2,1
iluwatar/java-design-patterns,3377,build(deps-dev): bump io.projectreactor:reactor-test from 3.8.0-M1 to 3.8.0-RC1,MERGED,2025-10-20T22:03:45Z,2026-02-08T19:11:22Z,2026-02-08T19:11:22Z,2661.1269,1,1,1,9336,1,4,1
iluwatar/java-design-patterns,3334,build(deps-dev): bump org.htmlunit:htmlunit from 4.7.0 to 4.17.0,MERGED,2025-10-06T22:02:50Z,2026-02-08T18:37:16Z,2026-02-08T18:37:15Z,2996.5736,1,1,1,7443,1,4,1
iluwatar/java-design-patterns,3322,build(deps-dev): bump io.projectreactor:reactor-test from 3.8.0-M1 to 3.8.0-M7,CLOSED,2025-09-15T22:03:21Z,2025-10-20T22:03:48Z,,840.0075,1,1,1,8582,0,3,1
iluwatar/java-design-patterns,3321,build(deps): bump org.springframework:spring-context from 6.2.5 to 6.2.11,CLOSED,2025-09-15T22:02:47Z,2025-10-20T22:04:08Z,,840.0225,1,1,1,10177,0,3,1
iluwatar/java-design-patterns,3319,build(deps-dev): bump org.htmlunit:htmlunit from 4.7.0 to 4.16.0,CLOSED,2025-09-02T12:49:27Z,2025-10-06T22:02:53Z,,825.2239,1,1,1,7306,0,3,1
iluwatar/java-design-patterns,3313,build(deps-dev): bump org.htmlunit:htmlunit from 4.7.0 to 4.15.0,CLOSED,2025-08-19T08:37:44Z,2025-09-02T12:49:30Z,,340.1961,1,1,1,7046,0,3,1
iluwatar/java-design-patterns,3312,build(deps-dev): bump io.projectreactor:reactor-test from 3.8.0-M1 to 3.8.0-M6,CLOSED,2025-08-19T07:55:31Z,2025-09-15T22:03:24Z,,662.1314,1,1,1,9018,0,3,1
iluwatar/java-design-patterns,3311,build(deps): bump org.springframework:spring-context from 6.2.5 to 6.2.10,CLOSED,2025-08-19T07:46:01Z,2025-09-15T22:02:50Z,,662.2803,1,1,1,10103,0,3,1
iluwatar/java-design-patterns,3310,build(deps-dev): bump io.projectreactor:reactor-test from 3.8.0-M1 to 3.8.0-M5,CLOSED,2025-08-05T05:50:14Z,2025-08-19T07:55:33Z,,338.0886,1,1,1,8797,0,3,1
