repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
infiniflow/ragflow,14573,"Go: CLI chat with text, image, video",MERGED,2026-05-05T09:12:24Z,2026-05-05T10:14:39Z,2026-05-05T10:14:39Z,1.0375,4,285,95,1696,1,2,1
infiniflow/ragflow,14537,Support stream for multimodal chat,MERGED,2026-04-30T09:40:50Z,2026-04-30T11:33:57Z,2026-04-30T11:33:57Z,1.8853,15,369,227,121,2,2,1
infiniflow/ragflow,14533,Fix: remove delete_documents uuid validation,MERGED,2026-04-30T08:59:31Z,2026-04-30T10:56:33Z,2026-04-30T10:56:33Z,1.9506,4,34,12,163,2,2,1
infiniflow/ragflow,14530,Fix: sync data source empty list,MERGED,2026-04-30T07:05:17Z,2026-04-30T10:56:44Z,2026-04-30T10:56:44Z,3.8575,1,1,9,156,2,2,1
infiniflow/ragflow,14523,Simplify chat and support multimodal chat,MERGED,2026-04-30T05:48:49Z,2026-04-30T07:25:02Z,2026-04-30T07:25:02Z,1.6036,17,911,486,124,2,2,2
infiniflow/ragflow,14521,Fix code scanning alerts,CLOSED,2026-04-30T05:03:25Z,2026-04-30T07:50:46Z,,2.7892,21,133,49,200,1,4,2
infiniflow/ragflow,14507,.1470523137868652:d5cf7e0155695d3609f9d09d823cd0dd_69f20eb897926bc2c201eebd.69f2144997926bc2c201efbe.69f214488c73dc53bcbb5375:Trae CN.T(2026/4/29 22:23:05),CLOSED,2026-04-29T14:43:27Z,2026-04-29T15:55:04Z,,1.1936,9,2637,0,212,2,1,1
infiniflow/ragflow,14505,.1470523137868652:1f95f3740832b595bfdc611670919fef_69f1fc6d97926bc2c201ed08.69f210ef97926bc2c201ef3f.69f210ee3959940a81ede123:Trae CN.T(2026/4/29 22:08:47),CLOSED,2026-04-29T14:25:06Z,2026-04-29T15:55:09Z,,1.5008,6,2013,133,122,2,1,1
infiniflow/ragflow,14504,Feat: Implement quality analysis funcionality,CLOSED,2026-04-29T14:13:11Z,2026-04-29T15:56:54Z,,1.7286,7,2111,0,408,2,2,1
infiniflow/ragflow,14499,feat(seafile): support deleted-file sync via slim snapshot,MERGED,2026-04-29T13:43:29Z,2026-04-30T04:05:12Z,2026-04-30T04:05:12Z,14.3619,3,141,13,1702,4,2,4
infiniflow/ragflow,14494,.1470523137868652:1724731209a52d5102143eb43f8cf033_69f1f82097926bc2c201ebc0.69f1f8c297926bc2c201ebd4.69f1f8c2003cbdb988349601:Trae CN.T(2026/4/29 20:25:38),CLOSED,2026-04-29T13:05:14Z,2026-04-29T14:16:10Z,,1.1822,3,1241,2,578,2,1,1
