repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
justjavac/free-programming-books-zh_CN,880,[编程艺术] add 重构 改善既有代码的设计,CLOSED,2024-03-20T10:08:18Z,2024-04-07T06:59:02Z,,428.8456,1,2,1,0,7,5,1
justjavac/free-programming-books-zh_CN,849,Linux 设备驱动 (第三版) 链接失效,MERGED,2022-03-22T14:03:29Z,2022-06-13T03:22:07Z,2022-06-13T03:22:07Z,1981.3106,1,1,1,0,5,3,1
justjavac/free-programming-books-zh_CN,848,添加了R语言教程、Python黑魔法手册,MERGED,2022-03-15T10:01:34Z,2022-06-13T03:22:30Z,2022-06-13T03:22:30Z,2153.3489,1,2,0,16,2,0,1
justjavac/free-programming-books-zh_CN,847,通过例子学 Rust 中文版,MERGED,2022-03-04T07:51:11Z,2022-06-13T03:22:46Z,2022-06-13T03:22:46Z,2419.5264,1,1,0,0,2,0,1
justjavac/free-programming-books-zh_CN,846,Update README.md（添加Node相关电子书籍）,MERGED,2022-03-03T12:34:28Z,2022-06-13T03:23:11Z,2022-06-13T03:23:11Z,2438.8119,1,2,0,48,10,8,1
justjavac/free-programming-books-zh_CN,845,add book 《游戏引擎 浅入浅出》,MERGED,2022-02-16T16:11:04Z,2022-06-13T03:25:12Z,2022-06-13T03:25:12Z,2795.2356,1,7,0,0,10,7,3
justjavac/free-programming-books-zh_CN,825,"[Feature](README.md): add ""labuladong 的算法小抄"".",MERGED,2021-01-24T03:59:16Z,2022-06-13T03:20:50Z,2022-06-13T03:20:50Z,12119.3594,1,7,0,80,2,0,1
justjavac/free-programming-books-zh_CN,824,更新《Google Java编程风格指南》的链接,MERGED,2021-01-13T11:28:17Z,2022-06-13T03:20:27Z,2022-06-13T03:20:27Z,12375.8694,1,1,1,0,3,1,1
justjavac/free-programming-books-zh_CN,820,Merge pull request #1 from justjavac/master,CLOSED,2020-11-27T03:40:06Z,2022-06-13T03:19:51Z,,13511.6625,0,0,0,8,4,0,1
justjavac/free-programming-books-zh_CN,814,Add 2 learning resources on Git / Version Control,MERGED,2020-05-19T12:05:28Z,2022-06-13T03:19:40Z,2022-06-13T03:19:40Z,18111.2367,1,2,0,0,3,1,1
justjavac/free-programming-books-zh_CN,813,更新了emacs 相关和 两本thinkphp开发手册,MERGED,2020-05-01T02:28:41Z,2022-06-13T03:19:10Z,2022-06-13T03:19:10Z,18552.8414,1,4,0,101,2,0,1
justjavac/free-programming-books-zh_CN,812,修改“用Python做科学计算”网址,MERGED,2020-04-30T00:42:28Z,2022-06-13T03:18:42Z,2022-06-13T03:18:42Z,18578.6039,1,1,1,148,2,0,1
justjavac/free-programming-books-zh_CN,728,Leetcode-php,MERGED,2019-10-12T10:05:33Z,2020-02-05T02:49:11Z,2020-02-05T02:49:11Z,2776.7272,1,1,0,29,2,2,1
justjavac/free-programming-books-zh_CN,710,fix link: Clojure/Clojure入门教程,MERGED,2019-06-20T15:12:40Z,2020-02-04T12:26:59Z,2020-02-04T12:26:59Z,5493.2386,1,1,1,185,3,1,1
justjavac/free-programming-books-zh_CN,676,新增《Python编程 从入门到实践》（2016版）,CLOSED,2018-11-22T03:40:14Z,2020-02-04T12:25:12Z,,10544.7494,1,3,0,182,3,1,1
justjavac/free-programming-books-zh_CN,669,Update .editorconfig,CLOSED,2018-10-19T12:36:13Z,2018-11-05T09:22:56Z,,404.7786,1,4,0,0,2,0,1
justjavac/free-programming-books-zh_CN,656,Merge pull request #1 from justjavac/master,CLOSED,2018-07-13T08:36:05Z,2020-02-04T12:22:36Z,,13707.7753,0,0,0,13,3,1,1
justjavac/free-programming-books-zh_CN,639,添加电子书“《Real-Time Rendering 3rd》提炼总结”,MERGED,2018-04-23T03:18:02Z,2018-11-05T09:20:57Z,2018-11-05T09:20:57Z,4710.0486,1,1,0,36,3,0,1
justjavac/free-programming-books-zh_CN,637,推荐java编程思想,CLOSED,2018-04-12T13:03:13Z,2018-11-05T07:13:41Z,,4962.1744,1,1,0,53,3,1,1
justjavac/free-programming-books-zh_CN,619,Add vim-galore 中译本和 SpaceVim,CLOSED,2017-12-25T11:33:47Z,2020-04-11T13:36:45Z,,20114.0494,1,2,0,17,5,3,1
justjavac/free-programming-books-zh_CN,610,fix: Android学习之路 url 404,CLOSED,2017-12-03T04:22:04Z,2020-02-04T12:21:58Z,,19039.9983,1,1,1,0,3,0,1
