repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
kubernetes/kubernetes,138786,Update golang.org/x/* dependencies,MERGED,2026-05-05T11:56:01Z,2026-05-05T21:20:30Z,2026-05-05T21:20:30Z,9.4081,66,389,1361,3519,5,5,1
kubernetes/kubernetes,138777,Replace deprecated wait.PollImmediate in test_server.go,MERGED,2026-05-05T02:24:24Z,2026-05-05T21:20:22Z,2026-05-05T21:20:22Z,18.9328,1,1,1,593,3,4,1
kubernetes/kubernetes,138754,Handle opportunistic batching correctly during PodGroup scheduling cycle,MERGED,2026-05-04T13:13:21Z,2026-05-04T16:22:22Z,2026-05-04T16:22:22Z,3.1503,3,46,6,3671,4,6,2
kubernetes/kubernetes,138751,test/e2e_dra improvements,MERGED,2026-05-04T10:56:57Z,2026-05-04T13:00:29Z,2026-05-04T13:00:29Z,2.0589,1,3,6,553,3,7,1
kubernetes/kubernetes,138748,fix a bug with e2e image test pipeline,MERGED,2026-05-03T18:51:58Z,2026-05-03T21:07:37Z,2026-05-03T21:07:37Z,2.2608,2,4,4,3407,3,4,2
kubernetes/kubernetes,138741,bump k8s.io/kube-openapi to v0.0.0-20260502001324-b7f5293f4787,MERGED,2026-05-02T00:53:10Z,2026-05-04T17:20:52Z,2026-05-04T17:20:52Z,64.4617,70,310,155,4468,6,6,2
kubernetes/kubernetes,138727,Fix nil pointer dereference in Windows memory eviction threshold notifier,MERGED,2026-05-01T04:35:51Z,2026-05-04T17:20:44Z,2026-05-04T17:20:44Z,84.7481,1,4,3,1051,5,6,2
kubernetes/kubernetes,138725,DRA: overhaul declarative-validation test coverage,MERGED,2026-04-30T23:13:15Z,2026-05-01T23:51:23Z,2026-05-01T23:51:23Z,24.6356,14,761,25,4657,6,7,5
kubernetes/kubernetes,138720,[WIP] Demo broken DV for aliases,CLOSED,2026-04-30T20:51:30Z,2026-05-05T16:47:44Z,,115.9372,3,297,0,32,2,5,4
kubernetes/kubernetes,138717,DRA upgrade/downgrade: control etcd lifecycle directly,MERGED,2026-04-30T18:58:38Z,2026-05-04T11:49:40Z,2026-05-04T11:49:40Z,88.8506,4,84,70,1403,3,13,1
kubernetes/kubernetes,138715,apiserver/cacher: pre-size result slice in btreeStore.ListPrefix,CLOSED,2026-04-30T15:32:06Z,2026-05-04T14:03:58Z,,94.5311,2,57,1,3587,4,11,5
kubernetes/kubernetes,138711,Drop LogarithmicScaleDown after the feature GA-ed in 1.31,MERGED,2026-04-30T11:57:49Z,2026-05-05T18:04:29Z,2026-05-05T18:04:29Z,126.1111,7,19,63,470,5,7,3
kubernetes/kubernetes,138705,e2e_dra: reliability fixes,MERGED,2026-04-30T07:55:03Z,2026-05-04T09:35:39Z,2026-05-04T09:35:39Z,97.6767,2,14,3,947,3,7,3
kubernetes/kubernetes,138701,apiserver: add feature gate to skip consistent list storage fallback,MERGED,2026-04-30T03:51:06Z,2026-05-04T13:58:23Z,2026-05-04T13:58:23Z,106.1214,6,56,3,1031,8,17,10
kubernetes/kubernetes,138698,Ensure leases are not stale in node controller before marking unhealthy,MERGED,2026-04-30T01:33:06Z,2026-05-05T18:04:22Z,2026-05-05T18:04:22Z,136.5211,7,293,2,3740,5,11,21
kubernetes/kubernetes,138695,Fix gaps in API definition tests,MERGED,2026-04-29T21:40:03Z,2026-05-04T21:48:22Z,2026-05-04T21:48:22Z,120.1386,6,172,124,881,5,6,6
kubernetes/kubernetes,138694,kubectl: set KUBECTL_PATH environment variable during plugin execution,MERGED,2026-04-29T21:39:11Z,2026-05-05T07:32:23Z,2026-05-05T07:32:22Z,129.8864,4,84,2,962,4,8,3
kubernetes/kubernetes,138693,Fixing prune-junit-xml directory walking so labels get applied for Windows too,MERGED,2026-04-29T19:41:18Z,2026-04-30T19:25:33Z,2026-04-30T19:25:32Z,23.7372,2,51,4,3561,5,11,3
kubernetes/kubernetes,138692,kubeadm: skip LocalAPIEndpoint defaulting on worker join,MERGED,2026-04-29T19:24:15Z,2026-05-05T14:24:23Z,2026-05-05T14:24:23Z,139.0022,3,66,9,975,4,10,4
kubernetes/kubernetes,138685,Automated cherry pick of #138449: kubeadm: use the localAPIEndpoint for all API calls in 'init',MERGED,2026-04-29T15:44:03Z,2026-05-05T15:52:24Z,2026-05-05T15:52:24Z,144.1392,8,84,57,735,4,8,2
kubernetes/kubernetes,138683,Automated cherry pick of #138449: kubeadm: use the localAPIEndpoint for all API calls in 'init',MERGED,2026-04-29T15:40:09Z,2026-05-05T15:00:26Z,2026-05-05T15:00:26Z,143.3381,8,83,56,735,4,4,2
kubernetes/kubernetes,138682,Automated cherry pick of #138449: kubeadm: use the localAPIEndpoint for all API calls in 'init',MERGED,2026-04-29T15:35:39Z,2026-05-05T15:04:23Z,2026-05-05T15:04:23Z,143.4789,7,83,56,735,5,4,2
