repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
labuladong/fucking-algorithm,2611,Clarify hash table collision strategies with complexity,MERGED,2026-01-19T03:47:45Z,2026-01-19T09:38:14Z,2026-01-19T09:38:13Z,5.8411,1,4,1,1251,2,0,1
labuladong/fucking-algorithm,2572,Patch 1,MERGED,2025-08-22T18:32:38Z,2025-10-08T04:05:26Z,2025-10-08T04:05:26Z,1113.5467,1,14,14,70,2,0,1
labuladong/fucking-algorithm,1610,Update misplaced bold marker ** and added missing words at some places,MERGED,2024-08-13T16:40:37Z,2025-10-08T04:06:00Z,2025-10-08T04:06:00Z,10091.4231,1,6,6,308,2,0,1
labuladong/fucking-algorithm,1410,[fix][java] generate-parentheses,MERGED,2023-06-04T22:33:47Z,2023-06-09T02:18:29Z,2023-06-09T02:18:29Z,99.745,1,15,16,281,2,0,1
labuladong/fucking-algorithm,1406,[fix][typescript] house-robber-iii,MERGED,2023-05-30T10:25:11Z,2023-06-14T09:46:39Z,2023-06-14T09:46:39Z,359.3578,1,23,19,307,2,3,4
labuladong/fucking-algorithm,1400,fix python solution of problem 8Zf90G,CLOSED,2023-05-17T06:51:18Z,2025-10-08T04:07:38Z,,20997.2722,1,12,6,538,2,0,1
labuladong/fucking-algorithm,1397,[fix][javascript] house-robber-iii,CLOSED,2023-05-16T09:44:35Z,2023-05-30T10:24:22Z,,336.6631,1,70289,70273,307,2,2,1
labuladong/fucking-algorithm,1394,[fix][java]perfect-squares,MERGED,2023-04-26T06:31:47Z,2023-05-17T02:25:40Z,2023-05-17T02:25:40Z,499.8981,1,3,2,292,2,0,1
labuladong/fucking-algorithm,1391,pop函数修改,MERGED,2023-04-24T08:11:40Z,2023-05-17T02:28:26Z,2023-05-17T02:28:26Z,546.2794,1,3,1,191,2,0,1
labuladong/fucking-algorithm,1388,[fix][cpp] rotate-image,MERGED,2023-04-11T09:20:23Z,2023-04-13T02:09:53Z,2023-04-13T02:09:53Z,40.825,1,1,1,373,2,0,1
labuladong/fucking-algorithm,1387,[fix][cpp] sort-characters-by-frequency,MERGED,2023-04-04T07:20:57Z,2023-04-10T01:34:44Z,2023-04-10T01:34:44Z,138.2297,1,11,12,570,2,0,1
labuladong/fucking-algorithm,1385,[fix][cpp] ba-zi-fu-chuan-zhuan-huan-cheng-zheng-shu-lcof,MERGED,2023-04-02T07:05:26Z,2023-04-02T10:19:38Z,2023-04-02T10:19:38Z,3.2367,1,1,1,556,2,0,1
labuladong/fucking-algorithm,1383,[bug][cpp] qn8gGX,MERGED,2023-03-30T08:32:43Z,2023-04-02T10:18:14Z,2023-04-02T10:18:13Z,73.7583,1,4,1,324,2,0,1
labuladong/fucking-algorithm,1382,[fix][cpp] qing-wa-tiao-tai-jie-wen-ti-lcof,MERGED,2023-03-29T18:57:44Z,2023-04-02T10:16:02Z,2023-04-02T10:16:02Z,87.305,1,7,3,549,2,0,1
labuladong/fucking-algorithm,1378,[fix][cpp] xu-lie-hua-er-cha-shu-lcof,MERGED,2023-03-27T03:05:42Z,2023-03-28T01:31:10Z,2023-03-28T01:31:10Z,22.4244,1,3,3,545,2,0,1
labuladong/fucking-algorithm,1374,[fix][cpp] edit-distance,MERGED,2023-03-26T21:31:39Z,2023-03-27T00:28:49Z,2023-03-27T00:28:49Z,2.9528,1,3,3,530,2,0,1
labuladong/fucking-algorithm,1372,[fix][Python] qing-wa-tiao-tai-jie-wen-ti-lcof,MERGED,2023-03-26T17:49:32Z,2023-03-26T23:11:36Z,2023-03-26T23:11:36Z,5.3678,1,3,3,505,2,0,1
labuladong/fucking-algorithm,1107,Fixing typo,MERGED,2023-02-27T01:45:12Z,2023-03-26T06:16:36Z,2023-03-26T06:16:36Z,652.5233,1,1,1,0,2,0,1
labuladong/fucking-algorithm,1087,typo fixes to SUMMARY.md,MERGED,2022-09-20T17:52:55Z,2023-03-26T06:19:10Z,2023-03-26T06:19:10Z,4476.4375,1,7,7,0,2,0,1
labuladong/fucking-algorithm,980,Fix some grammar mistakes,MERGED,2022-09-03T16:38:40Z,2022-09-06T12:51:20Z,2022-09-06T12:51:20Z,68.2111,1,30,30,0,2,0,1
