repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
lobehub/lobehub,14433,✨ feat(hetero-agent): support multimodal input (text + images) across CLI / shared spawn / desktop,MERGED,2026-05-05T03:27:37Z,2026-05-05T15:06:52Z,2026-05-05T15:06:52Z,11.6542,22,1234,248,5079,1,2,2
lobehub/lobehub,14425,♻️ refactor(hetero-agent): extract producer pipeline into shared package,MERGED,2026-05-04T15:55:30Z,2026-05-04T17:04:10Z,2026-05-04T17:04:10Z,1.1444,23,1140,674,3208,1,4,2
lobehub/lobehub,14423,"✨ feat: devtools gallery rebuild, Review polish, queue-tray images",MERGED,2026-05-04T13:27:40Z,2026-05-04T15:12:59Z,2026-05-04T15:12:59Z,1.7553,47,2710,1647,8790,1,2,2
lobehub/lobehub,14420,💄 style(builtin-tools): add UI render for github marketplace tool,MERGED,2026-05-04T11:04:10Z,2026-05-04T12:28:47Z,2026-05-04T12:28:47Z,1.4103,15,464,1,2633,1,2,2
lobehub/lobehub,14415,🐛 fix(security): add max pagination limits to tRPC endpoints,MERGED,2026-05-04T09:45:35Z,2026-05-04T10:53:29Z,2026-05-04T10:53:28Z,1.1314,6,9,26,1823,1,2,1
lobehub/lobehub,14410,🌐 chore: translate non-English comments to English in brief-types and conversation,MERGED,2026-05-04T03:18:47Z,2026-05-05T04:23:26Z,2026-05-05T04:23:26Z,25.0775,4,8,8,1031,2,2,2
lobehub/lobehub,14399,🐛 fix: track visual analysis trigger,MERGED,2026-05-03T09:37:30Z,2026-05-04T15:52:50Z,2026-05-04T15:52:50Z,30.2556,11,68,26,1011,1,2,1
lobehub/lobehub,14398,🐛 fix: handle Claude assistant prefill errors,MERGED,2026-05-03T09:11:53Z,2026-05-04T15:28:27Z,2026-05-04T15:28:27Z,30.2761,7,83,4,1180,1,2,3
lobehub/lobehub,14397,"♻️ refactor(server,prompts,builtin-tool-skill-maintainer): correct context passing, skill format, chained",MERGED,2026-05-03T08:37:18Z,2026-05-03T15:30:44Z,2026-05-03T15:30:44Z,6.8906,60,3841,926,1017,1,2,2
lobehub/lobehub,14393,🤖 style: update i18n,CLOSED,2026-05-03T00:34:49Z,2026-05-05T04:23:41Z,,51.8144,90,857,57,355,3,2,1
lobehub/lobehub,14391,✨ feat: show original pricing and prioritize DeepSeek,MERGED,2026-05-02T16:01:03Z,2026-05-02T17:27:53Z,2026-05-02T17:27:53Z,1.4472,8,233,47,1067,1,2,1
lobehub/lobehub,14388,[Localization] Add Hindi (hi-IN) locale support,CLOSED,2026-05-02T13:05:32Z,2026-05-04T10:41:13Z,,45.5947,45,9724,0,1077,2,4,2
lobehub/lobehub,14383,🤖 style: update i18n,MERGED,2026-05-02T00:37:06Z,2026-05-02T17:07:03Z,2026-05-02T17:07:03Z,16.4992,140,410,410,355,3,2,2
lobehub/lobehub,14382,💄 style: add `grok-4.3` for xAI,MERGED,2026-05-01T22:38:46Z,2026-05-05T04:24:44Z,2026-05-05T04:24:44Z,77.7661,3,57,80,1962,3,4,1
lobehub/lobehub,14381,"feat(thread): add ""Open in Portal"" to sidebar thread dropdown menu",CLOSED,2026-05-01T18:43:05Z,2026-05-04T10:41:16Z,,63.9697,3,18,5,1530,2,2,3
lobehub/lobehub,14379,✨ feat: support model defaults and DeepSeek pricing,MERGED,2026-05-01T10:38:58Z,2026-05-02T15:21:10Z,2026-05-02T15:21:10Z,28.7033,9,185,20,1319,1,2,1
lobehub/lobehub,14378,✨ feat: add visual understanding tool,MERGED,2026-05-01T10:31:57Z,2026-05-02T14:18:50Z,2026-05-02T14:18:50Z,27.7814,87,3549,238,4022,1,3,4
lobehub/lobehub,14368,🐛 fix: Docker build compatibility with pnpm v11 global virtual store,CLOSED,2026-05-01T05:26:21Z,2026-05-01T06:37:52Z,,1.1919,5,69,15,1001,2,3,3
lobehub/lobehub,14367,💄 style(taskDetail): force daily briefs for scheduled tasks; switch activity timestamps to absolute date,MERGED,2026-05-01T04:35:56Z,2026-05-01T07:37:15Z,2026-05-01T07:37:15Z,3.0219,27,847,274,2738,1,2,3
lobehub/lobehub,14366,🐛 fix(space): show document update time,MERGED,2026-05-01T03:56:14Z,2026-05-05T06:32:33Z,2026-05-05T06:32:33Z,98.6053,5,18,4,1347,2,2,1
lobehub/lobehub,14364,"♻️ refactor(local-system,cloud-sandbox): drop ""Local"" prefix from tool names",MERGED,2026-05-01T02:55:18Z,2026-05-04T15:19:29Z,2026-05-04T15:19:29Z,84.4031,30,363,303,2464,1,2,2
lobehub/lobehub,14358,"🐛 fix(local-system): tokenize mdfind keywords, scope glob to home, align tool prompts",MERGED,2026-04-30T17:14:12Z,2026-04-30T18:19:32Z,2026-04-30T18:19:32Z,1.0889,14,348,71,1965,1,2,2
lobehub/lobehub,14357,👷 build: disable pnpm gvs for desktop ci,MERGED,2026-04-30T17:09:32Z,2026-05-01T05:17:21Z,2026-05-01T05:17:21Z,12.1303,6,53,10,934,1,3,1
lobehub/lobehub,14356,👷 build: disable pnpm gvs for desktop ci,CLOSED,2026-04-30T15:34:00Z,2026-04-30T17:09:39Z,,1.5942,5,14,6,524,1,3,1
lobehub/lobehub,14355,🐛 fix(local-system): forward all search params and guard empty mdfind,MERGED,2026-04-30T14:51:52Z,2026-04-30T16:22:15Z,2026-04-30T16:22:15Z,1.5064,21,129,33,1955,1,2,1
lobehub/lobehub,14354,👷 build(database): add `metadata` and `trigger` to `briefs` table,MERGED,2026-04-30T14:17:31Z,2026-05-01T07:47:03Z,2026-05-01T07:47:03Z,17.4922,6,14867,1,1668,3,2,3
lobehub/lobehub,14350,✨ feat(followUpAction): add quick-reply chips below assistant messages,MERGED,2026-04-30T10:47:13Z,2026-04-30T17:20:45Z,2026-04-30T17:20:45Z,6.5589,72,1899,506,4940,1,2,2
lobehub/lobehub,14348,🐛 fix(brief): keep recurring tasks active when resolving their result briefs,MERGED,2026-04-30T09:34:38Z,2026-04-30T17:26:03Z,2026-04-30T17:26:03Z,7.8569,10,142,17,2713,1,2,1
lobehub/lobehub,14347,💄 style(brief): use Footprints icon and hide view-run until card hover,MERGED,2026-04-30T09:24:56Z,2026-04-30T16:34:01Z,2026-04-30T16:34:01Z,7.1514,2,7,4,885,1,2,2
lobehub/lobehub,14346,🐛 fix: handle auth captcha retries,MERGED,2026-04-30T09:22:56Z,2026-05-01T10:27:05Z,2026-05-01T10:27:04Z,25.0689,15,236,37,1556,1,2,1
lobehub/lobehub,14345,🐛 fix(skill): skip OAuth redirectUri on desktop to prevent broken app,MERGED,2026-04-30T09:11:39Z,2026-05-01T05:00:56Z,2026-05-01T05:00:56Z,19.8214,5,22,6,1314,1,2,1
lobehub/lobehub,14342,🐛 fix: inject skill instruction into tool system role,MERGED,2026-04-30T07:24:43Z,2026-04-30T09:06:28Z,2026-04-30T09:06:28Z,1.6958,3,4,3,1244,1,2,1
lobehub/lobehub,14340,💄 style(brief): open run topic drawer from daily brief card,MERGED,2026-04-30T06:03:37Z,2026-04-30T07:47:25Z,2026-04-30T07:47:25Z,1.73,10,96,11,1934,1,2,1
lobehub/lobehub,14339,💄 style(brief): show artifacts in card and extract DocumentModal,MERGED,2026-04-30T05:31:28Z,2026-04-30T06:34:19Z,2026-04-30T06:34:19Z,1.0475,29,384,131,1956,1,2,2
lobehub/lobehub,14338,"⚡️ perf(agent,working-sidebar): cut Review tab open latency ~9× on large dirty trees",MERGED,2026-04-30T05:28:21Z,2026-04-30T07:46:10Z,2026-04-30T07:46:10Z,2.2969,3,566,103,1865,1,2,2
lobehub/lobehub,14330,🤖 style: update i18n,MERGED,2026-04-30T00:36:35Z,2026-04-30T02:17:42Z,2026-04-30T02:17:42Z,1.6853,70,448,86,355,3,2,1
lobehub/lobehub,14327,🐛 fix: fix PDF chunking logic to prevent vectorization failure,MERGED,2026-04-29T22:44:47Z,2026-04-30T05:55:37Z,2026-04-30T05:55:36Z,7.1803,2,20,11,1842,3,4,1
lobehub/lobehub,14323,💄 style(task): add start-scheduling button in automation popover,MERGED,2026-04-29T16:05:13Z,2026-04-30T02:03:53Z,2026-04-30T02:03:52Z,9.9775,4,37,1,658,1,2,2
lobehub/lobehub,14322,🐛 fix(server): prefer to use tool call id first,MERGED,2026-04-29T15:53:27Z,2026-04-29T21:07:51Z,2026-04-29T21:07:51Z,5.24,2,61,2,1017,1,2,1
lobehub/lobehub,14321,🐛 fix: restore task agent panel toggle,MERGED,2026-04-29T15:45:53Z,2026-04-29T16:46:28Z,2026-04-29T16:46:28Z,1.0097,5,182,5,962,1,2,3
lobehub/lobehub,14319,合并,CLOSED,2026-04-29T14:39:14Z,2026-04-29T17:07:10Z,,2.4656,32,1482,360,1017,3,2,2
lobehub/lobehub,14317,🚀 release: sync main branch to canary,MERGED,2026-04-29T14:08:14Z,2026-04-30T05:08:40Z,2026-04-30T05:08:39Z,15.0069,12,610,55,371,3,2,2
