repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
louislam/uptime-kuma,7345,chore: update to 2.3.1,MERGED,2026-05-03T12:13:18Z,2026-05-03T13:37:30Z,2026-05-03T13:37:30Z,1.4033,2,4,4,1864,2,0,1
louislam/uptime-kuma,7323,fix(database): ensure heartbeat indexes exist on legacy installs,CLOSED,2026-04-27T14:54:00Z,2026-04-27T16:40:04Z,,1.7678,1,20,0,2940,3,7,12
louislam/uptime-kuma,7312,fix(database): add `UPTIME_KUMA_SQLITE_SINGLE_CONNECTION`,MERGED,2026-04-24T16:11:16Z,2026-04-26T15:49:53Z,2026-04-26T15:49:53Z,47.6436,1,19,4,2452,3,2,2
louislam/uptime-kuma,7304,feat: websocket improve to fix issue #7268 including support authentication,MERGED,2026-04-20T15:23:12Z,2026-04-21T11:15:07Z,2026-04-21T11:15:07Z,19.8653,4,314,25,1748,2,2,3
louislam/uptime-kuma,7303,feat(ui): add a helptext that RTT for the ping monitor is not avaliable on linux,MERGED,2026-04-20T11:02:58Z,2026-04-28T14:42:30Z,2026-04-28T14:42:30Z,195.6589,2,7,0,1341,3,2,3
louislam/uptime-kuma,7295,feat: Decouple Clear All Events from heartbeat msg deletion (#7293),CLOSED,2026-04-19T21:17:32Z,2026-04-20T06:06:55Z,,8.8231,4,158,16,2986,4,4,1
louislam/uptime-kuma,7235,fix(uptime): ensure correct handling of missing time buckets in uptime calculations,MERGED,2026-04-01T08:39:38Z,2026-04-10T14:22:02Z,2026-04-10T14:22:02Z,221.7067,2,84,8,1809,4,6,1
louislam/uptime-kuma,7227,feat: add downtime duration to all recovery notifications,CLOSED,2026-03-31T01:06:47Z,2026-03-31T10:07:48Z,,9.0169,4,36,58,3032,3,1,1
louislam/uptime-kuma,7207,feat(notification): add custom message template support for Evolution provider,MERGED,2026-03-26T14:37:24Z,2026-03-27T19:57:18Z,2026-03-27T19:57:18Z,29.3317,3,36,2,2714,3,0,7
louislam/uptime-kuma,7201,feat: add Telnyx messaging provider,MERGED,2026-03-26T01:20:51Z,2026-03-26T20:06:16Z,2026-03-26T20:06:16Z,18.7569,6,121,0,1133,3,7,3
louislam/uptime-kuma,7195,chore: Update dependencies,MERGED,2026-03-25T00:08:53Z,2026-04-26T15:51:55Z,2026-04-26T15:51:55Z,783.7172,1,916,821,0,1,0,2
louislam/uptime-kuma,7194,"fix: Revert ""add sorting to status pages""",MERGED,2026-03-24T14:11:12Z,2026-03-24T18:10:30Z,2026-03-24T18:10:30Z,3.9883,3,19,561,1804,3,1,1
louislam/uptime-kuma,7177,fix(webhook): escape multiline msg in custom JSON body templates,CLOSED,2026-03-20T04:12:04Z,2026-03-20T14:49:33Z,,10.6247,1,28,1,2471,2,2,2
louislam/uptime-kuma,7166,fix: Handle SSL in setup database temp server,MERGED,2026-03-19T00:34:33Z,2026-03-24T18:37:20Z,2026-03-24T18:37:19Z,138.0461,3,76,17,2124,2,0,1
louislam/uptime-kuma,7160,feat: Add MAX messenger notification provider,MERGED,2026-03-17T06:47:02Z,2026-03-18T16:33:02Z,2026-03-18T16:33:02Z,33.7667,6,141,0,3175,2,0,4
louislam/uptime-kuma,7159,fix: monitor graph gaps for sub-millisecond TCP pings,MERGED,2026-03-16T21:55:35Z,2026-03-16T22:57:04Z,2026-03-16T22:57:04Z,1.0247,2,53,3,2220,3,1,2
louislam/uptime-kuma,7156,feat: add OracleDB monitor,MERGED,2026-03-16T10:00:03Z,2026-03-18T11:04:13Z,2026-03-18T11:04:13Z,49.0694,8,484,16,1542,4,5,17
louislam/uptime-kuma,7154,feat: add collapsible groups to status page,MERGED,2026-03-16T04:04:35Z,2026-03-18T17:41:57Z,2026-03-18T17:41:57Z,61.6228,1,168,91,3022,4,5,12
louislam/uptime-kuma,7153,feat: add REST API bridge for Socket.IO events,CLOSED,2026-03-15T23:09:47Z,2026-03-19T09:26:01Z,,82.2706,8,1078,3,2660,4,2,12
