repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
microsoft/PowerToys,47615,feat(macro): add Macro utility — hotkey-triggered keyboard macro sequences,CLOSED,2026-05-03T12:39:12Z,2026-05-03T16:45:22Z,,4.1028,69,4035,0,2650,3,2,1
microsoft/PowerToys,47529,Add ZoomIt webcam and append clip functionality,MERGED,2026-04-30T21:10:12Z,2026-05-05T21:52:43Z,2026-05-05T21:52:43Z,120.7086,24,4235,194,2450,5,3,5
microsoft/PowerToys,47517,[Deps] Upgrade .NET Runtime package versions to 10.0.7,MERGED,2026-04-30T16:30:45Z,2026-05-01T22:07:33Z,2026-05-01T22:07:33Z,29.6133,1,23,23,1911,3,3,2
microsoft/PowerToys,47500,"feat(macro): add Macro module — settings UI, engine, hotkey dispatch",CLOSED,2026-04-30T13:14:35Z,2026-05-03T09:50:23Z,,68.5967,67,3963,0,3390,3,9,3
microsoft/PowerToys,47462,build: discover VS 2026 Insiders and exclude BuildTools in vswhere lookup,MERGED,2026-04-30T00:04:34Z,2026-04-30T06:55:44Z,2026-04-30T06:55:44Z,6.8528,1,53,7,5734,3,0,4
microsoft/PowerToys,47432,Revise download instructions and release notes link,MERGED,2026-04-29T14:22:16Z,2026-04-30T15:30:37Z,2026-04-30T15:30:37Z,25.1392,1,2,16,1887,2,0,1
microsoft/PowerToys,47326,Replay both key down and up for Win in GrabAndMove,MERGED,2026-04-28T23:38:51Z,2026-04-29T04:04:21Z,2026-04-29T04:04:21Z,4.425,1,15,12,2266,2,1,1
microsoft/PowerToys,47321,"[PowerDisplay] Use localized ""Built-in Display"" name for internal display",MERGED,2026-04-28T22:32:49Z,2026-04-29T05:34:34Z,2026-04-29T05:34:34Z,7.0292,4,13,94,1908,3,3,3
microsoft/PowerToys,47317,CmdPal: Fix a bug where dock label settings wouldn't save,MERGED,2026-04-28T21:51:40Z,2026-04-29T03:12:44Z,2026-04-29T03:12:44Z,5.3511,4,3,53,381,2,1,1
microsoft/PowerToys,47303,[PowerDisplay] Default-off and confirm dialog for InputSource/ColorTemp/PowerState,MERGED,2026-04-28T17:26:12Z,2026-04-29T05:35:13Z,2026-04-29T05:35:13Z,12.1503,5,106,28,2966,4,5,4
microsoft/PowerToys,47302,Skip desktop / explorer targets in GrabAndMove,MERGED,2026-04-28T17:24:24Z,2026-04-29T03:05:55Z,2026-04-29T03:05:55Z,9.6919,3,108,3,2119,5,6,5
microsoft/PowerToys,47296,cmdpal: fix our settings load crash,MERGED,2026-04-28T16:06:31Z,2026-04-28T17:24:28Z,2026-04-28T17:24:28Z,1.2992,6,101,19,628,3,1,1
microsoft/PowerToys,47261,Release Alt key on other press,MERGED,2026-04-28T08:51:32Z,2026-04-28T15:40:01Z,2026-04-28T15:40:01Z,6.8081,1,1,0,2120,2,1,1
microsoft/PowerToys,47252,CmdPal: Guard against null DockSettings in ThemeService.Reload,CLOSED,2026-04-28T07:24:44Z,2026-04-28T14:32:01Z,,7.1214,1,4,2,2890,2,1,1
microsoft/PowerToys,47251,CmdPal: Fix NullReferenceException on startup loading built-in providers,CLOSED,2026-04-28T07:21:37Z,2026-04-28T14:32:11Z,,7.1761,2,17,5,4318,3,2,2
microsoft/PowerToys,47227,Update README for PowerToys v0.99.0 release,MERGED,2026-04-26T17:05:59Z,2026-04-28T06:01:18Z,2026-04-28T06:01:18Z,36.9219,2,11,11,1811,5,2,3
microsoft/PowerToys,47215,Avoid MessageBox in ZoomIt in PowerToys,MERGED,2026-04-25T16:55:39Z,2026-04-25T19:23:22Z,2026-04-25T19:23:22Z,2.4619,1,36,9,2386,2,1,1
microsoft/PowerToys,47213,[Grab And Move] Add touchpad compatibility InfoBar to settings page,MERGED,2026-04-25T15:04:39Z,2026-04-25T19:25:11Z,2026-04-25T19:25:11Z,4.3422,3,17,0,828,4,3,3
microsoft/PowerToys,47212,Handle DockSize enum changes,MERGED,2026-04-25T14:59:21Z,2026-04-26T11:35:47Z,2026-04-26T11:35:47Z,20.6072,1,41,0,983,2,1,1
microsoft/PowerToys,47206,chore: add .editorconfig for consistent code formatting,CLOSED,2026-04-25T02:43:34Z,2026-04-28T22:01:37Z,,91.3008,10,576,21,87,3,4,2
microsoft/PowerToys,47198,Fix for mouse jump crash,MERGED,2026-04-24T10:50:27Z,2026-04-24T14:31:17Z,2026-04-24T14:31:17Z,3.6806,1,9,0,1809,2,1,1
microsoft/PowerToys,47197,Settings UX tweaks,MERGED,2026-04-24T10:27:03Z,2026-04-24T14:32:20Z,2026-04-24T14:32:20Z,4.0881,4,64,44,2387,2,1,1
microsoft/PowerToys,47196,Add CmdPal folder to installer,MERGED,2026-04-24T08:58:23Z,2026-04-24T14:31:45Z,2026-04-24T14:31:45Z,5.5561,2,12,0,1809,2,3,1
microsoft/PowerToys,47190,[Light Switch] Fix PowerDisplay profile integration,MERGED,2026-04-24T00:14:11Z,2026-04-24T02:55:45Z,2026-04-24T02:55:45Z,2.6928,2,12,15,2504,3,2,1
microsoft/PowerToys,47187,cmdpal: fix the dock window border being visible on startup,MERGED,2026-04-23T16:04:18Z,2026-04-23T19:06:22Z,2026-04-23T19:06:22Z,3.0344,1,10,2,288,4,2,2
microsoft/PowerToys,47186,CmdPal: Fix crash when typing w/ indexer fallback on,MERGED,2026-04-23T15:58:23Z,2026-04-23T19:13:12Z,2026-04-23T19:13:12Z,3.2469,2,13,9,194,5,4,4
microsoft/PowerToys,47181,bump cmdpal to 0.10,MERGED,2026-04-23T11:38:58Z,2026-04-23T17:37:35Z,2026-04-23T17:37:35Z,5.9769,1,1,1,5,4,1,1
microsoft/PowerToys,47178,[Settings] Make GrabAndMove strings modifier-agnostic,MERGED,2026-04-23T05:21:22Z,2026-04-23T06:54:15Z,2026-04-23T06:54:15Z,1.5481,1,7,7,2620,4,2,5
