repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
microsoft/generative-ai-for-beginners,1200,chore(deps): bump python-dotenv from 1.0.1 to 1.2.2 in /06-text-generation-apps/python,MERGED,2026-04-21T19:44:48Z,2026-04-26T18:37:27Z,2026-04-26T18:37:27Z,118.8775,1,1,1,12402,2,1,1
microsoft/generative-ai-for-beginners,1156,test,CLOSED,2026-03-10T07:03:46Z,2026-04-18T08:55:03Z,,937.8547,1,1,0,4,3,2,1
microsoft/generative-ai-for-beginners,1152,Me,CLOSED,2026-03-06T22:26:31Z,2026-04-20T11:45:28Z,,1069.3158,21,1667,43,0,6,1,10
microsoft/generative-ai-for-beginners,1151,chore(i18n): sync translations with latest source changes,MERGED,2026-03-06T10:24:26Z,2026-03-27T18:07:44Z,2026-03-27T18:07:44Z,511.7217,378,20915,19858,2333,5,3,7
microsoft/generative-ai-for-beginners,1148,docs: add lesson audio overview via NotebookLM,CLOSED,2026-03-06T05:30:58Z,2026-03-06T10:24:40Z,,4.895,1,8,1,260,4,3,1
microsoft/generative-ai-for-beginners,1115,chore: fix typos in GitHub Actions workflow files,MERGED,2026-02-15T00:44:03Z,2026-02-16T12:12:15Z,2026-02-16T12:12:15Z,35.47,2,3,3,443,2,1,1
microsoft/generative-ai-for-beginners,1114,"fix: repair broken markdown links in Lessons 14, 17, and 18",MERGED,2026-02-15T00:42:42Z,2026-02-16T12:11:43Z,2026-02-16T12:11:43Z,35.4836,3,12,12,685,2,1,1
microsoft/generative-ai-for-beginners,1113,"docs: fix typos, grammar, and code bugs in Lessons 19-21",MERGED,2026-02-15T00:40:51Z,2026-02-16T12:10:42Z,2026-02-16T12:10:42Z,35.4975,3,37,38,1029,2,1,1
microsoft/generative-ai-for-beginners,1112,Update Co-op Translator disclaimer in Japanese README,MERGED,2026-02-14T15:45:37Z,2026-02-16T12:09:54Z,2026-02-16T12:09:54Z,44.4047,1,2,2,308,2,1,1
microsoft/generative-ai-for-beginners,1101,Fix link to sandbox section in the lecture,MERGED,2026-02-05T11:34:01Z,2026-02-16T12:05:42Z,2026-02-16T12:05:42Z,264.5281,1,2,1,0,4,1,3
microsoft/generative-ai-for-beginners,1099,docs: fix grammar in Lesson 00 setup instructions,MERGED,2026-02-04T12:18:13Z,2026-02-06T07:30:53Z,2026-02-06T07:30:53Z,43.2111,1,1,1,358,3,1,1
microsoft/generative-ai-for-beginners,1090,chore(deps): bump pandas from 2.3.3 to 3.0.0,MERGED,2026-01-26T03:43:47Z,2026-01-28T08:28:27Z,2026-01-28T08:28:27Z,52.7444,1,1,1,7688,2,1,1
microsoft/generative-ai-for-beginners,1089,chore(deps-dev): bump @types/node from 25.0.6 to 25.0.10,MERGED,2026-01-26T03:42:57Z,2026-01-28T08:29:05Z,2026-01-28T08:29:05Z,52.7689,2,5,5,2258,2,1,1
microsoft/generative-ai-for-beginners,1087,chore: Update outdated GitHub Actions version,MERGED,2026-01-23T08:29:00Z,2026-01-28T08:43:56Z,2026-01-28T08:43:56Z,120.2489,1,5,5,144,4,1,2
microsoft/generative-ai-for-beginners,1086,chore(deps-dev): bump lodash from 4.17.21 to 4.17.23,MERGED,2026-01-22T13:40:13Z,2026-01-28T08:30:12Z,2026-01-28T08:30:12Z,138.8331,1,5,4,4727,2,1,1
microsoft/generative-ai-for-beginners,1085,"Code review, standards compliance, and feature improvements",MERGED,2026-01-21T10:02:12Z,2026-02-16T12:04:51Z,2026-02-16T12:04:51Z,626.0442,20,1576,52,1581,3,1,1
microsoft/generative-ai-for-beginners,1084,Fix Issue #1060: Update RAG notebook and dependencies for OpenAI v1.0…,MERGED,2026-01-20T14:08:27Z,2026-02-16T12:02:10Z,2026-02-16T12:02:10Z,645.8953,1,3,2,432,3,1,1
microsoft/generative-ai-for-beginners,1082,chore(i18n): sync translations with latest source changes,MERGED,2026-01-18T16:43:51Z,2026-01-28T08:31:02Z,2026-01-28T08:31:02Z,231.7864,111,10311,9761,121,3,2,1
microsoft/generative-ai-for-beginners,1080,Create python-package-conda.yml,CLOSED,2026-01-15T23:41:49Z,2026-02-05T12:22:31Z,,492.6783,1,34,0,0,3,2,1
microsoft/generative-ai-for-beginners,1079,fix: upgrade openai from 4.10.0 to 4.104.0,CLOSED,2026-01-13T01:18:00Z,2026-02-06T07:29:27Z,,582.1908,2,48,57,270,5,2,1
