repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
microsoft/playwright,40646,feat(firefox): roll to r1520,MERGED,2026-05-05T19:07:05Z,2026-05-05T22:31:10Z,2026-05-05T22:31:10Z,3.4014,3,6,6,0,1,4,1
microsoft/playwright,40643,fix(expect): cap retry backoff so assertions don't miss the final check,MERGED,2026-05-05T18:04:31Z,2026-05-05T19:11:10Z,2026-05-05T19:11:10Z,1.1108,2,25,5,173,2,2,2
microsoft/playwright,40640,fix(har): preserve cookie values containing '=' in API request HAR recording,MERGED,2026-05-05T14:23:51Z,2026-05-05T21:00:09Z,2026-05-05T21:00:09Z,6.605,2,16,1,389,2,3,1
microsoft/playwright,40637,fix(runner): force-kill worker that hangs on stop,MERGED,2026-05-05T13:49:59Z,2026-05-05T17:30:22Z,2026-05-05T17:30:22Z,3.6731,3,53,3,408,2,2,1
microsoft/playwright,40635,fix(test): support test_debug for manually created contexts,MERGED,2026-05-05T11:56:52Z,2026-05-05T17:31:02Z,2026-05-05T17:31:02Z,5.5694,5,89,21,334,2,2,1
microsoft/playwright,40634,feat(firefox-beta): roll to r1512,MERGED,2026-05-05T11:51:03Z,2026-05-05T17:24:46Z,2026-05-05T17:24:46Z,5.5619,1,2,2,0,1,4,1
microsoft/playwright,40631,test: regression test for #40562,MERGED,2026-05-05T11:08:51Z,2026-05-05T17:26:32Z,2026-05-05T17:26:32Z,6.2947,1,34,0,53,2,2,1
microsoft/playwright,40629,test: add a regression test for pointer media queries,MERGED,2026-05-05T09:28:00Z,2026-05-05T10:30:21Z,2026-05-05T10:30:21Z,1.0392,1,6,0,53,2,2,1
microsoft/playwright,40627,fix(dashboard): omnibox URL bar doesn't accept typing in interactive mode,MERGED,2026-05-05T08:27:08Z,2026-05-05T17:33:08Z,2026-05-05T17:33:08Z,9.1,2,29,2,5095,4,4,2
microsoft/playwright,40626,fix(dashboard): close server in singleton handler on shutdown,MERGED,2026-05-05T07:48:54Z,2026-05-05T09:56:52Z,2026-05-05T09:56:52Z,2.1328,1,4,1,1569,2,4,1
microsoft/playwright,40620,"Revert ""feat(firefox): roll to r1518""",CLOSED,2026-05-04T23:52:02Z,2026-05-05T17:33:43Z,,17.6947,2,1,2,1708,2,2,1
microsoft/playwright,40618,feat(webkit): roll to r2287,MERGED,2026-05-04T23:24:50Z,2026-05-05T17:28:01Z,2026-05-05T17:28:01Z,18.0531,1,1,1,0,1,4,1
microsoft/playwright,40617,fix(mcp): recover from page renderer crash,MERGED,2026-05-04T23:19:58Z,2026-05-05T01:02:30Z,2026-05-05T01:02:30Z,1.7089,4,115,8,375,2,1,1
microsoft/playwright,40616,fix(har): stream HAR to disk to support files >512MB,MERGED,2026-05-04T23:01:05Z,2026-05-05T04:52:08Z,2026-05-05T04:52:08Z,5.8508,3,78,52,588,3,6,1
microsoft/playwright,40615,fix(cli): make install-deps --dry-run report missing packages,MERGED,2026-05-04T22:30:03Z,2026-05-04T23:38:43Z,2026-05-04T23:38:43Z,1.1444,3,35,9,0,2,2,1
microsoft/playwright,40614,fix(routing): throw on unbalanced braces in route glob patterns,MERGED,2026-05-04T22:06:20Z,2026-05-04T23:38:59Z,2026-05-04T23:38:59Z,1.5442,3,31,1,1117,3,0,2
microsoft/playwright,40613,feat(electron): add timeout option to electronApp.close() for force-kill escalation,MERGED,2026-05-04T21:50:11Z,2026-05-04T23:39:12Z,2026-05-04T23:39:12Z,1.8169,6,90,5,4288,3,0,2
