repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
microsoft/vscode,314553,Add Cmd+Shift+A keybinding to switch between VS Code and Agents window,MERGED,2026-05-05T21:45:01Z,2026-05-05T23:15:35Z,2026-05-05T23:15:35Z,1.5094,7,87,25,552,3,1,2
microsoft/vscode,314551,sessions: remove theme step from welcome flow and update title,MERGED,2026-05-05T21:40:09Z,2026-05-05T23:01:23Z,2026-05-05T23:01:23Z,1.3539,2,9,231,1214,3,1,2
microsoft/vscode,314548,chat: gate aiCustomization sync event subscriptions when itemProvider is present,MERGED,2026-05-05T21:31:37Z,2026-05-05T23:01:31Z,2026-05-05T23:01:31Z,1.4983,2,83,5,1447,3,1,2
microsoft/vscode,314525,Compress tool output to reduce token usage,MERGED,2026-05-05T19:42:16Z,2026-05-05T21:31:35Z,2026-05-05T21:31:35Z,1.8219,11,930,0,2564,7,8,4
microsoft/vscode,314480,"Include All-Interfaces links (0.0.0.0, [::], [0:0:0:0:0:0:0:0]) in integrated browser localhost targets",MERGED,2026-05-05T18:40:47Z,2026-05-05T19:40:50Z,2026-05-05T19:40:50Z,1.0008,4,47,9,212,3,2,5
microsoft/vscode,314461,subtype name change so it doesn't get redacted,MERGED,2026-05-05T18:36:10Z,2026-05-05T22:07:32Z,2026-05-05T22:07:32Z,3.5228,2,2,2,495,3,1,2
microsoft/vscode,314425,Remove 'Del' button from session history window,MERGED,2026-05-05T17:23:16Z,2026-05-05T18:23:51Z,2026-05-05T18:23:51Z,1.0097,2,1,46,159,5,1,3
microsoft/vscode,314422,Remove 'Del' button from session history window,MERGED,2026-05-05T16:57:31Z,2026-05-05T18:26:00Z,2026-05-05T18:25:59Z,1.4744,2,1,46,47,3,0,2
microsoft/vscode,314416,chat: gate structured customization preview behind a setting (default off),MERGED,2026-05-05T16:36:21Z,2026-05-05T20:38:19Z,2026-05-05T20:38:19Z,4.0328,5,101,2,1542,5,1,7
microsoft/vscode,314415,Add extension support in sessions window and disable certain themes,MERGED,2026-05-05T16:32:45Z,2026-05-05T21:28:33Z,2026-05-05T21:28:33Z,4.93,5,104,2,378,4,1,3
