repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
mrdoob/three.js,33533,WebGLRenderer: Fix stale scratch framebuffers after context restore,MERGED,2026-05-05T18:17:26Z,2026-05-05T21:48:25Z,2026-05-05T21:48:25Z,3.5164,1,9,5,587,2,1,1
mrdoob/three.js,33527,WebGPURenderer: Fix mipmap filter mode.,MERGED,2026-05-04T11:28:16Z,2026-05-04T21:04:33Z,2026-05-04T21:04:33Z,9.6047,4,23,2,279,2,2,1
mrdoob/three.js,33516,Examples: Add `webgpu_furnace_test.html`,MERGED,2026-05-03T04:55:09Z,2026-05-03T08:03:31Z,2026-05-03T08:03:31Z,3.1394,3,167,0,21,3,5,1
mrdoob/three.js,33510,CSMShadowNode: Fix inconsistency in frustum split,MERGED,2026-04-30T12:24:48Z,2026-04-30T14:34:04Z,2026-04-30T14:34:03Z,2.1542,1,9,2,1237,2,1,3
mrdoob/three.js,33507,WebGPURenderer: Support rendering to texture arrays.,MERGED,2026-04-30T06:40:57Z,2026-05-03T18:19:19Z,2026-05-03T18:19:19Z,83.6394,8,122,34,273,5,4,7
mrdoob/three.js,33506,CSMShadowNode: Add support for reversed depth buffer,MERGED,2026-04-30T06:31:10Z,2026-04-30T08:10:55Z,2026-04-30T08:10:55Z,1.6625,2,26,5,83,2,0,1
mrdoob/three.js,33502,IESSpotLight: Make sure IES texture can be exchanged.,MERGED,2026-04-29T11:12:02Z,2026-04-29T12:31:04Z,2026-04-29T12:31:03Z,1.3169,1,40,2,240,2,2,4
mrdoob/three.js,33501,"MikkTSpace: Add `dispose()`, cache promise.",MERGED,2026-04-29T03:34:41Z,2026-04-29T16:14:29Z,2026-04-29T16:14:29Z,12.6633,1,34,9,223,3,4,5
mrdoob/three.js,33499,Add support for WebGPU in WebXR,CLOSED,2026-04-28T21:49:50Z,2026-04-30T06:39:10Z,,32.8222,17,798,93,146,5,4,1
mrdoob/three.js,33496,Examples: Fix final alpha issues,MERGED,2026-04-28T14:45:05Z,2026-04-28T16:15:05Z,2026-04-28T16:15:05Z,1.5,2,2,4,324,2,1,1
mrdoob/three.js,33489,LightProbeGrid: Avoid redundant matrixWorld updates during bake.,MERGED,2026-04-28T05:57:32Z,2026-04-28T21:05:33Z,2026-04-28T21:05:33Z,15.1336,1,23,12,697,2,0,1
mrdoob/three.js,33484,XRManager: Use `foveateBoundTexture()` to enable foveation.,MERGED,2026-04-27T18:27:04Z,2026-04-28T21:15:17Z,2026-04-28T21:15:17Z,26.8036,1,73,1,391,2,2,6
mrdoob/three.js,33476,Material: Fixed setValues() to honor Euler and Vector2 types.,MERGED,2026-04-27T03:42:26Z,2026-04-27T12:03:59Z,2026-04-27T12:03:59Z,8.3592,1,5,1,1154,2,4,2
mrdoob/three.js,33475,TSL: Add support for textureGather and textureGatherCompare,MERGED,2026-04-27T02:51:28Z,2026-05-03T16:06:26Z,2026-05-03T16:06:26Z,157.2494,15,478,27,1008,3,13,6
mrdoob/three.js,33465,Docs: Document minimum texture sizes of `PMREMGenerator`.,MERGED,2026-04-24T11:22:31Z,2026-04-24T12:42:49Z,2026-04-24T12:42:49Z,1.3383,2,10,8,265,2,1,3
mrdoob/three.js,33461,WebGPUBindingUtils: Guard updateBinding() against destroyed GPU buffer,MERGED,2026-04-24T09:48:45Z,2026-04-24T12:41:40Z,2026-04-24T12:41:40Z,2.8819,1,2,0,710,2,5,1
