repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
mtdvio/every-programmer-should-know,711,Update README.md,MERGED,2025-09-11T19:43:31Z,2025-09-22T21:45:03Z,2025-09-22T21:45:03Z,266.0256,1,1,0,22,3,0,1
mtdvio/every-programmer-should-know,707,Update README.md,MERGED,2025-06-16T21:03:04Z,2025-09-22T21:59:10Z,2025-09-22T21:59:10Z,2352.935,1,24,0,0,2,0,1
mtdvio/every-programmer-should-know,706,Added missing period for consistency and readability,MERGED,2025-01-29T20:25:43Z,2025-09-22T21:59:56Z,2025-09-22T21:59:56Z,5665.5703,1,1,1,220,2,0,1
mtdvio/every-programmer-should-know,705,Add new site to Coding Practice Sites,MERGED,2025-01-13T08:03:31Z,2025-09-22T22:01:04Z,2025-09-22T22:01:04Z,6061.9592,1,1,1,0,2,0,1
mtdvio/every-programmer-should-know,225,Added resources for web application security,MERGED,2024-08-04T23:25:45Z,2025-09-22T22:03:54Z,2025-09-22T22:03:54Z,9934.6358,1,3,2,0,3,0,3
mtdvio/every-programmer-should-know,215,Fix the broken link for TL;DR Stock options,MERGED,2024-05-23T18:06:13Z,2025-10-22T15:16:55Z,2025-10-22T15:16:54Z,12405.1781,1,3,1,84,3,1,1
mtdvio/every-programmer-should-know,188,Add some fun and entertainment sites/games,MERGED,2022-07-06T09:06:44Z,2025-11-09T17:47:16Z,2025-11-09T17:47:16Z,29336.6756,1,9,0,0,3,2,1
mtdvio/every-programmer-should-know,179,"Add more resources on Engineering Philosophy, Practices and Career.",MERGED,2022-04-18T16:30:51Z,2022-11-23T11:06:05Z,2022-11-23T11:06:04Z,5250.5869,1,4,0,0,4,1,1
mtdvio/every-programmer-should-know,168,Updated SEO link,MERGED,2021-09-09T13:59:43Z,2022-11-23T11:04:48Z,2022-11-23T11:04:48Z,10557.0847,1,1,1,16,4,1,1
mtdvio/every-programmer-should-know,165,fix distributed section dead link,MERGED,2021-03-10T08:38:04Z,2021-04-19T13:48:45Z,2021-04-19T13:48:45Z,965.1781,1,1,1,132,3,1,1
mtdvio/every-programmer-should-know,164,Added the book 'Code Complete' under Practices category,MERGED,2020-11-08T16:43:38Z,2021-04-19T13:50:27Z,2021-04-19T13:50:27Z,3885.1136,1,1,0,83,3,0,1
mtdvio/every-programmer-should-know,163,Fix link to Mostly Adequate Guide to FP,CLOSED,2020-10-14T07:37:05Z,2025-11-09T17:42:58Z,,44458.0981,1,1,1,46,3,0,1
mtdvio/every-programmer-should-know,161,Update README.md,CLOSED,2020-10-01T06:25:54Z,2025-11-09T17:41:09Z,,44771.2542,1,1,1,0,5,0,3
mtdvio/every-programmer-should-know,160,"added website, uri, for programming practice",CLOSED,2020-09-25T17:12:50Z,2022-11-22T14:10:23Z,,18908.9592,1,41,11,94,2,0,1
mtdvio/every-programmer-should-know,159,Added Abstract API,MERGED,2020-09-14T22:18:37Z,2021-04-19T13:49:37Z,2021-04-19T13:49:37Z,5199.5167,1,1,0,0,3,2,1
mtdvio/every-programmer-should-know,146,Adding devdocs,CLOSED,2019-10-05T15:09:38Z,2022-08-27T20:00:16Z,,25372.8439,1,5,3,491,4,1,1
mtdvio/every-programmer-should-know,132,Add Google SRE Handbook,MERGED,2018-10-26T01:04:47Z,2018-12-05T21:09:18Z,2018-12-05T21:09:18Z,980.0753,1,1,0,0,3,2,1
mtdvio/every-programmer-should-know,131,Add toddmotto's public-apis list,CLOSED,2018-10-10T21:05:40Z,2023-10-03T19:37:37Z,,43654.5325,1,1,0,64,3,0,1
mtdvio/every-programmer-should-know,107,"Few links for RegEx, Designers and UX",CLOSED,2017-11-01T05:18:09Z,2020-07-01T12:58:16Z,,23359.6686,1,6,0,0,4,0,1
mtdvio/every-programmer-should-know,105,add lintcode.com,MERGED,2017-10-31T05:42:07Z,2018-01-17T15:44:48Z,2018-01-17T15:44:48Z,1882.0447,1,1,0,49,3,1,1
mtdvio/every-programmer-should-know,103,"Add links ""How javascript works""",MERGED,2017-10-27T07:13:26Z,2018-01-17T15:52:38Z,2018-01-17T15:52:38Z,1976.6533,1,1,0,92,3,3,2
mtdvio/every-programmer-should-know,92,"Add ""How open source licenses work and how to add them to your projects"" to list",MERGED,2017-10-18T10:24:58Z,2020-03-11T10:52:11Z,2020-03-11T10:52:11Z,21000.4536,1,8,7,521,4,3,3
mtdvio/every-programmer-should-know,88,fix spelling error,MERGED,2017-10-16T07:56:38Z,2017-10-25T18:18:49Z,2017-10-25T18:18:49Z,226.3697,1,1,1,43,3,1,1
