repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
mui/material-ui,48474,[Typography] Add `applyRobotoLetterSpacing` option to fix letter spacing with CSS variable fontFamily,CLOSED,2026-05-04T17:45:25Z,2026-05-05T10:12:09Z,,16.4456,3,13,3,1497,4,2,1
mui/material-ui,48469,[switch] Fix incorrect `role` with `slotProps.input`,MERGED,2026-05-04T10:34:23Z,2026-05-04T16:25:53Z,2026-05-04T16:25:53Z,5.8583,2,22,7,287,3,9,3
mui/material-ui,48413,Bump stylelint to 17.9.1,MERGED,2026-05-03T01:28:35Z,2026-05-04T11:06:17Z,2026-05-04T11:06:17Z,33.6283,2,22,22,5886,1,1,1
mui/material-ui,48412,Bump react-router to v7.14.2,MERGED,2026-05-03T01:27:31Z,2026-05-04T07:17:45Z,2026-05-04T07:17:45Z,29.8372,4,12,12,7250,1,1,1
mui/material-ui,48410,Bump @tanstack/react-query to ^5.100.6,MERGED,2026-05-03T01:25:16Z,2026-05-04T07:21:19Z,2026-05-04T07:21:19Z,29.9342,2,10,10,5748,1,1,1
mui/material-ui,48409,Bump @slack/bolt to ^4.7.2,MERGED,2026-05-03T01:24:15Z,2026-05-04T10:34:21Z,2026-05-04T10:34:21Z,33.1683,2,53,52,33685,1,1,1
mui/material-ui,48408,Bump @netlify/functions to ^5.2.0,MERGED,2026-05-03T01:23:12Z,2026-05-04T08:36:15Z,2026-05-04T08:36:15Z,31.2175,2,6,6,2149,1,1,1
mui/material-ui,48407,Bump Tailwind CSS to ^4.2.4,MERGED,2026-05-03T01:22:09Z,2026-05-04T08:26:43Z,2026-05-04T08:26:43Z,31.0761,2,71,71,6638,1,1,1
mui/material-ui,48405,Bump nextjs monorepo to 15.5.15,MERGED,2026-05-03T01:20:13Z,2026-05-04T13:22:20Z,2026-05-04T13:22:20Z,36.0353,3,11,11,2347,1,1,1
mui/material-ui,48404,Bump GitHub Actions,MERGED,2026-05-03T01:19:10Z,2026-05-04T08:22:34Z,2026-05-04T08:22:34Z,31.0567,8,12,12,5444,1,1,1
mui/material-ui,48403,Bump eslint,MERGED,2026-05-03T01:19:00Z,2026-05-04T08:17:33Z,2026-05-04T08:17:33Z,30.9758,2,114,105,10020,1,1,1
mui/material-ui,48402,Bump code-infra:patchUpdates,MERGED,2026-05-03T01:17:58Z,2026-05-04T07:31:43Z,2026-05-04T07:31:43Z,30.2292,10,123,145,23302,1,1,1
mui/material-ui,48400,[autocomplete] Fix iOS group scrollbar overflow,MERGED,2026-05-02T17:26:29Z,2026-05-04T10:52:49Z,2026-05-04T10:52:49Z,41.4389,2,2,3,88,2,2,1
mui/material-ui,48399,[docs] Remove outdated references of .ttf and .woff,MERGED,2026-05-01T20:41:59Z,2026-05-04T08:28:17Z,2026-05-04T08:28:17Z,59.7717,1,2,3,540,3,3,4
mui/material-ui,48398,[internal] Remove outdated .woff files,MERGED,2026-05-01T16:10:03Z,2026-05-01T19:55:03Z,2026-05-01T19:55:03Z,3.75,8,0,0,280,2,2,1
