repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
netdata/netdata,22420,Bump repositroy config package version used by kickstart script to the latest.,MERGED,2026-05-05T11:43:54Z,2026-05-05T13:24:53Z,2026-05-05T13:24:53Z,1.6831,1,2,2,528,3,1,2
netdata/netdata,22415,Adjust vnodes dyncfg availability,MERGED,2026-05-04T13:23:35Z,2026-05-04T15:51:22Z,2026-05-04T15:51:22Z,2.4631,1,1,1,518,4,1,3
netdata/netdata,22414,"cgroups.plugin: fix misleading ""cannot open directory"" log message",MERGED,2026-05-04T11:51:19Z,2026-05-04T13:07:01Z,2026-05-04T13:07:01Z,1.2617,1,4,1,1323,3,1,2
netdata/netdata,22412,build(deps): bump github.com/fsnotify/fsnotify from 1.9.0 to 1.10.0 in /src/go,MERGED,2026-05-04T05:15:51Z,2026-05-04T08:13:36Z,2026-05-04T08:13:36Z,2.9625,2,3,3,8560,1,1,1
netdata/netdata,22411,build(deps): bump gopkg.in/ini.v1 from 1.67.1 to 1.67.2 in /src/go,MERGED,2026-05-04T05:15:48Z,2026-05-04T08:07:50Z,2026-05-04T08:07:50Z,2.8672,2,3,3,1986,1,1,1
netdata/netdata,22410,build(deps): bump github.com/microsoft/go-mssqldb from 1.9.8 to 1.10.0 in /src/go,MERGED,2026-05-04T05:15:37Z,2026-05-04T08:07:20Z,2026-05-04T08:07:20Z,2.8619,2,3,3,15639,1,1,1
netdata/netdata,22409,build(deps): bump github.com/go-sql-driver/mysql from 1.9.3 to 1.10.0 in /src/go,MERGED,2026-05-04T05:15:31Z,2026-05-04T08:06:51Z,2026-05-04T08:06:51Z,2.8556,2,6,6,14047,1,1,1
netdata/netdata,22402,feat(go.d): add vnode-scoped metrics for Azure Monitor workloads,MERGED,2026-05-03T19:14:43Z,2026-05-04T08:18:55Z,2026-05-04T08:18:55Z,13.07,99,10449,879,2640,3,1,2
netdata/netdata,22400,Fix deadlock on dimension creation,MERGED,2026-05-03T14:14:30Z,2026-05-04T06:12:56Z,2026-05-04T06:12:56Z,15.9739,1,39,25,1246,3,1,2
netdata/netdata,22372,docs: mention nginx-json log2journal config on Logs tab page,CLOSED,2026-05-01T23:21:17Z,2026-05-04T05:32:58Z,,54.1947,1,1,1,1472,1,1,1
netdata/netdata,22371,Fix SNMP topology index-derived endpoints,MERGED,2026-05-01T23:21:14Z,2026-05-04T19:24:02Z,2026-05-04T19:24:02Z,68.0467,26,1682,61,2757,3,10,25
netdata/netdata,22370,docs: add cross-context alert example to REFERENCE.md,CLOSED,2026-05-01T21:09:16Z,2026-05-04T05:32:57Z,,56.3947,1,59,2,2692,1,1,1
netdata/netdata,22369,docs: clarify SSL/TLS auto-detection behavior in web server README,CLOSED,2026-05-01T17:32:17Z,2026-05-04T05:32:57Z,,60.0111,1,4,0,1984,1,1,1
netdata/netdata,22368,docs: specify Business subscription for Dynamic Configuration and add plan-feature cross-reference,CLOSED,2026-05-01T16:52:59Z,2026-05-04T05:32:56Z,,60.6658,3,8,2,1967,1,1,1
netdata/netdata,22367,Fix aral race condition,MERGED,2026-05-01T16:01:44Z,2026-05-03T15:16:06Z,2026-05-03T15:16:06Z,47.2394,3,740,28,2993,3,3,10
netdata/netdata,22365,docs: fix PHP-FPM collector default URL in metadata.yaml,CLOSED,2026-05-01T14:01:57Z,2026-05-04T05:32:56Z,,63.5164,1,1,1,1280,1,1,1
netdata/netdata,22364,Regenerate integrations docs,MERGED,2026-05-01T13:32:34Z,2026-05-04T04:47:23Z,2026-05-04T04:47:23Z,63.2469,13,299,12,150,2,1,2
