repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
nodejs/node,63133,doc: fix changelog for chromium numbering,MERGED,2026-05-05T18:27:43Z,2026-05-05T21:05:27Z,2026-05-05T21:05:27Z,2.6289,1,1,1,9,6,3,3
nodejs/node,63129,[v26.x backport] test: accept OpenSSL 4 generic internal error for DH key-type mismatches,MERGED,2026-05-05T15:40:21Z,2026-05-05T21:32:45Z,2026-05-05T21:32:45Z,5.8733,2,45,7,116,3,5,1
nodejs/node,63128,src: bump NODE_MAJOR_VERSION to 27,MERGED,2026-05-05T14:58:23Z,2026-05-05T18:17:44Z,2026-05-05T18:17:44Z,3.3225,1,1,1,109,5,4,3
nodejs/node,63127,doc: fix lint-md,MERGED,2026-05-05T14:55:13Z,2026-05-05T16:14:47Z,2026-05-05T16:14:46Z,1.3258,11,53,307,42,7,4,8
nodejs/node,63108,doc: remove Node.js 20 link from BUILDING,CLOSED,2026-05-04T06:47:50Z,2026-05-04T13:42:22Z,,6.9089,1,0,1,371,4,3,1
nodejs/node,63099,stream: remove redundant method check from iter.pipeToSync,MERGED,2026-05-03T12:34:27Z,2026-05-05T12:46:55Z,2026-05-05T12:46:55Z,48.2078,1,1,6,116,6,5,4
nodejs/node,63098,tools: use `npm ci` in Undici update script,MERGED,2026-05-03T09:58:15Z,2026-05-05T10:09:44Z,2026-05-05T10:09:44Z,48.1914,1,1,1,1809,7,2,5
nodejs/node,63097,test_runner: fix failing suite hooks when marked with `todo`,MERGED,2026-05-03T09:01:30Z,2026-05-05T09:22:15Z,2026-05-05T09:22:15Z,48.3458,3,35,1,0,7,5,5
nodejs/node,63093,doc: fix the TypeScript Execute (tsx) project link,MERGED,2026-05-03T06:46:22Z,2026-05-05T12:16:05Z,2026-05-05T12:16:05Z,53.4953,1,1,1,156,6,3,4
nodejs/node,63092,deps: update undici to 8.2.0,MERGED,2026-05-03T01:09:53Z,2026-05-05T01:47:51Z,2026-05-05T01:47:51Z,48.6328,58,2036,989,47,4,4,3
nodejs/node,63091,tools: update nixpkgs-unstable to c6d65881c5624c9cae5ea6cedef24699b0c,MERGED,2026-05-03T01:09:24Z,2026-05-05T01:47:40Z,2026-05-05T01:47:40Z,48.6378,1,2,2,859,4,1,3
nodejs/node,63090,deps: update amaro to 1.1.9,MERGED,2026-05-03T01:08:49Z,2026-05-05T01:47:25Z,2026-05-05T01:47:25Z,48.6433,5,8,12,46,3,5,2
nodejs/node,63089,doc: minor structural stream/iter edits,MERGED,2026-05-03T01:02:42Z,2026-05-05T01:47:13Z,2026-05-05T01:47:13Z,48.7419,4,265,268,381,4,1,2
