repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
nomic-ai/gpt4all,3607,Create desca,CLOSED,2025-08-07T06:16:00Z,2025-10-16T01:10:58Z,,1674.9161,1,1,0,712,2,0,1
nomic-ai/gpt4all,3511,chat: cut v3.10.0 release,MERGED,2025-02-24T19:35:10Z,2025-02-24T22:15:34Z,2025-02-24T22:15:34Z,2.6733,2,5,5,50,2,0,1
nomic-ai/gpt4all,3506,Add new remote model provider view.,MERGED,2025-02-19T19:01:30Z,2025-02-24T19:59:53Z,2025-02-24T19:59:53Z,120.9731,12,474,126,0,2,2,5
nomic-ai/gpt4all,3500,ci: use LLVM Clang 19 on macOS and Ubuntu,MERGED,2025-02-14T22:35:54Z,2025-02-18T17:02:14Z,2025-02-18T17:02:14Z,90.4389,2,124,158,1081,2,1,1
nomic-ai/gpt4all,3499,backend: build with CUDA compute 5.0 support by default,MERGED,2025-02-14T20:11:33Z,2025-02-19T16:27:06Z,2025-02-19T16:27:06Z,116.2592,3,5,4,372,2,2,1
nomic-ai/gpt4all,3498,chat: require Qt 6.8 and fix #includes,MERGED,2025-02-14T18:58:29Z,2025-02-18T18:59:51Z,2025-02-18T18:59:51Z,96.0228,52,261,148,861,2,1,1
nomic-ai/gpt4all,3496,Italian localization update,MERGED,2025-02-14T09:17:44Z,2025-02-18T16:47:39Z,2025-02-18T16:47:39Z,103.4986,2,4,3,750,2,1,1
nomic-ai/gpt4all,3471,Add replacement jinjas for OLMoE and granite-3.1,MERGED,2025-02-06T22:23:55Z,2025-02-12T19:23:46Z,2025-02-12T19:23:46Z,140.9975,2,88,1,1132,2,3,2
nomic-ai/gpt4all,3467,Translations: Improve Chinese translation,MERGED,2025-02-06T07:41:00Z,2025-02-21T01:44:28Z,2025-02-21T01:44:28Z,354.0578,2,175,174,758,4,8,1
nomic-ai/gpt4all,3465,"Misc fixes for undefined behavior, crashes, and build failure",MERGED,2025-02-05T16:44:48Z,2025-02-06T16:22:53Z,2025-02-06T16:22:53Z,23.6347,10,80,40,952,2,0,1
