repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
obsproject/obs-studio,13342,frontend: Fix nested menu styling,MERGED,2026-04-20T15:02:56Z,2026-04-20T22:20:09Z,2026-04-20T22:20:08Z,7.2867,1,6,4,1874,2,0,1
obsproject/obs-studio,13339,"libobs-winrt,win-capture: Allow capturing of secondary windows",CLOSED,2026-04-19T18:38:44Z,2026-05-01T17:15:46Z,,286.6172,5,82,25,2977,3,9,9
obsproject/obs-studio,13320,Fix C++20 issues,MERGED,2026-04-13T19:30:39Z,2026-05-01T18:09:10Z,2026-05-01T18:09:10Z,430.6419,2,6,2,3107,2,0,1
obsproject/obs-studio,13312,frontend: Optimize audio mixer updates,MERGED,2026-04-10T23:25:17Z,2026-04-20T21:54:47Z,2026-04-20T21:54:47Z,238.4917,5,81,50,2832,4,1,6
obsproject/obs-studio,13268,CI: Pin GitHub actions,MERGED,2026-03-27T16:28:02Z,2026-03-30T22:42:42Z,2026-03-30T22:42:42Z,78.2444,14,66,66,3287,2,2,1
obsproject/obs-studio,13244,frontend: Audio Mixer bug fixes and adjustments,MERGED,2026-03-21T19:00:21Z,2026-04-01T14:45:48Z,2026-04-01T14:45:48Z,259.7575,10,244,94,4331,5,0,16
obsproject/obs-studio,13200,CI: Add local exceptions to flatpak-builder-lint,MERGED,2026-03-08T12:21:27Z,2026-03-08T15:48:16Z,2026-03-08T15:48:16Z,3.4469,2,9,1,2707,2,0,1
obsproject/obs-studio,13198,Fix spurious fd closing (os_process and v4l2),MERGED,2026-03-07T11:08:53Z,2026-03-08T16:12:45Z,2026-03-08T16:12:44Z,29.0642,2,14,4,2063,3,2,3
obsproject/obs-studio,13192,frontend: Only send event when scene list changed,MERGED,2026-03-04T16:46:43Z,2026-03-04T20:48:03Z,2026-03-04T20:48:03Z,4.0222,1,5,1,1679,2,0,1
obsproject/obs-studio,13191,frontend: Remove unused theme parameters and rename MixerScrollArea,MERGED,2026-03-04T16:43:06Z,2026-04-16T18:51:40Z,2026-04-16T18:51:40Z,1034.1428,5,5,125,4326,5,0,2
obsproject/obs-studio,13172,CI: Update code signing certificates,MERGED,2026-03-01T00:51:27Z,2026-03-03T21:45:01Z,2026-03-03T21:45:01Z,68.8928,3,39,39,1320,2,0,1
obsproject/obs-studio,13150,frontend: Fix handling scene remove signal from not main canvas,CLOSED,2026-02-20T22:00:03Z,2026-03-04T21:47:27Z,,287.79,1,37,18,1518,5,5,1
obsproject/obs-studio,13146,updater: Update CMake to make builds more reproducible,MERGED,2026-02-20T01:00:03Z,2026-02-20T20:50:15Z,2026-02-20T20:50:15Z,19.8367,2,8,1,2706,3,1,4
obsproject/obs-studio,13145,frontend: Enforce minimum size for mixer toolbar,MERGED,2026-02-19T20:57:27Z,2026-02-20T21:13:06Z,2026-02-20T21:13:06Z,24.2608,1,1,0,1439,2,0,1
obsproject/obs-studio,13138,updater: Check return values in ClearShaderCache,MERGED,2026-02-18T00:32:05Z,2026-02-18T20:26:29Z,2026-02-18T20:26:29Z,19.9067,1,5,3,1546,3,0,2
obsproject/obs-studio,13137,updater: Add log window and additional log messages,MERGED,2026-02-18T00:15:10Z,2026-02-20T20:16:35Z,2026-02-20T20:16:35Z,68.0236,3,161,12,1927,2,1,1
obsproject/obs-studio,13133,frontend: Fix unclean shutdown on Windows,MERGED,2026-02-17T19:43:28Z,2026-02-24T23:55:26Z,2026-02-24T23:55:26Z,172.1994,2,12,18,2554,7,8,15
obsproject/obs-studio,13129,linux-pipewire: Fix uninitialized camera resolution access,MERGED,2026-02-16T17:30:42Z,2026-03-08T05:09:24Z,2026-03-08T05:09:24Z,467.645,1,2,2,2689,4,1,3
obsproject/obs-studio,13119,docs: Fix typo in obs_enum_canvases description,MERGED,2026-02-13T09:59:39Z,2026-02-17T19:33:15Z,2026-02-17T19:33:15Z,105.56,1,1,1,2316,2,1,3
obsproject/obs-studio,13118,frontend: Ignore sources with disabled audio in mixer,MERGED,2026-02-12T22:50:26Z,2026-02-13T19:26:50Z,2026-02-13T19:26:50Z,20.6067,2,23,13,1876,3,0,2
obsproject/obs-studio,13117,obs-filters: Remove unnecessary nvafx-load.h header,MERGED,2026-02-12T21:37:18Z,2026-02-12T23:13:00Z,2026-02-12T23:13:00Z,1.595,1,0,297,2525,4,0,3
obsproject/obs-studio,13114,frontend: Skip background paint for invalid sizes,MERGED,2026-02-12T19:04:40Z,2026-02-12T22:07:21Z,2026-02-12T22:07:21Z,3.0447,1,1,1,2149,3,0,2
obsproject/obs-studio,13106,frontend: Fix VolumeControl rendering,MERGED,2026-02-10T01:36:59Z,2026-02-11T20:46:19Z,2026-02-11T20:46:19Z,43.1556,1,0,2,1849,5,2,2
obsproject/obs-studio,13104,frontend: Defer mixer rename dialog,MERGED,2026-02-09T23:24:32Z,2026-02-12T22:39:24Z,2026-02-12T22:39:24Z,71.2478,1,53,38,1872,4,1,9
obsproject/obs-studio,13103,frontend: Round all output theme values,MERGED,2026-02-09T19:55:21Z,2026-02-09T21:30:58Z,2026-02-09T21:30:58Z,1.5936,1,9,6,1578,3,0,2
obsproject/obs-studio,13098,updater: Fix various race conditions and error handling,MERGED,2026-02-08T23:11:15Z,2026-02-10T22:46:18Z,2026-02-10T22:46:18Z,47.5842,3,63,34,2113,5,0,8
obsproject/obs-studio,13095,frontend: Clean up mixer hidden state,MERGED,2026-02-04T22:24:04Z,2026-02-04T23:29:20Z,2026-02-04T23:29:20Z,1.0878,3,3,14,1488,3,0,3
obsproject/obs-studio,13092,frontend: Adjust log upload text for current logs,MERGED,2026-02-04T20:53:32Z,2026-02-05T22:30:31Z,2026-02-05T22:30:31Z,25.6164,1,2,1,1635,4,3,6
obsproject/obs-studio,13089,frontend: Update unassigned audio track warning text,MERGED,2026-02-04T19:23:34Z,2026-02-05T23:09:31Z,2026-02-05T23:09:31Z,27.7658,1,1,1,3506,3,0,1
obsproject/obs-studio,13088,image-source: Fix interrupted transitions,MERGED,2026-02-04T18:20:12Z,2026-02-04T23:53:59Z,2026-02-04T23:53:59Z,5.5631,1,4,5,1821,3,2,1
obsproject/obs-studio,13085,libobs: Properly handle NULL data in json,MERGED,2026-02-04T01:45:31Z,2026-02-12T00:27:22Z,2026-02-12T00:27:22Z,190.6975,1,10,0,2789,4,2,3
obsproject/obs-studio,13081,shared/media-playback: Fix corrupt MaxCLL when reading HDR metadata,MERGED,2026-02-01T22:58:27Z,2026-02-04T19:50:35Z,2026-02-04T19:50:35Z,68.8689,1,1,1,2529,5,0,4
obsproject/obs-studio,13077,frontend: Fix monitoring icon color,MERGED,2026-01-29T19:29:46Z,2026-02-03T19:41:27Z,2026-02-03T19:41:26Z,120.1944,2,0,28,3089,3,0,2
obsproject/obs-studio,13076,frontend: Add missing icon in Light Theme,MERGED,2026-01-29T19:02:47Z,2026-02-04T18:51:03Z,2026-02-04T18:51:03Z,143.8044,5,46,0,3263,3,1,3
obsproject/obs-studio,13075,Fix compilation on FreeBSD 15.0-RELEASE (2026-01-28),MERGED,2026-01-28T19:50:11Z,2026-02-05T21:54:16Z,2026-02-05T21:54:16Z,194.0681,5,20,11,1076,5,10,13
obsproject/obs-studio,13072,frontend: Update previewed sources in mixer by visibility,MERGED,2026-01-27T20:17:55Z,2026-01-28T18:58:02Z,2026-01-28T18:58:02Z,22.6686,2,51,0,1640,2,0,1
obsproject/obs-studio,13069,frontend: Close rename dialog if name unchanged,MERGED,2026-01-26T20:50:08Z,2026-01-28T18:18:47Z,2026-01-28T18:18:47Z,45.4775,2,11,1,1596,2,0,1
obsproject/obs-studio,13068,frontend: Use disabled meter colors when output muted,MERGED,2026-01-26T20:07:42Z,2026-01-28T17:53:36Z,2026-01-28T17:53:36Z,45.765,2,4,1,2431,2,0,1
obsproject/obs-studio,13067,frontend: Revert Add Source dialog update,MERGED,2026-01-26T19:43:50Z,2026-01-28T17:13:20Z,2026-01-28T17:13:20Z,45.4917,26,525,2731,1688,2,0,1
obsproject/obs-studio,13066,rtmp-services: Remove defunct STAGE TEN,MERGED,2026-01-26T15:45:52Z,2026-02-10T19:08:01Z,2026-02-10T19:08:01Z,363.3692,2,2,20,695,3,1,3
obsproject/obs-studio,13060,frontend: Force update volume meter backgrounds,MERGED,2026-01-23T19:02:15Z,2026-01-23T20:21:00Z,2026-01-23T20:21:00Z,1.3125,2,9,7,1629,2,0,1
obsproject/obs-studio,13056,frontend: Fix crash in application shutdown with a YouTube service dock active,MERGED,2026-01-23T10:55:27Z,2026-02-04T22:04:31Z,2026-02-04T22:04:31Z,299.1511,4,214,81,6171,3,3,1
obsproject/obs-studio,13053,frontend: Implement sizeHint for VolumeMeter,MERGED,2026-01-20T21:05:10Z,2026-01-22T17:32:12Z,2026-01-22T17:32:12Z,44.4506,3,92,60,1529,3,0,9
obsproject/obs-studio,13049,frontend: Properly update studio mode mixer,MERGED,2026-01-19T22:31:13Z,2026-01-20T17:34:54Z,2026-01-20T17:34:54Z,19.0614,1,4,0,2571,3,0,2
obsproject/obs-studio,13045,frontend: Fix audio mixer monitoring state,MERGED,2026-01-18T21:53:56Z,2026-01-20T17:11:20Z,2026-01-20T17:11:20Z,43.29,1,1,1,2398,2,0,1
obsproject/obs-studio,13042,frontend: Fix default value for full-height docks,MERGED,2026-01-17T21:38:59Z,2026-01-17T23:15:21Z,2026-01-17T23:15:21Z,1.6061,1,1,0,1466,2,0,1
obsproject/obs-studio,13039,frontend: Update menu text when switching layouts,MERGED,2026-01-17T19:01:39Z,2026-01-20T16:47:51Z,2026-01-20T16:47:51Z,69.77,2,11,8,1850,2,0,1
obsproject/obs-studio,13038,frontend: Add missing translation strings,MERGED,2026-01-17T16:37:13Z,2026-01-17T19:28:21Z,2026-01-17T19:28:20Z,2.8519,4,7,4,2812,3,0,2
obsproject/obs-studio,13034,linux-pulseaudio: Fix bad channels message format,MERGED,2026-01-15T21:37:44Z,2026-01-16T20:16:57Z,2026-01-16T20:16:57Z,22.6536,1,1,3,1545,4,0,6
obsproject/obs-studio,13033,frontend: Ensure meter background refresh on style change,MERGED,2026-01-15T20:40:07Z,2026-01-15T22:07:17Z,2026-01-15T22:07:17Z,1.4528,1,2,0,1946,3,1,1
obsproject/obs-studio,13032,frontend: Fix audio mixer dialog buttons on classic theme,MERGED,2026-01-15T19:29:17Z,2026-01-15T21:20:10Z,2026-01-15T21:20:10Z,1.8481,1,1,24,1941,2,0,1
obsproject/obs-studio,13029,frontend: Only round final theme values,MERGED,2026-01-15T19:06:12Z,2026-01-15T20:47:32Z,2026-01-15T20:47:32Z,1.6889,1,7,6,1479,2,0,1
obsproject/obs-studio,13024,frontend: Remove unused audio mixer widgets,MERGED,2026-01-15T01:44:48Z,2026-01-15T17:53:30Z,2026-01-15T17:53:30Z,16.145,5,1,204,1767,2,0,1
