repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
ohmyzsh/ohmyzsh,13727,chore(deps): bump step-security/harden-runner from 2.19.0 to 2.19.1,MERGED,2026-05-03T12:52:33Z,2026-05-04T07:18:30Z,2026-05-04T07:18:30Z,18.4325,5,6,6,5086,1,0,1
ohmyzsh/ohmyzsh,13726,chore(deps): bump github/codeql-action from 4.35.2 to 4.35.3,MERGED,2026-05-03T12:52:26Z,2026-05-04T07:18:12Z,2026-05-04T07:18:11Z,18.4292,1,1,1,12525,1,0,1
ohmyzsh/ohmyzsh,13725,chore(z): update to version acd0e198,MERGED,2026-05-03T06:59:42Z,2026-05-04T07:19:37Z,2026-05-04T07:19:37Z,24.3319,3,24,13,262,2,0,2
ohmyzsh/ohmyzsh,13724,chore(gradle): update to version d8bc301a,MERGED,2026-05-03T06:59:36Z,2026-05-04T07:20:10Z,2026-05-04T07:20:10Z,24.3428,2,135,125,287,2,0,2
ohmyzsh/ohmyzsh,13717,fix: sanitize subprocess call in ssh-agent.py,CLOSED,2026-04-28T10:43:43Z,2026-04-28T12:31:42Z,,1.7997,1,26,3,1101,2,2,1
ohmyzsh/ohmyzsh,13713,chore(deps): bump certifi from 2026.2.25 to 2026.4.22 in /.github/workflows/dependencies,MERGED,2026-04-26T12:52:34Z,2026-04-27T07:15:40Z,2026-04-27T07:15:40Z,18.385,1,1,1,3622,1,0,1
ohmyzsh/ohmyzsh,13712,chore(deps): bump idna from 3.11 to 3.13 in /.github/workflows/dependencies,MERGED,2026-04-26T12:52:30Z,2026-04-27T07:19:10Z,2026-04-27T07:19:10Z,18.4444,1,1,1,2811,1,0,1
ohmyzsh/ohmyzsh,13711,chore(deps): bump step-security/harden-runner from 2.18.0 to 2.19.0,MERGED,2026-04-26T12:52:24Z,2026-04-27T07:15:13Z,2026-04-27T07:15:13Z,18.3803,5,6,6,3373,1,0,1
ohmyzsh/ohmyzsh,13710,chore(z): update to version ae10ba3f,MERGED,2026-04-26T06:47:08Z,2026-04-27T07:20:10Z,2026-04-27T07:20:10Z,24.5506,5,88,40,262,1,0,1
ohmyzsh/ohmyzsh,13707,feat(bgnotify): add niri WM support,MERGED,2026-04-24T18:18:32Z,2026-04-27T07:33:32Z,2026-04-27T07:33:32Z,61.25,1,9,0,884,3,1,2
ohmyzsh/ohmyzsh,13706,fix(git): replace deprecated syntax for percent substitution in prompt  (#13705),MERGED,2026-04-24T18:14:33Z,2026-04-27T12:50:09Z,2026-04-27T12:50:09Z,66.5933,1,2,2,1547,4,0,3
ohmyzsh/ohmyzsh,13700,fix(tmux): treat xterm-direct as 256-color,MERGED,2026-04-19T17:52:54Z,2026-04-20T09:00:38Z,2026-04-20T09:00:38Z,15.1289,1,2,2,1690,4,0,3
ohmyzsh/ohmyzsh,13699,docs(kubectl): add missing aliases,MERGED,2026-04-19T14:40:48Z,2026-04-20T09:01:03Z,2026-04-20T09:01:03Z,18.3375,1,16,0,1069,2,1,1
