repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
ollama/ollama,15980,mlx: Gemma4 MTP speculative decoding,MERGED,2026-05-05T14:41:23Z,2026-05-05T15:55:04Z,2026-05-05T15:55:04Z,1.2281,28,2928,42,550,2,0,1
ollama/ollama,15967,server: cache show responses,MERGED,2026-05-04T21:53:58Z,2026-05-05T21:40:19Z,2026-05-05T21:40:19Z,23.7725,5,1266,16,2018,2,0,3
ollama/ollama,15938,docs: hide claude desktop for docs till release,CLOSED,2026-05-03T02:22:52Z,2026-05-04T06:21:34Z,,27.9783,1,1,2,0,2,1,1
ollama/ollama,15937,launch: claude app,MERGED,2026-05-02T23:02:30Z,2026-05-03T02:19:58Z,2026-05-03T02:19:58Z,3.2911,21,2936,91,230,2,1,2
ollama/ollama,15909,app: source featured models from experimental recommendations endpoint,MERGED,2026-04-30T21:54:11Z,2026-05-01T18:10:20Z,2026-05-01T18:10:20Z,20.2692,7,77,260,290,3,1,1
ollama/ollama,15905,app: remove ollama update url env var used for testing,MERGED,2026-04-30T17:41:44Z,2026-04-30T20:14:08Z,2026-04-30T20:14:08Z,2.54,1,0,4,55,2,0,1
ollama/ollama,15904,go: bump to 1.26,MERGED,2026-04-30T17:26:33Z,2026-05-04T06:24:36Z,2026-05-04T06:24:36Z,84.9675,6,3,173,782,4,4,1
ollama/ollama,15885,launch: use vram bytes for model recommendations,MERGED,2026-04-30T00:18:00Z,2026-04-30T01:40:14Z,2026-04-30T01:40:14Z,1.3706,6,36,20,116,2,0,1
ollama/ollama,15845,Update MLX and MLX-C with threading fixes,MERGED,2026-04-27T20:07:10Z,2026-05-03T17:03:15Z,2026-05-03T17:03:15Z,140.9347,29,2119,276,321,3,1,2
ollama/ollama,15844,tokenizer: fix multi-regex BPE offset handling,MERGED,2026-04-27T19:43:06Z,2026-04-27T21:14:28Z,2026-04-27T21:14:28Z,1.5228,2,56,1,198,2,0,1
ollama/ollama,15814,Model support for batching,MERGED,2026-04-25T16:56:57Z,2026-04-28T03:04:47Z,2026-04-28T03:04:47Z,58.1306,22,2750,425,1028,2,0,3
ollama/ollama,15787,"api: accept ""max"" as a think value",MERGED,2026-04-24T06:36:18Z,2026-04-24T08:49:40Z,2026-04-24T08:49:40Z,2.2228,6,87,15,79,2,0,1
ollama/ollama,15777,launch: harden OpenClaw onboarding flow,MERGED,2026-04-23T18:02:22Z,2026-04-23T23:47:20Z,2026-04-23T23:47:20Z,5.7494,2,459,28,1699,3,0,5
ollama/ollama,15776,launch: resave managed integration config when live config drifts,MERGED,2026-04-23T17:55:50Z,2026-04-23T23:32:37Z,2026-04-23T23:32:37Z,5.6131,2,60,1,807,2,0,1
ollama/ollama,15755,metal: harden for ggml initialization failures,MERGED,2026-04-22T20:02:58Z,2026-04-30T23:28:03Z,2026-04-30T23:28:03Z,195.4181,11,450,109,1796,2,0,3
ollama/ollama,15753,app: align the app launch page with ollama launch,MERGED,2026-04-22T19:13:14Z,2026-04-29T18:45:20Z,2026-04-29T18:45:20Z,167.535,5,202,0,596,2,0,1
ollama/ollama,15750,launch: keep launch recommended models in a fixed canonical order,MERGED,2026-04-22T16:46:07Z,2026-04-23T20:33:01Z,2026-04-23T20:33:01Z,27.7817,3,48,28,1416,2,0,2
ollama/ollama,15745,x/mlxrunner/model: add baseline test coverage for quant metadata scanning,CLOSED,2026-04-22T13:28:03Z,2026-04-22T15:36:05Z,,2.1339,9,723,28,7278,1,1,1
ollama/ollama,15744,x/mlxrunner: apply config.json per-tensor quant overrides for mixed-precision MoE,CLOSED,2026-04-22T13:27:52Z,2026-04-22T15:36:00Z,,2.1356,10,616,28,8371,1,1,1
ollama/ollama,15743,x/mlxrunner: recognise mlx-lm plural aux naming at load time,CLOSED,2026-04-22T13:27:37Z,2026-04-22T15:35:08Z,,2.1253,7,294,28,5727,1,1,1
ollama/ollama,15739,fix: correct typos in user-facing strings,CLOSED,2026-04-22T01:39:55Z,2026-04-22T07:43:26Z,,6.0586,3,5,5,146,3,1,1
ollama/ollama,15738,docs: fix typos in documentation,CLOSED,2026-04-22T00:43:05Z,2026-04-22T07:42:58Z,,6.9981,3,3,3,179,2,0,1
ollama/ollama,15736,mlxrunner: batch the sampler across multiple sequences,MERGED,2026-04-21T20:52:18Z,2026-04-25T16:53:54Z,2026-04-25T16:53:54Z,92.0267,8,788,212,490,2,0,1
ollama/ollama,15733,docs: Structured outputs and ollama cloud,MERGED,2026-04-21T17:50:14Z,2026-04-22T07:42:40Z,2026-04-22T07:42:40Z,13.8739,1,4,0,0,2,0,2
ollama/ollama,15726,fix: resolve OpenClaw gateway launch timeout on Windows by enforcing …,MERGED,2026-04-21T05:32:29Z,2026-05-01T02:20:09Z,2026-05-01T02:20:09Z,236.7944,2,3,3,1743,4,1,3
ollama/ollama,15723,launch: add kimi cli integration with installer flow,MERGED,2026-04-20T20:32:41Z,2026-04-20T22:33:32Z,2026-04-20T22:33:32Z,2.0142,7,995,1,65,2,0,2
ollama/ollama,15712,cmd: populate model capabilities in launchInteractiveModel,MERGED,2026-04-19T23:33:44Z,2026-04-21T18:37:36Z,2026-04-21T18:37:36Z,43.0644,1,55,2,897,3,0,1
ollama/ollama,15678,server: apply format when think=false with thinking-capable parser,MERGED,2026-04-18T18:56:47Z,2026-04-21T00:42:30Z,2026-04-21T00:42:29Z,53.7617,2,130,1,218,4,2,4
ollama/ollama,15659,mlx: fuse sigmoid router head in glm4_moe_lite,MERGED,2026-04-18T00:18:09Z,2026-04-20T22:02:14Z,2026-04-20T22:02:14Z,69.7347,2,28,6,468,3,0,2
ollama/ollama,15658,MLX Sampler Improvements,MERGED,2026-04-17T23:43:17Z,2026-04-21T00:43:00Z,2026-04-21T00:43:00Z,72.9953,12,501,174,355,2,0,4
ollama/ollama,15657,app/server: fix desktop app startup killing active `ollama launch` sessions,MERGED,2026-04-17T21:18:13Z,2026-04-28T02:52:54Z,2026-04-28T02:52:54Z,245.5781,4,120,2,926,2,0,4
ollama/ollama,15655,docs: update hermes,MERGED,2026-04-17T20:15:09Z,2026-04-17T21:20:59Z,2026-04-17T21:20:59Z,1.0972,2,42,38,88,2,1,1
ollama/ollama,15633,launch: skip unchanged managed-single rewrite,MERGED,2026-04-16T21:45:23Z,2026-04-16T23:20:43Z,2026-04-16T23:20:43Z,1.5889,2,20,17,86,2,0,1
ollama/ollama,15631,mlx: apply repeat penalties in sampler,MERGED,2026-04-16T20:32:30Z,2026-04-18T14:49:39Z,2026-04-18T14:49:38Z,42.2856,7,163,84,0,2,0,3
ollama/ollama,15617,mlx: fix gemma4 cache to use logical view,MERGED,2026-04-16T01:18:33Z,2026-04-16T18:54:30Z,2026-04-16T18:54:30Z,17.5992,1,11,11,0,2,0,1
ollama/ollama,15612,gemma4: render differently based on model size,MERGED,2026-04-15T21:21:48Z,2026-04-16T00:15:35Z,2026-04-16T00:15:35Z,2.8964,11,406,16,363,2,0,4
ollama/ollama,15607,mlx: additional gemma4 cache fixes,MERGED,2026-04-15T19:08:24Z,2026-04-16T20:07:19Z,2026-04-16T20:07:19Z,24.9819,1,3,2,30,2,0,2
ollama/ollama,15593,launch: always list cloud recommendations first,MERGED,2026-04-14T23:21:41Z,2026-04-15T20:17:35Z,2026-04-15T20:17:35Z,20.9317,2,9,16,671,2,0,1
ollama/ollama,15591,mlx: fix RotatingKVCache.concat() dropping context on mid-rotation,MERGED,2026-04-14T21:38:41Z,2026-04-15T01:29:06Z,2026-04-15T01:29:06Z,3.8403,2,355,2,581,2,0,1
ollama/ollama,15590,Add MLX closure support,MERGED,2026-04-14T21:36:29Z,2026-04-14T23:38:33Z,2026-04-14T23:38:33Z,2.0344,12,421,104,216,3,0,2
ollama/ollama,15588,mlx: fix imagegen lookup,MERGED,2026-04-14T20:15:23Z,2026-04-16T17:39:00Z,2026-04-16T17:39:00Z,45.3936,1,48,30,103,2,0,1
ollama/ollama,15587,mlx: Improve gemma4 performance with fused operations,MERGED,2026-04-14T18:46:32Z,2026-04-15T01:04:04Z,2026-04-15T01:04:04Z,6.2922,2,29,15,1240,3,0,2
ollama/ollama,15586,launch: OpenCode inline config,MERGED,2026-04-14T18:40:56Z,2026-04-14T22:08:42Z,2026-04-14T22:08:42Z,3.4628,4,709,840,183,2,1,1
ollama/ollama,15583,cmd/launch: add Copilot CLI integration,MERGED,2026-04-14T17:24:29Z,2026-04-16T00:22:53Z,2026-04-16T00:22:53Z,30.9733,8,349,3,628,2,0,1
ollama/ollama,15571,launch: fetch recommended models from server endpoint,CLOSED,2026-04-14T03:28:07Z,2026-04-28T23:23:37Z,,355.925,5,308,49,2741,3,1,1
ollama/ollama,15569,launch: add hermes,MERGED,2026-04-14T02:11:00Z,2026-04-15T19:00:23Z,2026-04-15T19:00:23Z,40.8231,12,3036,110,2024,2,1,1
ollama/ollama,15566,mlx: Support NVIDIA TensorRT Model Optimizer import,MERGED,2026-04-14T00:28:59Z,2026-04-28T01:28:11Z,2026-04-28T01:28:11Z,336.9867,12,1570,331,22,2,0,2
ollama/ollama,15550,gemma4: fix compiler error on metal,MERGED,2026-04-13T16:59:28Z,2026-04-13T18:32:00Z,2026-04-13T18:32:00Z,1.5422,7,17,14,116,2,0,1
