repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
openai/codex,21260,[codex] Move thread naming to app server,MERGED,2026-05-05T22:48:49Z,2026-05-06T00:16:06Z,2026-05-06T00:16:06Z,1.4547,13,32,215,1473,2,0,1
openai/codex,21259,ci: trigger rusty-v8 releases from tags,MERGED,2026-05-05T22:46:33Z,2026-05-05T23:56:44Z,2026-05-05T23:56:44Z,1.1697,1,10,27,68,2,0,3
openai/codex,21256,release: publish standalone bwrap artifacts,MERGED,2026-05-05T22:21:03Z,2026-05-06T00:15:46Z,2026-05-06T00:15:46Z,1.9119,1,25,1,549,2,0,3
openai/codex,21255,linux-sandbox: use standalone bundled bwrap,MERGED,2026-05-05T22:21:01Z,2026-05-06T00:14:29Z,2026-05-06T00:14:29Z,1.8911,27,751,338,2714,3,0,3
openai/codex,21251,chore(app-server-protocol): split v2 API definitions into modules,MERGED,2026-05-05T21:45:33Z,2026-05-05T23:46:52Z,2026-05-05T23:46:52Z,2.0219,33,12200,11961,1554,2,0,1
openai/codex,21221,[codex] Use shared app-server JSON-RPC error helpers,MERGED,2026-05-05T17:40:46Z,2026-05-05T19:14:00Z,2026-05-05T19:14:00Z,1.5539,15,174,428,857,2,0,1
openai/codex,21219,Add model and reasoning effort to MCP turn metadata,MERGED,2026-05-05T17:08:54Z,2026-05-06T00:37:49Z,2026-05-06T00:37:49Z,7.4819,6,168,34,708,3,1,1
openai/codex,21190,fix(tui): external editor expansion for same-size large pastes,MERGED,2026-05-05T13:11:26Z,2026-05-05T17:41:43Z,2026-05-05T17:41:43Z,4.5047,1,33,5,2832,2,0,1
openai/codex,21152,revert legacy notify deprecation,MERGED,2026-05-05T05:57:22Z,2026-05-05T17:34:44Z,2026-05-05T17:34:44Z,11.6228,9,158,69,542,2,0,1
openai/codex,21146,Enable V8 sandboxing for source-built builds,MERGED,2026-05-05T05:06:49Z,2026-05-05T21:36:38Z,2026-05-05T21:36:38Z,16.4969,13,126,22,1469,2,0,3
openai/codex,21127,fix(linux-sandbox): avoid panic on bwrap build failures,MERGED,2026-05-05T02:20:05Z,2026-05-05T20:34:09Z,2026-05-05T20:34:08Z,18.2342,3,75,10,1112,2,0,1
openai/codex,21122,Add turn_id to Codex skill invocation analytics,MERGED,2026-05-05T01:37:04Z,2026-05-05T04:11:06Z,2026-05-05T04:11:06Z,2.5672,3,3,0,649,2,2,1
openai/codex,21113,Auto-deny MCP elicitations for Xcode 26.4 clients,MERGED,2026-05-05T00:04:31Z,2026-05-05T21:05:42Z,2026-05-05T21:05:42Z,21.0197,8,162,13,809,2,0,1
openai/codex,21105,[network-proxy] Cover DNS timeout blocking,MERGED,2026-05-04T23:11:30Z,2026-05-05T02:03:56Z,2026-05-05T02:03:56Z,2.8739,1,83,3,1202,2,0,3
openai/codex,21091,[codex] Fix TUI large paste placeholder numbering after Ctrl+C,MERGED,2026-05-04T22:18:24Z,2026-05-05T17:33:37Z,2026-05-05T17:33:37Z,19.2536,1,97,10,1015,2,2,1
openai/codex,21089,[codex] Fix fork --last cwd filtering,MERGED,2026-05-04T22:12:02Z,2026-05-05T17:33:41Z,2026-05-05T17:33:41Z,19.3608,1,181,10,803,2,0,1
openai/codex,21069,Spill large hook outputs from context,MERGED,2026-05-04T20:14:25Z,2026-05-05T05:03:18Z,2026-05-05T05:03:18Z,8.8147,7,439,13,697,3,1,4
openai/codex,21063,add turn items view to app-server turns,MERGED,2026-05-04T19:02:11Z,2026-05-05T19:17:17Z,2026-05-05T19:17:17Z,24.2517,48,821,27,1141,2,0,2
openai/codex,21062,Preserve legacy MCP elicitations for Xcode 26.4,CLOSED,2026-05-04T19:01:05Z,2026-05-05T00:31:06Z,,5.5003,21,327,109,1904,1,1,10
openai/codex,21059,Rename agent identity login surface to access token,MERGED,2026-05-04T18:52:06Z,2026-05-05T02:43:49Z,2026-05-05T02:43:48Z,7.8617,7,79,75,954,3,0,8
openai/codex,21058,fix(tui): support modified backspace/delete keys,MERGED,2026-05-04T18:41:25Z,2026-05-04T20:16:42Z,2026-05-04T20:16:42Z,1.5881,2,111,1,1761,2,1,1
